brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
San Mateo,Agua SAN MATEO Sin Gas Botella 600ml,S/ 22.50,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,600.0,ml,Agua SAN MATEO Sin Gas Botella,22.5
San Mateo,Agua SAN MATEO Sin Gas Paquete 6 Botella 2.5L,S/ 17.70 8%,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,2.5,l,Agua SAN MATEO Sin Gas Paquete 6 Botella,17.7
San Carlos,Agua SAN CARLOS Sin Gas Caja 20 Lt,S/ 19.00,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,20.0,l,Agua SAN CARLOS Sin Gas Caja t,19.0
San Mateo,Agua SAN MATEO sin Gas Bidón 7L,S/ 8.90,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,7.0,l,Agua SAN MATEO sin Gas Bidón,8.9
San Carlos,Agua SAN CARLOS sin Gas Botella 3L,S/ 3.00,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,3.0,l,Agua SAN CARLOS sin Gas Botella,3.0
San Carlos,Agua SAN CARLOS sin Gas Botella 500ml,S/ 1.20,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,500.0,ml,Agua SAN CARLOS sin Gas Botella,1.2
San Luis,Agua SAN LUIS con Gas Botella 625ml,S/ 1.60,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,625.0,ml,Agua SAN LUIS con Gas Botella,1.6
San Mateo,Agua SAN MATEO con Gas Botella 600ml,S/ 1.80,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,600.0,ml,Agua SAN MATEO con Gas Botella,1.8
San Luis,Agua SAN LUIS Sin Gas Botella 750ml,S/ 1.60,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,750.0,ml,Agua SAN LUIS Sin Gas Botella,1.6
San Mateo,Agua SAN MATEO sin Gas Botella 600ml,S/ 1.80,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,600.0,ml,Agua SAN MATEO sin Gas Botella,1.8
San Mateo,Agua SAN MATEO sin Gas Botella 2.5L,S/ 3.40,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,2.5,l,Agua SAN MATEO sin Gas Botella,3.4
Cielo,Agua CIELO sin Gas Botella 625ml Pack 15u,S/ 12.00 33%,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,625.0,ml,Agua CIELO sin Gas Botella  Pack 15u,12.0
Pura Vida,Agua PURA VIDA sin Gas Botella 3L Paquete 4u,S/ 8.50 27%,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,3.0,l,Agua PURA VIDA sin Gas Botella  Paquete 4u,8.5
Cielo,Agua CIELO en Caja Botella 20L,S/ 23.90,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,20.0,l,Agua CIELO en Caja Botella,23.9
Loa,Agua Sin Gas LOA Botella 625 ml,S/ 1.30,vega,AGUA MINERAL SIN GAS,2024-12-07 16:55:31.662560,625.0,ml,Agua Sin Gas LOA Botella,1.3
