brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Grano De Oro,Avena GRANO DE ORO Bolsa 1kg,S/ 10.50,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,1.0,kg,Avena GRANO DE ORO Bolsa,10.5
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,170.0,g,Avena GRANO DE ORO con Quinua en Bolsa r,2.9
Grano De Oro,Avena GRANO DE ORO Bolsa 370gr,S/ 4.00,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,370.0,g,Avena GRANO DE ORO Bolsa r,4.0
Grano De Oro,Avena GRANO DE ORO Bolsa 10kg,S/ 69.40,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,10.0,kg,Avena GRANO DE ORO Bolsa,69.4
Grano De Oro,Avena GRANO DE ORO Hojuelas Gruesa Bolsa 900gr,S/ 16.80,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,900.0,g,Avena GRANO DE ORO Hojuelas Gruesa Bolsa r,16.8
Grano De Oro,Avena GRANO DE ORO Bolsa 170gr,S/ 1.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,170.0,g,Avena GRANO DE ORO Bolsa r,1.9
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,370.0,g,Avena GRANO DE ORO con Quinua en Bolsa r,4.8
Grano De Oro,Avena GRANO DE ORO Hojuelas Gruesa Bolsa 5kg,S/ 36.70,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,5.0,kg,Avena GRANO DE ORO Hojuelas Gruesa Bolsa,36.7
Grano De Oro,Avena GRANO DE ORO con Maca en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,370.0,g,Avena GRANO DE ORO con Maca en Bolsa r,4.8
Grano De Oro,Avena GRANO DE ORO Bolsa 5kg,S/ 34.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,5.0,kg,Avena GRANO DE ORO Bolsa,34.9
Grano De Oro,Avena GRANO DE ORO con Kiwicha en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,370.0,g,Avena GRANO DE ORO con Kiwicha en Bolsa r,4.8
Grano De Oro,Avena GRANO DE ORO con Kiwicha en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,170.0,g,Avena GRANO DE ORO con Kiwicha en Bolsa r,2.9
Grano De Oro,Avena GRANO DE ORO con Maca en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,170.0,g,Avena GRANO DE ORO con Maca en Bolsa r,2.9
Grano De Oro,Avena GRANO DE ORO con Chia en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-07 15:13:52.887238,170.0,g,Avena GRANO DE ORO con Chia en Bolsa r,2.9
