brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Thor,"Comida para Perros THOR Adulto Clásico Carne, Pollo, Cerdo Bolsa 25kg",S/ 110.90 5%,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,25.0,kg,"Comida para Perros THOR Adulto Clásico Carne, Pollo, Cerdo Bolsa",110.9
Thor,"Comida para Perro THOR Adulto Sabor Carne, Pollo y Cerdo Bolsa 2 kg",S/ 14.50,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,2.0,kg,"Comida para Perro THOR Adulto Sabor Carne, Pollo y Cerdo Bolsa",14.5
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Purple Lata 473ml,S/ 10.90,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,473.0,ml,Bebida Alcohólica FOUR LOKO Sabor Purple Lata,10.9
Bahia,Mojito BAHIA Lata 355ml,S/ 6.90,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,355.0,ml,Mojito BAHIA Lata,6.9
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Blue Lata 473ml,S/ 10.90,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,473.0,ml,Bebida Alcohólica FOUR LOKO Sabor Blue Lata,10.9
Bahia,Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,355.0,ml,Piña Colada BAHIA Lata,6.9
MONSTER,Bebida Energizante MONSTER Mango Loco Lata 473ml x 2u,S/ 15.00,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,473.0,ml,Bebida Energizante MONSTER Mango Loco Lata  x 2u,15.0
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 3L,S/ 6.90,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,3.0,l,Bebida TAMPICO Cero Citrus Punch Botella,6.9
Tampico,Bebida TAMPICO Cero Citrus Punch Botella 400ml,S/ 1.50,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,400.0,ml,Bebida TAMPICO Cero Citrus Punch Botella,1.5
MONSTER,Bebida Energizante MONSTER Mango Loco Lata 473ml,S/ 8.00,vega,LOMO DE CERDO,2024-12-07 15:24:55.979554,473.0,ml,Bebida Energizante MONSTER Mango Loco Lata,8.0
