description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Avena QUAKER Tradicional Bolsa 900g,QUAKER,S/ 14.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,900.0,g,Avena QUAKER Tradicional Bolsa,14.5
Avena con Hojuela sin Gluten LA PURITA Bolsa 800g,LA PURITA,S/ 18.00,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,800.0,g,Avena con Hojuela sin Gluten LA PURITA Bolsa,18.0
Avena Precocida BELL'S Bolsa 1Kg,BELL'S,S/ 9.20,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,1.0,kg,Avena Precocida BELL'S Bolsa,9.2
Avena Instantánea Regular BELL'S Bolsa 270g,BELL'S,S/ 3.20,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,270.0,g,Avena Instantánea Regular BELL'S Bolsa,3.2
Avena QUAKER Tradicional Bolsa 500g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,500.0,g,Avena QUAKER Tradicional Bolsa,8.5
Avena Clásica 3 OSITOS Premium Bolsa 900g,3 OSITOS,S/ 13.60,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,900.0,g,Avena Clásica 3 OSITOS Premium Bolsa,13.6
Avena SANTA CATALINA con Quinua Bolsa 280g,SANTA CATALINA,S/ 6.20,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,280.0,g,Avena SANTA CATALINA con Quinua Bolsa,6.2
Avena QUAKER con Chía y Algarrobo Bolsa 330g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,330.0,g,Avena QUAKER con Chía y Algarrobo Bolsa,8.5
Avena QUAKER con Maca Bolsa 330g,QUAKER,S/ 8.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,330.0,g,Avena QUAKER con Maca Bolsa,8.5
Avena Natural SANTA CATALINA Bolsa 900g,SANTA CATALINA,S/ 9.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,900.0,g,Avena Natural SANTA CATALINA Bolsa,9.5
Avena Clásica 3 OSITOS Bolsa 250g,3 OSITOS,S/ 5.90,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,250.0,g,Avena Clásica 3 OSITOS Bolsa,5.9
Avena Instantánea de Manzana y Canela BELL'S Vaso 45g,BELL'S,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,45.0,g,Avena Instantánea de Manzana y Canela BELL'S Vaso,3.5
Avena BELL'S Bolsa 1Kg,BELL'S,S/ 9.20,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,1.0,kg,Avena BELL'S Bolsa,9.2
Avena Mix MAMALAMA Aguaymanto Linaza Doypack 500g,MAMALAMA,S/ 17.90,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,500.0,g,Avena Mix MAMALAMA Aguaymanto Linaza Doypack,17.9
Avena Precocida BELL'S Bolsa 170g,BELL'S,S/ 2.79,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,170.0,g,Avena Precocida BELL'S Bolsa,2.79
Avena con Quinua QUAKER Bolsa 850g,QUAKER,S/ 14.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,850.0,g,Avena con Quinua QUAKER Bolsa,14.5
Avena QUAKER Tradicional Bolsa 200g,QUAKER,S/ 4.80,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,200.0,g,Avena QUAKER Tradicional Bolsa,4.8
Avena BELL'S Bolsa 500g,BELL'S,S/ 4.70,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,500.0,g,Avena BELL'S Bolsa,4.7
Avena Integral GRANO DE ORO Bolsa 500g,GRANO DE ORO,S/ 5.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,500.0,g,Avena Integral GRANO DE ORO Bolsa,5.5
Avena QUAKER Hojuelas de Avena Instantánea Caja 350g,QUAKER,S/ 9.29,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,350.0,g,Avena QUAKER Hojuelas de Avena Instantánea Caja,9.29
Avena Integral MI TIERRA sin Gluten Bolsa 400g,MI TIERRA,S/ 11.30,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,400.0,g,Avena Integral MI TIERRA sin Gluten Bolsa,11.3
