description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Garbanzos VALLE FÉRTIL Lata 439g,VALLE FERTIL,S/ 9.70,vivanda,GARBANZO,2024-12-04 17:59:49.429415,439.0,g,Garbanzos VALLE FÉRTIL Lata,9.7
Garbanzo Precocido GUVA Bandeja 500g,GUVA,S/ 6.99,vivanda,GARBANZO,2024-12-04 17:59:49.429415,500.0,g,Garbanzo Precocido GUVA Bandeja,6.99
Garbanzo COSTEÑO Bolsa 500g,COSTENO,S/ 6.40,vivanda,GARBANZO,2024-12-04 17:59:49.429415,500.0,g,Garbanzo COSTEÑO Bolsa,6.4
Garbanzos Listos para Servir LORENZO Doypack 425g,LORENZO,S/ 8.20,vivanda,GARBANZO,2024-12-04 17:59:49.429415,425.0,g,Garbanzos Listos para Servir LORENZO Doypack,8.2
Garbanzos BELL'S Bolsa 500g,BELL'S,S/ 4.90,vivanda,GARBANZO,2024-12-04 17:59:49.429415,500.0,g,Garbanzos BELL'S Bolsa,4.9
Garbanzo INCATRAIL Bolsa 500g,INCATRAIL,S/ 6.10,vivanda,GARBANZO,2024-12-04 17:59:49.429415,500.0,g,Garbanzo INCATRAIL Bolsa,6.1
Crunch de Garbanzo DYFFERENT BBQ Bolsa 100g,DYFFERENT,S/ 7.40,vivanda,GARBANZO,2024-12-04 17:59:49.429415,100.0,g,Crunch de Garbanzo DYFFERENT BBQ Bolsa,7.4
Hamburguesa de Garbanzos y Espinacas SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,GARBANZO,2024-12-04 17:59:49.429415,5.0,un,Hamburguesa de Garbanzos y Espinacas SANÚA Caja,28.0
Crunch de Garbanzo DYFFERENT Cheddar Bolsa 100g,DYFFERENT,S/ 7.40,vivanda,GARBANZO,2024-12-04 17:59:49.429415,100.0,g,Crunch de Garbanzo DYFFERENT Cheddar Bolsa,7.4
Crema de Garbanzo con Ajo VALLE FERTIL Frasco 240g,VALLE FERTIL,S/ 19.10,vivanda,GARBANZO,2024-12-04 17:59:49.429415,240.0,g,Crema de Garbanzo con Ajo VALLE FERTIL Frasco,19.1
Crunch de Garbanzo DYFFERENT Sal y Pimienta Bolsa 100g,DYFFERENT,S/ 7.40,vivanda,GARBANZO,2024-12-04 17:59:49.429415,100.0,g,Crunch de Garbanzo DYFFERENT Sal y Pimienta Bolsa,7.4
Hamburguesa de Garbanzos DELLANATURA Caja 400g,DELLANATURA,S/ 16.90,vivanda,GARBANZO,2024-12-04 17:59:49.429415,400.0,g,Hamburguesa de Garbanzos DELLANATURA Caja,16.9
Crema de Garbanzo Tradicional VALLE FERTIL Frasco 240g,VALLE FERTIL,S/ 19.00,vivanda,GARBANZO,2024-12-04 17:59:49.429415,240.0,g,Crema de Garbanzo Tradicional VALLE FERTIL Frasco,19.0
