description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Hamburguesa Casera Ref LA FLORENCIA x kg,LA FLORENCIA,S/ 20.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,1.0,kg,Hamburguesa Casera Ref LA FLORENCIA,20.9
Hamburguesa de Carne La Casera SAN FERNANDO Bolsa 910g,SAN FERNANDO,S/ 12.60,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,910.0,g,Hamburguesa de Carne La Casera SAN FERNANDO Bolsa,12.6
Hamburguesa OTTO KUNZ Premium de Res Bolsa 8un,OTTO KUNZ,S/ 28.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,8.0,un,Hamburguesa OTTO KUNZ Premium de Res Bolsa,28.0
Hamburguesa de Garbanzos y Espinacas SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,5.0,un,Hamburguesa de Garbanzos y Espinacas SANÚA Caja,28.0
Hamburguesa de Res OREGON Foods Bolsa 8un,OREGON FOODS,S/ 26.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,8.0,un,Hamburguesa de Res OREGON Foods Bolsa,26.9
Hamburguesa de Lentejas y Champiñones SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,5.0,un,Hamburguesa de Lentejas y Champiñones SANÚA Caja,28.0
Hamburguesa de Salmón UMI Bolsa 360g,UMIFOODS,S/ 18.40,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,360.0,g,Hamburguesa de Salmón UMI Bolsa,18.4
Hamburguesa BEST MEATS Carne Angus Caja 4un,BEST MEATS,S/ 60.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,Hamburguesa BEST MEATS Carne Angus Caja,60.0
Hamburguesa OTTO KUNZ Parrillera de Res Bolsa 4un,OTTO KUNZ,S/ 29.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,Hamburguesa OTTO KUNZ Parrillera de Res Bolsa,29.0
Hamburguesa Mixta SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,5.0,un,Hamburguesa Mixta SANÚA Caja,28.0
Hamburguesa BEST MEATS Parrillera de Pollo Caja 4un,BEST MEATS,S/ 24.60,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,Hamburguesa BEST MEATS Parrillera de Pollo Caja,24.6
Hamburguesa de pollo REDONDOS Bolsa 14un,REDONDOS,S/ 11.99,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,14.0,un,Hamburguesa de pollo REDONDOS Bolsa,11.99
