description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Margarina Light DORINA Pote 450g,DORINA,S/ 11.50,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,450.0,g,Margarina Light DORINA Pote,11.5
Margarina Clásica DORINA Pote 220g,DORINA,S/ 8.10,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,220.0,g,Margarina Clásica DORINA Pote,8.1
Margarina Clásica DORINA Pote 450g,DORINA,S/ 11.50,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,450.0,g,Margarina Clásica DORINA Pote,11.5
Margarina LAIVE Swis Barra 200g,LAIVE,S/ 4.80,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,200.0,g,Margarina LAIVE Swis Barra,4.8
Margarina Light DORINA Pote 220g,DORINA,S/ 6.90,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,220.0,g,Margarina Light DORINA Pote,6.9
Margarina LAIVE Swis Barra 90g,LAIVE,S/ 3.80,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,90.0,g,Margarina LAIVE Swis Barra,3.8
Margarina BELL'S Pote 240g,BELL'S,S/ 3.90,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,240.0,g,Margarina BELL'S Pote,3.9
Margarina MANTY Pote 90g,MANTY,S/ 2.80,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,90.0,g,Margarina MANTY Pote,2.8
Ensalada Rusa BELL'S Bolsa 500g,BELL'S,S/ 6.49,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,500.0,g,Ensalada Rusa BELL'S Bolsa,6.49
Ensalada Mix Primavera BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 7.49,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,150.0,g,Ensalada Mix Primavera BELL'S FRESCOS Bolsa,7.49
Ensalada Rusa BELL'S FRESCOS Bolsa 500g,BELL'S FRESCOS,S/ 9.49,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,500.0,g,Ensalada Rusa BELL'S FRESCOS Bolsa,9.49
Ensalada Mix BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 6.59,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,150.0,g,Ensalada Mix BELL'S FRESCOS Bolsa,6.59
Ensalada Fusilli Bandeja 170g,LA FLORENCIA,S/ 3.90,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,170.0,g,Ensalada Fusilli Bandeja,3.9
Ensalada Italiana HOME CHEF Bandeja 1un,HOME CHEF,S/ 14.20,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,1.0,un,Ensalada Italiana HOME CHEF Bandeja,14.2
Ensalada Mix Personal BELL'S FRESCOS Bolsa 100g,BELL'S FRESCOS,S/ 5.49,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,100.0,g,Ensalada Mix Personal BELL'S FRESCOS Bolsa,5.49
Ensalada SOLEI Coco en Trozos Frasco 130g,SOLEI,S/ 6.79,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,130.0,g,Ensalada SOLEI Coco en Trozos Frasco,6.79
Ensalada Power HOME CHEF 1un,HOME CHEF,S/ 14.20,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,1.0,un,Ensalada Power HOME CHEF,14.2
Ensalada Pollera Bandeja 300g,VIVANDA,S/ 8.40,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,300.0,g,Ensalada Pollera Bandeja,8.4
Ensalada Mix Primavera VIVA Bandeja 120g,VIVA,S/ 11.99,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,120.0,g,Ensalada Mix Primavera VIVA Bandeja,11.99
Ensalada Jardinera Precocida BELL'S Bolsa 500g,BELL'S,S/ 8.90,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,500.0,g,Ensalada Jardinera Precocida BELL'S Bolsa,8.9
Ensalada Rusa LA FLORENCIA Bandeja 170g,LA FLORENCIA,S/ 3.90,vivanda,MARGARINA ENVASADA,2024-12-04 17:42:42.765619,170.0,g,Ensalada Rusa LA FLORENCIA Bandeja,3.9
