description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Maíz Pop Corn PLANET POP Mantequilla Paquete 3un,PLANET POP,S/ 10.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,3.0,un,Maíz Pop Corn PLANET POP Mantequilla Paquete,10.5
Maíz Pop Corn BELL'S Bolsa 500g,BELL'S,S/ 4.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,500.0,g,Maíz Pop Corn BELL'S Bolsa,4.3
Maíz Morado Deshidratado GUVA Bolsa 1kg,GUVA,S/ 15.99,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,1.0,kg,Maíz Morado Deshidratado GUVA Bolsa,15.99
Maíz Pop Corn COSTEÑO Bolsa 500g,COSTENO,S/ 4.60,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,500.0,g,Maíz Pop Corn COSTEÑO Bolsa,4.6
Maíz Pop Corn BELL'S Dulce Bolsa 70g,BELL'S,S/ 2.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,70.0,g,Maíz Pop Corn BELL'S Dulce Bolsa,2.1
Maíz Dulce FRUTO DE ORO Lata 184g,FRUTO DE ORO,S/ 4.90,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,184.0,g,Maíz Dulce FRUTO DE ORO Lata,4.9
Maíz Chullpi BELL'S Bolsa 400g,BELL'S,S/ 6.20,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,400.0,g,Maíz Chullpi BELL'S Bolsa,6.2
Maíz Cancha Cusco BELL'S Bolsa 400g,BELL'S,S/ 6.40,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,400.0,g,Maíz Cancha Cusco BELL'S Bolsa,6.4
Maíz Pop Corn VALLENORTE Bolsa 500g,VALLENORTE,S/ 6.40,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,500.0,g,Maíz Pop Corn VALLENORTE Bolsa,6.4
Maíz Dulce FRUTO DE ORO Lata 425g,FRUTO DE ORO,S/ 6.90,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,425.0,g,Maíz Dulce FRUTO DE ORO Lata,6.9
Maíz Mote Precocido GUVA Bolsa 500g,GUVA,S/ 8.99,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,500.0,g,Maíz Mote Precocido GUVA Bolsa,8.99
Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete 3un,PLANET POP,S/ 10.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,3.0,un,Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete,10.5
Pop Corn Chicken AVINKA Bolsa 350g,AVINKA,S/ 13.70,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,350.0,g,Pop Corn Chicken AVINKA Bolsa,13.7
Chupetín GLOBO POP Maracuyá Bolsa 432g,GLOBO POP,S/ 7.80,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,432.0,g,Chupetín GLOBO POP Maracuyá Bolsa,7.8
Cereal CORN FLAKES Nestlé Sin Gluten Caja 405g,CORN FLAKES,S/ 16.20,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,405.0,g,Cereal CORN FLAKES Nestlé Sin Gluten Caja,16.2
Cereal CORN FLAKES Nestlé Sin Gluten Caja 180g,CORN FLAKES,S/ 12.80,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,180.0,g,Cereal CORN FLAKES Nestlé Sin Gluten Caja,12.8
Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,480.0,g,Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa r,8.0
Canchita para Microondas PLANET POP sabor Natural Bolsa 85g Paquete 3un,PLANET POP,S/ 10.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,85.0,g,Canchita para Microondas PLANET POP sabor Natural Bolsa  Paquete,10.5
Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,480.0,g,Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa r,8.0
Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,480.0,g,Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa r,8.0
Pop Corn PLANET POP Mantequilla Bolsa 85g,PLANET POP,S/ 3.70,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,85.0,g,Pop Corn PLANET POP Mantequilla Bolsa,3.7
Galletas de Maíz SALMAS Horneadas Caja 216g,SALMAS,S/ 14.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,216.0,g,Galletas de Maíz SALMAS Horneadas Caja,14.5
Galletas de Maíz SALMAS Horneadas con Camote y Zanahoria Caja 126g,SALMAS,S/ 11.20,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,126.0,g,Galletas de Maíz SALMAS Horneadas con Camote y Zanahoria Caja,11.2
Cereal de Avena Maíz y Trigo ANGEL Meli Bolsa 420g,ANGEL,S/ 16.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,420.0,g,Cereal de Avena Maíz y Trigo ANGEL Meli Bolsa,16.1
Galletas de Maíz SALMAS Horneadas Caja 144g,SALMAS,S/ 8.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,144.0,g,Galletas de Maíz SALMAS Horneadas Caja,8.0
Aceite de Maíz BASSO Botella 1L,BASSO,S/ 14.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,1.0,l,Aceite de Maíz BASSO Botella,14.5
Tortilla de Maíz SANIITO Bolsa 8un,SANIITO,S/ 11.70,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,8.0,un,Tortilla de Maíz SANIITO Bolsa,11.7
Cereal ÁNGEL Zuck Hojuelas de Maíz Azucaradas Bolsa 1Kg,ANGEL,S/ 22.80,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,1.0,kg,Cereal ÁNGEL Zuck Hojuelas de Maíz Azucaradas Bolsa,22.8
Palitos de Maíz CHIZITOS Bolsa 190g,FRITO LAY,S/ 6.80,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,190.0,g,Palitos de Maíz CHIZITOS Bolsa,6.8
Harina de Maíz Blanco P.A.N. Precocida Bolsa 1Kg,PAN,S/ 11.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,1.0,kg,Harina de Maíz Blanco P.A.N. Precocida Bolsa,11.3
Tortillas de Maíz NACHOS Mixtas Bolsa 260g,NACHOS,S/ 12.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,260.0,g,Tortillas de Maíz NACHOS Mixtas Bolsa,12.3
Tortilla de Maíz SANIITO Bolsa 12un,SANIITO,S/ 10.60,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,12.0,un,Tortilla de Maíz SANIITO Bolsa,10.6
Tortillas de Maíz EL TACO Bolsa 10un,EL TACO,S/ 11.70,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,10.0,un,Tortillas de Maíz EL TACO Bolsa,11.7
Cereal ANGEL Trigo integral de avena y maíz sabor fresa Bolsa 350Gr,ANGEL,S/ 16.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,350.0,g,Cereal ANGEL Trigo integral de avena y maíz sabor fresa Bolsa r,16.1
Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa 200g,FRITO LAY,S/ 9.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,200.0,g,Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa,9.0
Tortilla de Maíz TÍA ROSA Bolsa 255g,BIMBO,S/ 12.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,255.0,g,Tortilla de Maíz TÍA ROSA Bolsa,12.1
Piqueo BELL'S Frutos Secos Maíz del Cusco Bolsa 100g,BELL'S,S/ 4.50,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,100.0,g,Piqueo BELL'S Frutos Secos Maíz del Cusco Bolsa,4.5
