description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pop Corn Chicken AVINKA Bolsa 350g,AVINKA,S/ 13.70,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,350.0,g,Pop Corn Chicken AVINKA Bolsa,13.7
Maíz Pop Corn PLANET POP Mantequilla Paquete 3un,PLANET POP,S/ 10.50,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,3.0,un,Maíz Pop Corn PLANET POP Mantequilla Paquete,10.5
Pop Corn PLANET POP Mantequilla Bolsa 85g,PLANET POP,S/ 3.70,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,85.0,g,Pop Corn PLANET POP Mantequilla Bolsa,3.7
Chupetín GLOBO POP Maracuyá Bolsa 432g,GLOBO POP,S/ 7.80,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,432.0,g,Chupetín GLOBO POP Maracuyá Bolsa,7.8
Cereal CORN FLAKES Nestlé Sin Gluten Caja 405g,CORN FLAKES,S/ 16.20,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,405.0,g,Cereal CORN FLAKES Nestlé Sin Gluten Caja,16.2
Cereal CORN FLAKES Nestlé Sin Gluten Caja 180g,CORN FLAKES,S/ 12.80,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,180.0,g,Cereal CORN FLAKES Nestlé Sin Gluten Caja,12.8
Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,480.0,g,Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa r,8.0
Canchita para Microondas PLANET POP sabor Natural Bolsa 85g Paquete 3un,PLANET POP,S/ 10.50,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,85.0,g,Canchita para Microondas PLANET POP sabor Natural Bolsa  Paquete,10.5
Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,480.0,g,Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa r,8.0
Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa 480Gr,GLOBO POP,S/ 8.00,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,480.0,g,Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa r,8.0
Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete 3un,PLANET POP,S/ 10.50,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,3.0,un,Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete,10.5
Caramelo PUSH POP Surtido Barra 15g,TOPS,S/ 4.70,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,15.0,g,Caramelo PUSH POP Surtido Barra,4.7
Maíz Pop Corn BELL'S Bolsa 500g,BELL'S,S/ 4.30,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn BELL'S Bolsa,4.3
Maíz Pop Corn COSTEÑO Bolsa 500g,COSTENO,S/ 4.60,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn COSTEÑO Bolsa,4.6
Maíz Pop Corn BELL'S Dulce Bolsa 70g,BELL'S,S/ 2.10,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,70.0,g,Maíz Pop Corn BELL'S Dulce Bolsa,2.1
Maíz Pop Corn TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.20,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn TESORO VERDE Bolsa,4.2
Sazonador Pops COSTEÑO de Pop Corn Sabor Mantequilla Frasco 81g,COSTEÑO,S/ 10.90,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,81.0,g,Sazonador Pops COSTEÑO de Pop Corn Sabor Mantequilla Frasco,10.9
Sazonador de Pop Corn COSTEÑO Sabor a Queso Frasco 64g,COSTEÑO,S/ 11.20,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,64.0,g,Sazonador de Pop Corn COSTEÑO Sabor a Queso Frasco,11.2
Sazonador Pop Corn BELL'S Sabor a Caramelo Frasco 65g,BELL'S,S/ 10.30,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,65.0,g,Sazonador Pop Corn BELL'S Sabor a Caramelo Frasco,10.3
Maíz Pop Corn VALLENORTE Bolsa 500g,VALLENORTE,S/ 6.40,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn VALLENORTE Bolsa,6.4
Sazonador Pop Corn BELL'S Sabor a Mantequilla Frasco 80g,BELL'S,S/ 10.20,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,80.0,g,Sazonador Pop Corn BELL'S Sabor a Mantequilla Frasco,10.2
Cereal KELLOGGS Corn Flakes Caja 410g,KELLOGG S,S/ 13.10,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,410.0,g,Cereal KELLOGGS Corn Flakes Caja,13.1
Cereal NESTLÉ Corn Flakes sin Gluten Bolsa 740g,NESTLÉ,S/ 20.90,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,740.0,g,Cereal NESTLÉ Corn Flakes sin Gluten Bolsa,20.9
Cereal BELL'S Corn Flakes Azucarados Bolsa 500g,BELL'S,S/ 9.40,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Cereal BELL'S Corn Flakes Azucarados Bolsa,9.4
Cereal BELL'S Corn Flakes Bolsa 20g,BELL'S,S/ 0.59,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,20.0,g,Cereal BELL'S Corn Flakes Bolsa,0.59
