description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Torta Selva Negra Mediana LA FLORENCIA 1un,LA FLORENCIA,S/ 60.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Torta Selva Negra Mediana LA FLORENCIA,60.9
Torta Helada de Fresa Chica LA FLORENCIA 1un,LA FLORENCIA,S/ 29.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Torta Helada de Fresa Chica LA FLORENCIA,29.9
Torta de Chocolate Premium Mediana LA FLORENCIA 1un,LA FLORENCIA,S/ 74.40,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Torta de Chocolate Premium Mediana LA FLORENCIA,74.4
Torta con Oblea 1un,GIARDINO,S/ 39.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Torta con Oblea,39.9
Mini Torta Sonrisa x un,LA FLORENCIA,S/ 30.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Mini Torta Sonrisa,30.5
Premezcla de Torta POSTRES EN CASA Sabor Chocolate 400gr,POSTRES EN CASA,S/ 8.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,400.0,g,Premezcla de Torta POSTRES EN CASA Sabor Chocolate r,8.9
Premezcla WINTER'S Torta de Chocolate Caja 500g,WINTER'S,S/ 11.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,500.0,g,Premezcla WINTER'S Torta de Chocolate Caja,11.9
Set de Utentilios FACUSA para Torta Paquete 2un,FACUSA,S/ 27.00,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,2.0,un,Set de Utentilios FACUSA para Torta Paquete,27.0
Premezcla para Torta de Chocolate BLANCA FLOR Bolsa 750g,BLANCA FLOR,S/ 14.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,750.0,g,Premezcla para Torta de Chocolate BLANCA FLOR Bolsa,14.5
Tarta de Manzana LA FLORENCIA 1un,LA FLORENCIA,S/ 25.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Tarta de Manzana LA FLORENCIA,25.9
Corta Huevo VIVA HOME Blíster 1un,VIVA HOME,S/ 2.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Corta Huevo VIVA HOME Blíster,2.9
Leche UHT GLORIA Entera Pack 3un x 1L,GLORIA,S/ 16.60,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,3.0,un,Leche UHT GLORIA Entera Pack  x,16.6
Leche Reconstituida Entera GLORIA Lata 390g Paquete 6un,GLORIA,S/ 23.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,390.0,g,Leche Reconstituida Entera GLORIA Lata  Paquete,23.5
Leche Evaporada Entera GLORIA Lata 390g Paquete 6un,GLORIA,S/ 24.60,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,390.0,g,Leche Evaporada Entera GLORIA Lata  Paquete,24.6
Leche Reconstituida Entera GLORIA Lata 390g,GLORIA,S/ 4.20,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,390.0,g,Leche Reconstituida Entera GLORIA Lata,4.2
Fresa Entera Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,S/ 15.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,kg,Fresa Entera Congelada EL FRUTERO Bolsa,15.5
Leche Evaporada BELL'S Entera Lata 410g,BELL'S,S/ 4.20,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,410.0,g,Leche Evaporada BELL'S Entera Lata,4.2
Canela Entera KARIÑO Sobre 9g,KARINO,S/ 4.20,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,9.0,g,Canela Entera KARIÑO Sobre,4.2
Aceituna Negra Entera OLIVALLE Balde 400g,OLIVALLE,S/ 16.00,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,400.0,g,Aceituna Negra Entera OLIVALLE Balde,16.0
Leche LAIVE UHT Entera Tetrapack 946ml,LAIVE,S/ 5.70,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,946.0,ml,Leche LAIVE UHT Entera Tetrapack,5.7
Leche GLORIA UHT Entera Caja 1L,GLORIA,S/ 6.00,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,l,Leche GLORIA UHT Entera Caja,6.0
Leche Entera LAIVE UHT Caja 946ml Paquete 4un,LAIVE,S/ 22.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,946.0,ml,Leche Entera LAIVE UHT Caja  Paquete,22.5
Cereza Entera GREEN FOOD Bolsa 400g,GREEN FOOD,S/ 15.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,400.0,g,Cereza Entera GREEN FOOD Bolsa,15.5
Leche GLORIA UHT Entera Bolsa 900ml,GLORIA,S/ 4.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,900.0,ml,Leche GLORIA UHT Entera Bolsa,4.5
Pimienta Entera BADIA Molinillo Pote 56.7g,BADIA,S/ 14.10,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,56.7,g,Pimienta Entera BADIA Molinillo Pote,14.1
Frambuesa Entera EL FRUTERO Bolsa 500g,EL FRUTERO,S/ 28.99,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,500.0,g,Frambuesa Entera EL FRUTERO Bolsa,28.99
Pimienta BELL'S Negra Entera Sobre 15g,BELL'S,S/ 2.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,15.0,g,Pimienta BELL'S Negra Entera Sobre,2.5
