description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bisteck EL BUEN CORTE x kg,EL BUEN CORTE,S/ 41.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,1.0,kg,Bisteck EL BUEN CORTE,41.9
Bisteck De Cadera EL BUEN CORTE x kg,EL BUEN CORTE,S/ 55.50,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,1.0,kg,Bisteck De Cadera EL BUEN CORTE,55.5
Bites Frambuesa Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,120.0,g,Bites Frambuesa Doble Chocolate KARINAT Doypack,13.9
Bites Fresa Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,120.0,g,Bites Fresa Doble Chocolate KARINAT Doypack,13.9
Bites Arándanos Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,120.0,g,Bites Arándanos Doble Chocolate KARINAT Doypack,13.9
Shampoo BIOTEC Spiderman 3 en 1 Frasco 350ml,BIOTEC,S/ 19.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,350.0,ml,Shampoo BIOTEC Spiderman 3 en 1 Frasco,19.9
Jabón Líquido 3D Spider-Man Frasco 400ml,BIOTEC,S/ 29.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,400.0,ml,Jabón Líquido 3D Spider-Man Frasco,29.9
Bites Cereza Doble Chocolate KARINAT Doypack 120g,KARINAT,S/ 13.90,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,120.0,g,Bites Cereza Doble Chocolate KARINAT Doypack,13.9
Licor CAMPARI Bitter Botella 750ml,CAMPARI,S/ 93.50,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,750.0,ml,Licor CAMPARI Bitter Botella,93.5
Bife De Vacio FRIGON x kg,FRIGON,S/ 40.80,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,1.0,kg,Bife De Vacio FRIGON,40.8
