description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Filete de Atún en Aceite Vegetal FLORIDA Lata 140g,FLORIDA,S/ 6.20,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún en Aceite Vegetal FLORIDA Lata,6.2
Filete de Atún FLORIDA en Agua 110kcal Lata 150g,FLORIDA,S/ 6.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún FLORIDA en Agua 110kcal Lata,6.6
Filete de Tilapia BELL'S Bolsa 1Kg,BELL'S,S/ 23.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,1.0,kg,Filete de Tilapia BELL'S Bolsa,23.6
Filete de Atún en Agua CAMPOMAR Lata 150g,CAMPOMAR,S/ 5.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún en Agua CAMPOMAR Lata,5.6
Filete de Atún PRIMOR en Aceite Vegetal Lata 140g,PRIMOR,S/ 6.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún PRIMOR en Aceite Vegetal Lata,6.0
Filete de Atún BELL'S en Agua Lata 150gr,BELL'S,S/ 4.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún BELL'S en Agua Lata r,4.9
Filete de Trucha BELL'S Congelado con Piel Bolsa 500g,BELL'S,S/ 29.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,500.0,g,Filete de Trucha BELL'S Congelado con Piel Bolsa,29.9
Filete de Pechuga Importado SADIA Bolsa 1Kg,SADIA,S/ 17.70,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,1.0,kg,Filete de Pechuga Importado SADIA Bolsa,17.7
Filete de Atún REAL en Aceite de Girasol Lata 80g Paquete 3un,REAL,S/ 12.70,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,80.0,g,Filete de Atún REAL en Aceite de Girasol Lata  Paquete,12.7
Filete de Atún en Aceite Vegetal FLORIDA Lata 80g Paquete 3un,FLORIDA,S/ 13.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,80.0,g,Filete de Atún en Aceite Vegetal FLORIDA Lata  Paquete,13.0
Filete de Atún Artesanal CAMPOMAR Gourmet Frasco 160g,CAMPOMAR,S/ 7.40,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,160.0,g,Filete de Atún Artesanal CAMPOMAR Gourmet Frasco,7.4
Conserva VALLE FERTIL Choclo dulce desgranado Lata 248Gr,VALLE FERTIL,S/ 7.10,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,248.0,g,Conserva VALLE FERTIL Choclo dulce desgranado Lata r,7.1
Filete de Pechuga de Pavo Bolsa LA FLORENCIA 500g,LA FLORENCIA,S/ 35.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,500.0,g,Filete de Pechuga de Pavo Bolsa LA FLORENCIA,35.6
Filete de Atún con Agua y Sal PRIMOR Lata 140g,PRIMOR,S/ 6.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún con Agua y Sal PRIMOR Lata,6.0
Filete de Atún en Agua REAL Tripack Lata 80g,REAL,S/ 12.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,80.0,g,Filete de Atún en Agua REAL Tripack Lata,12.9
Filete de Atún CAMPOMAR en Aceite Vegetal Lata 150g,CAMPOMAR,S/ 5.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún CAMPOMAR en Aceite Vegetal Lata,5.6
Conserva BELL'S Palmitos Enteros en Salmuera Frasco 430g,BELL'S,S/ 13.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,430.0,g,Conserva BELL'S Palmitos Enteros en Salmuera Frasco,13.9
Filete de Anchoas VALLE FÉRTIL en Aceite de Oliva Frasco 100g,VALLE FERTIL,S/ 13.20,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,100.0,g,Filete de Anchoas VALLE FÉRTIL en Aceite de Oliva Frasco,13.2
Filete de Atún BELL'S en Aceite Lata 150gr,BELL'S,S/ 4.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún BELL'S en Aceite Lata r,4.6
Filete de Atún FLORIDA en Agua Paquete 12un,FLORIDA,S/ 70.80,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,12.0,un,Filete de Atún FLORIDA en Agua Paquete,70.8
Conserva CALE Aceitunas al ají Frasco 185g,CALE,S/ 13.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,185.0,g,Conserva CALE Aceitunas al ají Frasco,13.0
Filete de Atún FLORIDA en Aceite Girasol Lata 140g,FLORIDA,S/ 6.60,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún FLORIDA en Aceite Girasol Lata,6.6
