description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Helado Tabletas de Crema Americana FREDDO Caja 6un,FREDDO,S/ 15.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,6.0,un,Helado Tabletas de Crema Americana FREDDO Caja,15.9
Helado Crema di Firenze BELL'S SELECCIÓN Pote 500g,BELL'S SELECCIÓN,S/ 16.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,500.0,g,Helado Crema di Firenze BELL'S SELECCIÓN Pote,16.9
Crema de Leche UHT GLORIA Caja 200ml,GLORIA,S/ 8.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,200.0,ml,Crema de Leche UHT GLORIA Caja,8.9
Helado Bombones D'ONOFRIO Pote 18 un,D'ONOFRIO,S/ 13.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,18.0,un,Helado Bombones D'ONOFRIO Pote,13.9
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote 900ml,D'ONOFRIO,S/ 11.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,900.0,ml,Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote,11.9
Crema de Leche NESTLÉ Lata 300g,NESTLE,S/ 10.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,300.0,g,Crema de Leche NESTLÉ Lata,10.9
Helado SIVERIO MARIA Ciock Menta 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,1.0,l,Helado SIVERIO MARIA Ciock Menta,19.9
Helados D'ONOFRIO Mini Sandiwch Caja 10un,D'ONOFRIO,S/ 20.30,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,10.0,un,Helados D'ONOFRIO Mini Sandiwch Caja,20.3
Crema ALACENA Tarí Base de Ají Doypack 400g,TARÍ,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,400.0,g,Crema ALACENA Tarí Base de Ají Doypack,13.5
Crema de Rocoto ALACENA Uchucuta Doypack 400g,ALACENA,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,400.0,g,Crema de Rocoto ALACENA Uchucuta Doypack,13.5
Helado D'ONOFRIO FRÍO RICO Multipack Vainilla Caja 4un,D'ONOFRIO,S/ 20.30,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,4.0,un,Helado D'ONOFRIO FRÍO RICO Multipack Vainilla Caja,20.3
Helado MY MOCHI Double Chocolate Caja 280g,MY MOCHIS,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,280.0,g,Helado MY MOCHI Double Chocolate Caja,19.9
Crema Dental SENSODYNE Blanqueador Extra Fresh Tubo 2un x 90g,SENSODYNE,S/ 33.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,2.0,un,Crema Dental SENSODYNE Blanqueador Extra Fresh Tubo  x,33.5
Crema Dental SENSODYNE Proteccion Completa Dientes Sensibles Caja 90g,SENSODYNE,S/ 20.70,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,90.0,g,Crema Dental SENSODYNE Proteccion Completa Dientes Sensibles Caja,20.7
Crema Volteada LA FLORENCIA 350g,LA FLORENCIA,S/ 7.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,350.0,g,Crema Volteada LA FLORENCIA,7.9
Crema Huancaína ALACENA Doypack 85g,ALACENA,S/ 4.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,85.0,g,Crema Huancaína ALACENA Doypack,4.5
Helado BELL'S Trisabor Pote 511g,BELL'S,S/ 7.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,511.0,g,Helado BELL'S Trisabor Pote,7.9
Crema Instantánea MAGGI Espárragos Bolsa 66g,MAGGI,S/ 3.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,66.0,g,Crema Instantánea MAGGI Espárragos Bolsa,3.9
Helado MY MOCHI Vanilla Bean Caja 280g,MY MOCHIS,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,280.0,g,Helado MY MOCHI Vanilla Bean Caja,19.9
Crema Huancaína ALACENA Doypack 400g,ALACENA,S/ 13.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,400.0,g,Crema Huancaína ALACENA Doypack,13.5
Crema de Avellanas NUTELLA Frasco 650g,NUTELLA,S/ 68.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,650.0,g,Crema de Avellanas NUTELLA Frasco,68.9
Crema de Leche Pasteurizada VIGOR Bolsa 946g,VIGOR,S/ 23.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,946.0,g,Crema de Leche Pasteurizada VIGOR Bolsa,23.9
Helado SIVIERO MARIA de Pistacchio Pote 500g,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,500.0,g,Helado SIVIERO MARIA de Pistacchio Pote,19.9
Helado SIVIERO MARIA Cioccolatissimo 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,1.0,l,Helado SIVIERO MARIA Cioccolatissimo,19.9
Crema de leche LAIVE Repostería Bolsa 946ml,LAIVE,S/ 26.10,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,946.0,ml,Crema de leche LAIVE Repostería Bolsa,26.1
Helado HÄAGEN DAZS Chocolate Belga Pote 100ml,HÄAGEN DAZS,S/ 12.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,100.0,ml,Helado HÄAGEN DAZS Chocolate Belga Pote,12.5
Helado SIVIERO MARIA Affogato al Cioccolato Pote 500g,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,500.0,g,Helado SIVIERO MARIA Affogato al Cioccolato Pote,19.9
Helado SIVIERO MARIA Caramello Salato Pote 1L,SIVIERO MARIA,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,1.0,l,Helado SIVIERO MARIA Caramello Salato Pote,19.9
Crema para Peinar HERBAL ESSENCES Leche de Coco y Aloe Frasco 300ml,HERBAL ESSENCES,S/ 34.40,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,300.0,ml,Crema para Peinar HERBAL ESSENCES Leche de Coco y Aloe Frasco,34.4
Helado D'ONOFRIO Peziduri Tricolor Cremoso Pote 900ml,D'ONOFRIO,S/ 11.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,900.0,ml,Helado D'ONOFRIO Peziduri Tricolor Cremoso Pote,11.9
Crema para Peinar HERBAL ESSENCES Aceite de Argán de Marruecos y Aloe Frasco 300ml,HERBAL ESSENCES,S/ 34.40,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,300.0,ml,Crema para Peinar HERBAL ESSENCES Aceite de Argán de Marruecos y Aloe Frasco,34.4
Helado Multipack KITKAT Caja 5un,D'ONOFRIO,S/ 25.10,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,5.0,un,Helado Multipack KITKAT Caja,25.1
Helado D'ONOFRIO Peziduri Chocochips Cremoso Pote 900ml,D'ONOFRIO,S/ 11.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,900.0,ml,Helado D'ONOFRIO Peziduri Chocochips Cremoso Pote,11.9
Helado D'ONOFRIO con Trozos de Maní SUBLIME Pote 900ml,D'ONOFRIO,S/ 19.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,900.0,ml,Helado D'ONOFRIO con Trozos de Maní SUBLIME Pote,19.9
Crema a Base de Mantequilla Light con Sal LAIVE Pote 180g,LAIVE,S/ 15.00,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,180.0,g,Crema a Base de Mantequilla Light con Sal LAIVE Pote,15.0
Crema de avellanas BELL'S Duo Frasco 350Gr,BELL'S,S/ 10.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,350.0,g,Crema de avellanas BELL'S Duo Frasco r,10.9
Crema de Rocoto ALACENA Uchucuta Doypack 85g,ALACENA,S/ 4.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,85.0,g,Crema de Rocoto ALACENA Uchucuta Doypack,4.5
Crema de Tratamiento FRUCTIS Hair Food de Sandía 300ml,FRUCTIS,S/ 26.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,300.0,ml,Crema de Tratamiento FRUCTIS Hair Food de Sandía,26.5
Crema Facial NIVEA Nutritiva Frasco 100ml,NIVEA,S/ 29.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,100.0,ml,Crema Facial NIVEA Nutritiva Frasco,29.9
Crema de Garbanzo con Ajo VALLE FERTIL Frasco 240g,VALLE FERTIL,S/ 19.10,vivanda,HELADO DE CREMA PERSONAL,2024-12-05 22:23:12.016473,240.0,g,Crema de Garbanzo con Ajo VALLE FERTIL Frasco,19.1
