description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pierna de Cerdo Deshuesada LA FLORENCIA 500g,LA FLORENCIA,S/ 26.40,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,500.0,g,Pierna de Cerdo Deshuesada LA FLORENCIA,26.4
Piernas y Muslos Aderezo Criollo REDONDOS Bolsa 780g,REDONDOS,S/ 17.40,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,780.0,g,Piernas y Muslos Aderezo Criollo REDONDOS Bolsa,17.4
Piernas y Muslos Aderezo Pachamanca REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,780.0,g,Piernas y Muslos Aderezo Pachamanca REDONDOS Bolsa,16.5
Piernas y Muslos Aderezo Oriental REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,780.0,g,Piernas y Muslos Aderezo Oriental REDONDOS Bolsa,16.5
Piernas y Muslos Aderezo Estofado REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,780.0,g,Piernas y Muslos Aderezo Estofado REDONDOS Bolsa,16.5
Carne Molida Light EL BUEN CORTE x kg,EL BUEN CORTE,S/ 36.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,1.0,kg,Carne Molida Light EL BUEN CORTE,36.5
Carne Molida EL BUEN CORTE x kg,EL BUEN CORTE,S/ 24.99,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,1.0,kg,Carne Molida EL BUEN CORTE,24.99
Carne para Lomo Saltado EL BUEN CORTE x kg,EL BUEN CORTE,S/ 45.00,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,1.0,kg,Carne para Lomo Saltado EL BUEN CORTE,45.0
Carne Molida de Pavita x 500g,VIVANDA,S/ 15.90,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,500.0,g,Carne Molida de Pavita x,15.9
REDONDOS Cerdo Sabor Oriental Bolsa 530g,REDONDOS,S/ 23.30,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,530.0,g,REDONDOS Cerdo Sabor Oriental Bolsa,23.3
Carne Molida de Cerdo SAN FERNANDO Paquete 500g,SAN FERNANDO,S/ 15.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,500.0,g,Carne Molida de Cerdo SAN FERNANDO Paquete,15.5
REDONDOS Cerdo Sabor Adobo Bolsa 530g,REDONDOS,S/ 22.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,530.0,g,REDONDOS Cerdo Sabor Adobo Bolsa,22.5
Jamón de Pierna Ahumado SALCHICHERÍA ALEMANA Paquete 150g,SALCHICHERÍA ALEMANA,S/ 13.70,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,150.0,g,Jamón de Pierna Ahumado SALCHICHERÍA ALEMANA Paquete,13.7
Jamón de Pierna Ahumado SANT DALMAI Paquete 150g,SANT DALMAI,S/ 11.90,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,150.0,g,Jamón de Pierna Ahumado SANT DALMAI Paquete,11.9
Pollada Criolla REDONDOS Pierna con Encuentro Bolsa 780g,REDONDOS,S/ 16.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,780.0,g,Pollada Criolla REDONDOS Pierna con Encuentro Bolsa,16.5
Crema para Piernas INSTITUTO ESPAÑOL Arnica Frasco 500ml,INSTITUTO ESPAÑOL,S/ 34.60,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,500.0,ml,Crema para Piernas INSTITUTO ESPAÑOL Arnica Frasco,34.6
Jamón de Pierna BRAEDT Paquete 200g,BRAEDT,S/ 16.60,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,200.0,g,Jamón de Pierna BRAEDT Paquete,16.6
Jamón de Pierna SANT DALMAI Paquete 150g,SANT DALMAI,S/ 11.90,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,150.0,g,Jamón de Pierna SANT DALMAI Paquete,11.9
Bolsas de Basura ETERNA Aromas 10L Rollo 20un,ETERNA,S/ 7.30,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,10.0,l,Bolsas de Basura ETERNA Aromas  Rollo,7.3
Bolsas de Basura ETERNA Aromas 45L Rollo 20un,ETERNA,S/ 12.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,45.0,l,Bolsas de Basura ETERNA Aromas  Rollo,12.5
Pina Picada BELL'S FRESCOS Bandeja 500g,BELL'S FRESCOS,S/ 9.89,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,500.0,g,Pina Picada BELL'S FRESCOS Bandeja,9.89
Pan Árabe Integral EL CEDRO con Salvado de Trigo Bolsa 10un,EL CEDRO,S/ 7.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,10.0,un,Pan Árabe Integral EL CEDRO con Salvado de Trigo Bolsa,7.5
Hierba Buena x un,VIVANDA,S/ 1.39,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,1.0,un,Hierba Buena,1.39
Tortilla Artesanal Clásica EL CEDRO Bolsa 12un,EL CEDRO,S/ 9.30,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,12.0,un,Tortilla Artesanal Clásica EL CEDRO Bolsa,9.3
Hierba Luisa x un,VIVANDA,S/ 1.29,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,1.0,un,Hierba Luisa,1.29
Tortilla Artesanal Integral EL CEDRO Bolsa 12un,EL CEDRO,S/ 11.20,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,12.0,un,Tortilla Artesanal Integral EL CEDRO Bolsa,11.2
Bolsas de Basura ETERNA Aromas 20L Rollo 40un,ETERNA,S/ 11.50,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,20.0,l,Bolsas de Basura ETERNA Aromas  Rollo,11.5
Hierba Luisa MC COLIN'S Caja 25un,MC COLIN S,S/ 4.80,vivanda,PIERNA (CARNE DE CERDO),2024-12-06 11:21:49.011919,25.0,un,Hierba Luisa MC COLIN'S Caja,4.8
