description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Chocolate para Taza SOL DE CUSCO Pasta Pura Tableta 80g,SOL DEL CUSCO,S/ 13.70,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,80.0,g,Chocolate para Taza SOL DE CUSCO Pasta Pura Tableta,13.7
Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta 90g,SOL DEL CUZCO,S/ 2.90,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta,2.9
Chocolate para Taza Instántaneo SOL DEL CUSCO Canela y Clavo Tableta 90g,SOL DEL CUZCO,S/ 4.60,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza Instántaneo SOL DEL CUSCO Canela y Clavo Tableta,4.6
Chocolate Bitter MONTBLANC Tableta 190g,MONTBLANC,S/ 26.20,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,190.0,g,Chocolate Bitter MONTBLANC Tableta,26.2
Chocolate para Taza SOL DEL CUSCO Tableta 90g,SOL DEL CUZCO,S/ 2.90,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza SOL DEL CUSCO Tableta,2.9
Chocolate HERSHEY'S Extra Cremoso Tableta 82g,HERSHEY S,S/ 8.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,82.0,g,Chocolate HERSHEY'S Extra Cremoso Tableta,8.5
Tableta de Chocolate para Taza CURAZAO Cusco Premium Barra 90g,CURAZAO,S/ 2.49,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Tableta de Chocolate para Taza CURAZAO Cusco Premium Barra,2.49
Chocolate con Leche MONTBLANC Tableta 80g,MONTBLANC,S/ 15.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,80.0,g,Chocolate con Leche MONTBLANC Tableta,15.5
Chocolate HERSHEY'S Cookies N' Creme Tableta 77g,HERSHEY S,S/ 8.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,77.0,g,Chocolate HERSHEY'S Cookies N' Creme Tableta,8.5
Chocolate para Taza LA IBERICA Tableta 100g,LA IBERICA,S/ 10.00,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,100.0,g,Chocolate para Taza LA IBERICA Tableta,10.0
Chocolate para Taza Instántaneo SOL DEL CUSCO Tableta 90g,SOL DEL CUZCO,S/ 4.70,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza Instántaneo SOL DEL CUSCO Tableta,4.7
Chocolate para Taza SOL DEL CUSCO 42% Cacao Tableta 90gr,SOL DEL CUZCO,S/ 7.00,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza SOL DEL CUSCO 42% Cacao Tableta r,7.0
Chocolate con Leche HERSHEY'S Tableta 43gr,HERSHEY S,S/ 3.60,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,43.0,g,Chocolate con Leche HERSHEY'S Tableta r,3.6
Chocolate HERSHEY'S Cookies N' Creme Tableta 43g,HERSHEY S,S/ 3.60,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,43.0,g,Chocolate HERSHEY'S Cookies N' Creme Tableta,3.6
Chocolate en Barra LA IBÉRICA Fondy Dark 62% Tableta 50g,LA IBERICA,S/ 8.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,50.0,g,Chocolate en Barra LA IBÉRICA Fondy Dark 62% Tableta,8.5
Tableta de Chocolate MILKY con Hojuelas Crocantes Paquete 100g,LA IBERICA,S/ 19.90,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,100.0,g,Tableta de Chocolate MILKY con Hojuelas Crocantes Paquete,19.9
Chocolate Dark MARANA Piura Tableta 70g,MARANA,S/ 23.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,70.0,g,Chocolate Dark MARANA Piura Tableta,23.5
Chocolate para Taza BELL'S Tableta 90g,BELL'S,S/ 1.80,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,90.0,g,Chocolate para Taza BELL'S Tableta,1.8
Chocolate SUBLIME Bitter Tableta 100g,NESTLE SUBLIME,S/ 10.90,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,100.0,g,Chocolate SUBLIME Bitter Tableta,10.9
Chocolate SUBLIME Almendras Tableta 100g,NESTLE,S/ 9.90,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,100.0,g,Chocolate SUBLIME Almendras Tableta,9.9
Chocolate con Leche MARANA Cusco Tableta 70g,MARANA,S/ 20.00,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,70.0,g,Chocolate con Leche MARANA Cusco Tableta,20.0
Chocolate Dark MARANA Cusco Tableta 70g,MARANA,S/ 23.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,70.0,g,Chocolate Dark MARANA Cusco Tableta,23.5
Chocolate Dark MARANA San Martín Tableta 70g,MARANA,S/ 23.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,70.0,g,Chocolate Dark MARANA San Martín Tableta,23.5
Chocolate Bitter MONTBLANC Tableta Caja 80g,MONTBLANC,S/ 18.50,vivanda,CHOCOLATE EN TABLETA,2024-12-07 14:41:21.621269,80.0,g,Chocolate Bitter MONTBLANC Tableta Caja,18.5
