description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Azúcar Rubia Wong Bolsa 5 kg,S/ 21.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,5.0,kg,Azúcar Rubia Wong Bolsa,21.9
Azúcar Rubia Paramonga Bolsa 5 kg,S/ 23.50,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,5.0,kg,Azúcar Rubia Paramonga Bolsa,23.5
Azúcar Rubia Dulfina Bolsa 5 kg,S/ 23.60,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,5.0,kg,Azúcar Rubia Dulfina Bolsa,23.6
Azúcar Rubia Cuisine & Co 5kg,S/ 21.50,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,5.0,kg,Azúcar Rubia Cuisine & Co,21.5
Azúcar Rubia Paramonga 1kg,S/ 5.30,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Azúcar Rubia Paramonga,5.3
Panela Orgánica Cuisine & Co 1kg,S/ 14.60,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Panela Orgánica Cuisine & Co,14.6
Azúcar Rubia Cuisine & Co 1kg,S/ 4.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Azúcar Rubia Cuisine & Co,4.9
Panela Orgánica de Piura Cuisine & Co Doypack 350 g,S/ 8.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,350.0,g,Panela Orgánica de Piura Cuisine & Co Doypack,8.9
Azúcar de Coco Cuisine & Co 450g,S/ 26.70,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,450.0,g,Azúcar de Coco Cuisine & Co,26.7
Azúcar Rubia Con Stevia Cuisine&Co Doypack 500 g,S/ 7.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,500.0,g,Azúcar Rubia Con Stevia Cuisine&Co Doypack,7.9
Azúcar Rubia Wong 1kg,S/ 4.70,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Azúcar Rubia Wong,4.7
Azúcar Rubia Wong Bolsa 2 kg,S/ 8.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,2.0,kg,Azúcar Rubia Wong Bolsa,8.9
Azúcar Rubia Dulfina Bolsa 2 kg,S/ 9.50,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,2.0,kg,Azúcar Rubia Dulfina Bolsa,9.5
Azúcar Rubia Dulfina Bolsa 1 kg,S/ 5.10,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Azúcar Rubia Dulfina Bolsa,5.1
Azúcar Rubia Máxima 1kg,S/ 2.50,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,1.0,kg,Azúcar Rubia Máxima,2.5
Azúcar de Coco Orgánico Coco-Sugar Doypack 454 g,S/ 30.60,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,454.0,g,Azúcar de Coco Orgánico Coco-Sugar Doypack,30.6
Azúcar de Coco Mi Tierra 250g,S/ 17.10,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,250.0,g,Azúcar de Coco Mi Tierra,17.1
Azúcar rubia light Onza Con Stevia Doy Pack 500 g,S/ 7.30,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,500.0,g,Azúcar rubia light Onza Con Stevia Doy Pack,7.3
Azúcar Rubia Onza 60un,S/ 8.30,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,60.0,un,Azúcar Rubia Onza,8.3
Panela Orgánica Onza 500g,S/ 10.00,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,500.0,g,Panela Orgánica Onza,10.0
Panela Orgánica Panela de Piura Caja 400 g,S/ 10.80,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,400.0,g,Panela Orgánica Panela de Piura Caja,10.8
Panela Orgánica Onza 50un,S/ 10.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,50.0,un,Panela Orgánica Onza,10.9
Panela Orgánica Granulada Panela de Piura Frasco 200 g,S/ 23.90,wong,AZÚCAR RUBIA,2024-12-04 20:06:25.072027,200.0,g,Panela Orgánica Granulada Panela de Piura Frasco,23.9
