description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Mango Kafro x kg,S/ 7.43 x kg,wong,MANGO,2024-12-04 19:35:08.820601,1.0,kg,Mango Kafro,7.43
Mango Kent Wong x kg,S/ 4.49 x kg,wong,MANGO,2024-12-04 19:35:08.820601,1.0,kg,Mango Kent Wong,4.49
"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella 1L",S/ 14.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella",14.5
Mango en Trozos Natifrut 280g,S/ 14.99,wong,MANGO,2024-12-04 19:35:08.820601,280.0,g,Mango en Trozos Natifrut,14.99
"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella 475ml",S/ 7.90,wong,MANGO,2024-12-04 19:35:08.820601,475.0,ml,"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella",7.9
Pulpa de Mango Agroselva Doypack 250g,S/ 9.89,wong,MANGO,2024-12-04 19:35:08.820601,250.0,g,Pulpa de Mango Agroselva Doypack,9.89
Sixpack Bebida de Mango Frugos del Valle Caja 235ml,S/ 7.90,wong,MANGO,2024-12-04 19:35:08.820601,235.0,ml,Sixpack Bebida de Mango Frugos del Valle Caja,7.9
Bebida de Mango Gloria Caja 1L,S/ 3.90,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Gloria Caja,3.9
Sixpack Bebida Frugos del Valle Mango Fresa Caja 235ml,S/ 7.90,wong,MANGO,2024-12-04 19:35:08.820601,235.0,ml,Sixpack Bebida Frugos del Valle Mango Fresa Caja,7.9
Bebida de Mango Frugos del Valle Caja 970ml,S/ 3.90,wong,MANGO,2024-12-04 19:35:08.820601,970.0,ml,Bebida de Mango Frugos del Valle Caja,3.9
Bebida de Mango y Fresa Frugos del Valle Caja 1L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango y Fresa Frugos del Valle Caja,4.5
"Jugo de Mango, Maracuyá y Camu Camu Kero Botella 475 ml",S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,475.0,ml,"Jugo de Mango, Maracuyá y Camu Camu Kero Botella",5.9
Nectar Mango Selva Botella Vidrio 900 ml,S/ 7.90,wong,MANGO,2024-12-04 19:35:08.820601,900.0,ml,Nectar Mango Selva Botella Vidrio,7.9
Pack x2 Sixpack Bebida de Mango Frugos del Valle Caja 235ml,S/ 14.50,wong,MANGO,2024-12-04 19:35:08.820601,235.0,ml,Pack x2 Sixpack Bebida de Mango Frugos del Valle Caja,14.5
Bebida de Mango Watts Caja 1L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Watts Caja,4.5
Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre 15 g,S/ 1.20,wong,MANGO,2024-12-04 19:35:08.820601,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre,1.2
Twopack Bebida de Mango Frugos del Valle Caja 1L,S/ 7.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Twopack Bebida de Mango Frugos del Valle Caja,7.5
Jugo Ama Manzana Mango Tetra 200ml,S/ 6.60,wong,MANGO,2024-12-04 19:35:08.820601,200.0,ml,Jugo Ama Manzana Mango Tetra,6.6
Pack x4 Bebida Energizante Monster Energy Mango Loco Lata 473ml,S/ 26.50,wong,MANGO,2024-12-04 19:35:08.820601,473.0,ml,Pack x4 Bebida Energizante Monster Energy Mango Loco Lata,26.5
Néctar de Mango Selva Botella 300 ml,S/ 4.40,wong,MANGO,2024-12-04 19:35:08.820601,300.0,ml,Néctar de Mango Selva Botella,4.4
Bebida de Mango y Sandía Frumas Botella 400 ml,S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,400.0,ml,Bebida de Mango y Sandía Frumas Botella,5.9
Bebida de Mango Mogu Mogue Botella 320 ml,S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,320.0,ml,Bebida de Mango Mogu Mogue Botella,5.9
Bebida de Mango y Maracuyá Frumas Botella 400 ml,S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,400.0,ml,Bebida de Mango y Maracuyá Frumas Botella,5.9
Bebida de Mango y Durazno Frumas Botella 400 ml,S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,400.0,ml,Bebida de Mango y Durazno Frumas Botella,5.9
Pack x2 Bebida Energizante Monster Energy Mango Loco Lata 473ml,S/ 13.90,wong,MANGO,2024-12-04 19:35:08.820601,473.0,ml,Pack x2 Bebida Energizante Monster Energy Mango Loco Lata,13.9
Bebida de Mango Pulp Caja 1 L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Pulp Caja,4.5
Bebida Energizante Monster Energy Mango Loco Lata 473ml,S/ 8.00,wong,MANGO,2024-12-04 19:35:08.820601,473.0,ml,Bebida Energizante Monster Energy Mango Loco Lata,8.0
Bebida de Mango Frugos del Valle Botella 300ml,S/ 2.25,wong,MANGO,2024-12-04 19:35:08.820601,300.0,ml,Bebida de Mango Frugos del Valle Botella,2.25
