description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Sandía Wong x kg,S/ 1.99 x kg,wong,SANDÍA,2024-12-04 19:39:13.033876,1.0,kg,Sandía Wong,1.99
Sandía en Trozos Natifrut 280g,S/ 7.49,wong,SANDÍA,2024-12-04 19:39:13.033876,280.0,g,Sandía en Trozos Natifrut,7.49
Melón Coquito Wong x kg,S/ 3.49 x kg,wong,SANDÍA,2024-12-04 19:39:13.033876,1.0,kg,Melón Coquito Wong,3.49
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,SANDÍA,2024-12-04 19:39:13.033876,340.0,g,"Ensalada de Frutas Piña, Sandía y Papaya Natifrut",9.49
Mascarilla Garnier Hair Food Sandía 350ml,S/ 26.50,wong,SANDÍA,2024-12-04 19:39:13.033876,350.0,ml,Mascarilla Garnier Hair Food Sandía,26.5
Shampoo Garnier Hair Food Sandía 300ml,S/ 25.50,wong,SANDÍA,2024-12-04 19:39:13.033876,300.0,ml,Shampoo Garnier Hair Food Sandía,25.5
Aromatizante en Aerosol Glade Sandía Refrescante 400ml,S/ 11.00,wong,SANDÍA,2024-12-04 19:39:13.033876,400.0,ml,Aromatizante en Aerosol Glade Sandía Refrescante,11.0
Acondicionador Garnier Fructis Hair Food Sandía 300ml,S/ 25.50,wong,SANDÍA,2024-12-04 19:39:13.033876,300.0,ml,Acondicionador Garnier Fructis Hair Food Sandía,25.5
Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía 9un,S/ 3.60,wong,SANDÍA,2024-12-04 19:39:13.033876,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía,3.6
Bebida Ready to Drink Four Loko Sandía Lata 473 ml,S/ 9.90,wong,SANDÍA,2024-12-04 19:39:13.033876,473.0,ml,Bebida Ready to Drink Four Loko Sandía Lata,9.9
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,SANDÍA,2024-12-04 19:39:13.033876,1.0,kg,"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut",15.72
Gomitas Mogul Extreme Sandía 80g,S/ 4.60,wong,SANDÍA,2024-12-04 19:39:13.033876,80.0,g,Gomitas Mogul Extreme Sandía,4.6
Pond's Gel Limpiador Facial Fruity Hydra Fresh Extracto de Sandía Frasco 200 ml,S/ 29.90,wong,SANDÍA,2024-12-04 19:39:13.033876,200.0,ml,Pond's Gel Limpiador Facial Fruity Hydra Fresh Extracto de Sandía Frasco,29.9
Pond's Mascarilla Hidratante Fruity Hydra Fresh Extracto de Sandía 1 Unidad,S/ 12.90,wong,SANDÍA,2024-12-04 19:39:13.033876,1.0,un,Pond's Mascarilla Hidratante Fruity Hydra Fresh Extracto de Sandía ad,12.9
Pond's Gel Hidratante Fruity Hydra Fresh Extractor de Sandía Pote 110 g,S/ 29.90,wong,SANDÍA,2024-12-04 19:39:13.033876,110.0,g,Pond's Gel Hidratante Fruity Hydra Fresh Extractor de Sandía Pote,29.9
Bebida de Mango y Sandía Frumas Botella 400 ml,S/ 5.90,wong,SANDÍA,2024-12-04 19:39:13.033876,400.0,ml,Bebida de Mango y Sandía Frumas Botella,5.9
Chicle Sabor Sandía Fini Sandía Ácida 80g,S/ 4.90,wong,SANDÍA,2024-12-04 19:39:13.033876,80.0,g,Chicle Sabor Sandía Fini Sandía Ácida,4.9
Bálsamo Labial Sun Sum Sandía FPS30 4.25g,S/ 19.90,wong,SANDÍA,2024-12-04 19:39:13.033876,4.25,g,Bálsamo Labial Sun Sum Sandía FPS30,19.9
Vela Aromatizante Glade Sandía y Frambuesa 96g,S/ 24.10,wong,SANDÍA,2024-12-04 19:39:13.033876,96.0,g,Vela Aromatizante Glade Sandía y Frambuesa,24.1
Helado para Perros Sabor Arándanos y Sandía Yogy 100g,S/ 6.99,wong,SANDÍA,2024-12-04 19:39:13.033876,100.0,g,Helado para Perros Sabor Arándanos y Sandía Yogy,6.99
Caramelos Tic Tac Sandía Mix 16g,S/ 3.20,wong,SANDÍA,2024-12-04 19:39:13.033876,16.0,g,Caramelos Tic Tac Sandía Mix,3.2
Monasterio Home Design Individual Sandías 42 x 30 cm Caja 25 und,S/ 45.90,wong,SANDÍA,2024-12-04 19:39:13.033876,25.0,un,Monasterio Home Design Individual Sandías 42 x 30 cm Caja d,45.9
Pack Fructis Sandia Revitalizante 300ml: Shampoo + Acondicionador + Mascarilla,S/ 57.90,wong,SANDÍA,2024-12-04 19:39:13.033876,300.0,ml,Pack Fructis Sandia Revitalizante : Shampoo + Acondicionador + Mascarilla,57.9
Chicles Sin Azúcar Trident Evup Sandia 18un,S/ 4.10,wong,SANDÍA,2024-12-04 19:39:13.033876,18.0,un,Chicles Sin Azúcar Trident Evup Sandia,4.1
Pack Fructis Sandia Revitalizante 300ml: Shampoo + Acondicionador,S/ 40.00,wong,SANDÍA,2024-12-04 19:39:13.033876,300.0,ml,Pack Fructis Sandia Revitalizante : Shampoo + Acondicionador,40.0
Tomatodo Niu Two Sandia Hello Kitty 950ml,S/ 36.90,wong,SANDÍA,2024-12-04 19:39:13.033876,950.0,ml,Tomatodo Niu Two Sandia Hello Kitty,36.9
Botella Play Extraíble Sandia 1.4L,S/ 36.99,wong,SANDÍA,2024-12-04 19:39:13.033876,1.4,l,Botella Play Extraíble Sandia,36.99
Ambientador Spray Boles D'Olor Sandia 100ml,S/ 49.90,wong,SANDÍA,2024-12-04 19:39:13.033876,100.0,ml,Ambientador Spray Boles D'Olor Sandia,49.9
