description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Avena Integral en Hojuelas Grano de Oro 500g,S/ 5.50,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,500.0,g,Avena Integral en Hojuelas Grano de Oro,5.5
Avena Integral en Hojuelas Grano de Oro 900g,S/ 17.50,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,900.0,g,Avena Integral en Hojuelas Grano de Oro,17.5
Granola con Miel de Abeja Unión Doypack 400g,S/ 15.50,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,400.0,g,Granola con Miel de Abeja Unión Doypack,15.5
Granola con Pasas y Almendras Unión Doypack 400g,S/ 16.50,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,400.0,g,Granola con Pasas y Almendras Unión Doypack,16.5
Granola con Granos Andinos Unión Doypack 280g,S/ 15.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,280.0,g,Granola con Granos Andinos Unión Doypack,15.9
Granola Huella Verde The Skinny Mood 400g,S/ 25.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,400.0,g,Granola Huella Verde The Skinny Mood,25.9
Granola Frutos del Bosque Cuisine & Co 300g,S/ 10.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,Granola Frutos del Bosque Cuisine & Co,10.9
Granola Trozos de Chocolate Cuisine & Co 300g,S/ 10.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,Granola Trozos de Chocolate Cuisine & Co,10.9
Granola Huella Verde Chocolate Quinoa 400g,S/ 25.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,400.0,g,Granola Huella Verde Chocolate Quinoa,25.9
"Granola Crosoy Manzana, Canela y Pecanas 380g",S/ 14.40,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,380.0,g,"Granola Crosoy Manzana, Canela y Pecanas",14.4
Granola Berries Wasi Contenido 300 g,S/ 20.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,Granola Berries Wasi Contenido,20.6
Granola Almendras y Pasas Cuisine & Co 300g,S/ 10.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,Granola Almendras y Pasas Cuisine & Co,10.9
"Granola Crosoy Pasas, Coco y Almendras 380g",S/ 14.40,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,380.0,g,"Granola Crosoy Pasas, Coco y Almendras",14.4
"Granola Crosoy Ajonjolí, Vainilla y Castaña 380g",S/ 14.40,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,380.0,g,"Granola Crosoy Ajonjolí, Vainilla y Castaña",14.4
Salvado de Avena Salvavena Frasco 800 g,S/ 15.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,800.0,g,Salvado de Avena Salvavena Frasco,15.9
Granola Huella Verde Lúcuma 400g,S/ 25.90,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,400.0,g,Granola Huella Verde Lúcuma,25.9
"Granola Orgánica Castañas, Pasas y Quinua Wasi Doypack 300 g",S/ 20.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,"Granola Orgánica Castañas, Pasas y Quinua Wasi Doypack",20.6
"Granola Orgánica Pecanas, Pasas y Quinua Wasi Doypack 300 g",S/ 20.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,"Granola Orgánica Pecanas, Pasas y Quinua Wasi Doypack",20.6
Granola Dyfferent Sabor Coco Plátano 250g,S/ 19.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,250.0,g,Granola Dyfferent Sabor Coco Plátano,19.6
Granola Dyfferent Sabor Frutos del Bosque 250g,S/ 19.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,250.0,g,Granola Dyfferent Sabor Frutos del Bosque,19.6
Salvado de Trigo con Harina de Linaza Salvamix Frasco 750 g,S/ 15.40,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,750.0,g,Salvado de Trigo con Harina de Linaza Salvamix Frasco,15.4
Salvado de Avena Grano de Oro Salvavena 300g,S/ 9.40,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,300.0,g,Salvado de Avena Grano de Oro Salvavena,9.4
Salvado de Trigo con Harina de Linaza Grano de Oro Salvamix 250g,S/ 9.60,wong,AVENA A GRANEL,2024-12-05 17:35:50.871256,250.0,g,Salvado de Trigo con Harina de Linaza Grano de Oro Salvamix,9.6
