description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Gaseosa Coca Cola Sin Azúcar Botella 500ml Pack 6un,S/ 15.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Gaseosa Coca Cola Sin Azúcar Botella  Pack,15.0
Gaseosa Coca Cola Sin Azúcar Botella 2.25 Lt,S/ 7.70,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,2.25,l,Gaseosa Coca Cola Sin Azúcar Botella t,7.7
Gaseosa Coca Cola Original 3L 2un + Gaseosa Inca Kola Original 3L,S/ 30.30,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Gaseosa Coca Cola Original   + Gaseosa Inca Kola Original,30.3
Gaseosa Coca Cola Botella 1L,S/ 4.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.0,l,Gaseosa Coca Cola Botella,4.5
Gaseosa Inca Kola Sin Azúcar Botella 2.25 Lt,S/ 7.70,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,2.25,l,Gaseosa Inca Kola Sin Azúcar Botella t,7.7
Gaseosa Sprite Lima Limón Botella 3L,S/ 6.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Gaseosa Sprite Lima Limón Botella,6.9
Gaseosa Coca Cola Original 3L + Gaseosa Inca Kola Original 3L 2un,S/ 30.30,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Gaseosa Coca Cola Original  + Gaseosa Inca Kola Original,30.3
Gaseosa Coca Cola Sin Azúcar Botella 1L,S/ 4.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.0,l,Gaseosa Coca Cola Sin Azúcar Botella,4.5
Gaseosa Inca Kola Sin Azúcar Botella 1L,S/ 4.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.0,l,Gaseosa Inca Kola Sin Azúcar Botella,4.5
Gaseosa Inca Kola Sabor Original Botella 1L,S/ 4.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.0,l,Gaseosa Inca Kola Sabor Original Botella,4.5
Gaseosa Coca Cola Sin Azúcar Botella 1.5L,S/ 6.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Gaseosa Coca Cola Sin Azúcar Botella,6.9
Gaseosa Coca Cola Sabor Original Botella 3L,S/ 11.60,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Gaseosa Coca Cola Sabor Original Botella,11.6
Gaseosa Coca Cola Botella 500ml,S/ 3.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Gaseosa Coca Cola Botella,3.0
Gaseosa Coca Cola Botella 1.5L,S/ 6.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Gaseosa Coca Cola Botella,6.9
