description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Gallina Entera Con Menudencia Importada x Kg,S/ 8.90 x kg,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,kg,Gallina Entera Con Menudencia Importada,8.9
Caldo de Pollo Gallina Blanca 1L,S/ 9.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,l,Caldo de Pollo Gallina Blanca,9.5
Caldo Casero de Verduras Gallina Blanca 1L,S/ 12.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,l,Caldo Casero de Verduras Gallina Blanca,12.9
Caldo de Carne Gallina Blanca 1L,S/ 9.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,l,Caldo de Carne Gallina Blanca,9.5
Caldo de Paella de Carne Gallina Blanca 1L,S/ 19.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,l,Caldo de Paella de Carne Gallina Blanca,19.5
Cubito Sazonador Gallina Blanca Pollo de Corral 24un,S/ 11.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,24.0,un,Cubito Sazonador Gallina Blanca Pollo de Corral,11.5
Caldo para Paella de Mariscos Gallina Blanca 1L,S/ 19.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,l,Caldo para Paella de Mariscos Gallina Blanca,19.5
Cubito Sazonador Gallina Blanca Caldo Vegetal 8un,S/ 6.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,8.0,un,Cubito Sazonador Gallina Blanca Caldo Vegetal,6.5
Salsa de Champiñones Instantánea Gallina Blanca 24g,S/ 9.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,24.0,g,Salsa de Champiñones Instantánea Gallina Blanca,9.6
Crema de Espárragos Instantánea Gallina Blanca 70g,S/ 8.40,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,70.0,g,Crema de Espárragos Instantánea Gallina Blanca,8.4
Salsa Bechamel Instantánea Gallina Blanca 39g,S/ 5.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,39.0,g,Salsa Bechamel Instantánea Gallina Blanca,5.6
Crema de Champiñones Instantánea Gallina Blanca 62g,S/ 8.40,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,62.0,g,Crema de Champiñones Instantánea Gallina Blanca,8.4
Cubito Sazonador Gallina Blanca Caldo de Pescado 8un,S/ 7.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,8.0,un,Cubito Sazonador Gallina Blanca Caldo de Pescado,7.5
Cubito Sazonador Gallina Blanca Pollo de Corral 12un,S/ 6.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,12.0,un,Cubito Sazonador Gallina Blanca Pollo de Corral,6.5
Huevos Gallinas Libres 12un,S/ 15.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,12.0,un,Huevos Gallinas Libres,15.9
Concentrado en Polvo Doña Gusta Sabor Gallina 6un,S/ 2.30,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,6.0,un,Concentrado en Polvo Doña Gusta Sabor Gallina,2.3
Cubito Sazonador Maggi Sabor Gallina 8un,S/ 4.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,8.0,un,Cubito Sazonador Maggi Sabor Gallina,4.5
Cubito Sazonador Maggi Sabor Gallina 25un,S/ 5.70,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,25.0,un,Cubito Sazonador Maggi Sabor Gallina,5.7
Sopa Instantánea Ajinomen Sabor Gallina 80g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,80.0,g,Sopa Instantánea Ajinomen Sabor Gallina,1.6
Sopa de Gallina Picante con Fideos Ajinomen Sobre 80 g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,80.0,g,Sopa de Gallina Picante con Fideos Ajinomen Sobre,1.6
Trucha Entera Extra Eviscerada x kg,S/ 28.90 x kg,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,kg,Trucha Entera Extra Eviscerada,28.9
Sopa de Gallina Criolla con Fideos Ajinomen Sobre 80 g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,80.0,g,Sopa de Gallina Criolla con Fideos Ajinomen Sobre,1.6
Trucha Entera Eviscerada Cuisine & Co 700g,S/ 23.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,700.0,g,Trucha Entera Eviscerada Cuisine & Co,23.5
Base para Ají de Gallina Provenzal Sobre 100 g,S/ 9.30,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,100.0,g,Base para Ají de Gallina Provenzal Sobre,9.3
Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g,S/ 3.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,51.0,g,Sopa Instantánea Sabor a Gallina Ajinomen Vaso,3.6
Sopa con Fideos Instantánea Ajinomen Sabor Gallina Light 80g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,80.0,g,Sopa con Fideos Instantánea Ajinomen Sabor Gallina Light,1.6
Sopa Instantánea Sabor a Gallina Picante Ajinomen Vaso 51 g,S/ 3.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,51.0,g,Sopa Instantánea Sabor a Gallina Picante Ajinomen Vaso,3.6
Sopa Instantánea Maggi Sopa Criolla Sabor Gallina con Fideos 60g,S/ 3.80,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,60.0,g,Sopa Instantánea Maggi Sopa Criolla Sabor Gallina con Fideos,3.8
Aji de gallina con arroz Nadú Caja 340 g,S/ 15.99,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,340.0,g,Aji de gallina con arroz Nadú Caja,15.99
Ají de Gallina con Arroz Blanco Cuisine & Co 400g,S/ 13.20,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,400.0,g,Ají de Gallina con Arroz Blanco Cuisine & Co,13.2
Sopa Instantánea Sabor Gallina Maruchan 64g,S/ 4.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,64.0,g,Sopa Instantánea Sabor Gallina Maruchan,4.5
Juane de Gallina x un,S/ 17.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,un,Juane de Gallina,17.9
Trucha Entera Eviscerada x kg,S/ 24.90 x kg,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,1.0,kg,Trucha Entera Eviscerada,24.9
Galletas San Jorge Soda Pack 7un,S/ 4.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,7.0,un,Galletas San Jorge Soda Pack,4.6
Galletas de Maíz Horneadas Salmas 144g,S/ 10.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,144.0,g,Galletas de Maíz Horneadas Salmas,10.5
Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja 360 g,S/ 17.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,360.0,g,Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja,17.9
Galletas Dulces Chaplin 90g,S/ 3.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,90.0,g,Galletas Dulces Chaplin,3.9
Galletas de Arroz Clásicas Sin Gluten Costeño Doypack 150 g,S/ 7.10,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,150.0,g,Galletas de Arroz Clásicas Sin Gluten Costeño Doypack,7.1
Galletas de Arroz Integral con Ajonjolí SuperSlim Want Want Caja 100 g,S/ 11.10,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,100.0,g,Galletas de Arroz Integral con Ajonjolí SuperSlim Want Want Caja,11.1
Galletas Salmas Camote y Zanahoria 126g,S/ 11.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,126.0,g,Galletas Salmas Camote y Zanahoria,11.5
Galletas Crackelet Snack Jamón Ahumado 47 g,S/ 1.30,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,47.0,g,Galletas Crackelet Snack Jamón Ahumado,1.3
Galletas Danesas Christmas Special Lata 340g,S/ 12.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,340.0,g,Galletas Danesas Christmas Special Lata,12.9
Galletas Integrackers Integrackers Miel 30g 9un,S/ 7.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,30.0,g,Galletas Integrackers Integrackers Miel,7.5
Galletas de Maíz Horneadas Salmas Granos y Semillas 126g,S/ 11.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,126.0,g,Galletas de Maíz Horneadas Salmas Granos y Semillas,11.5
Galletas Sabor Vainilla Munición Bolsa 450 g,S/ 6.99,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,450.0,g,Galletas Sabor Vainilla Munición Bolsa,6.99
Galletas de Maíz Horneadas Salmitas Caja 80 g,S/ 5.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,80.0,g,Galletas de Maíz Horneadas Salmitas Caja,5.5
Galletas Animalitos Vainilla Bolsa 150 g,S/ 2.20,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,150.0,g,Galletas Animalitos Vainilla Bolsa,2.2
Galletas Morochas Fiesta 20un,S/ 8.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,20.0,un,Galletas Morochas Fiesta,8.9
Galletas Animalitos Vainilla Bolsa 500 g,S/ 5.70,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,500.0,g,Galletas Animalitos Vainilla Bolsa,5.7
Galletas Gerber Nutri Puffs Fresa y Plátano 42g,S/ 19.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,42.0,g,Galletas Gerber Nutri Puffs Fresa y Plátano,19.9
Galletas Chips Ahoy Mini Original 50g,S/ 1.99,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,50.0,g,Galletas Chips Ahoy Mini Original,1.99
Galletas con Quinua y Frutos Rojos Incasur Caja 6 unid Bolsa 30 gr,S/ 7.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,6.0,un,Galletas con Quinua y Frutos Rojos Incasur Caja  Bolsa r,7.9
Galletas de Maíz Horneadas Salmas Maíz Morado 126g,S/ 11.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,126.0,g,Galletas de Maíz Horneadas Salmas Maíz Morado,11.5
Galletas Saladas Ritz Mini 50g,S/ 1.70,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,50.0,g,Galletas Saladas Ritz Mini,1.7
Galletas Integrales con Coco Unión Bolsa 195 gr,S/ 5.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,195.0,g,Galletas Integrales con Coco Unión Bolsa r,5.5
Galletas Integrales con Sabor a Naranja Unión Bolsa 195 g,S/ 5.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,195.0,g,Galletas Integrales con Sabor a Naranja Unión Bolsa,5.5
Galletas Rellenas Nestlé Choco Trio Cookies and Cream 90g,S/ 12.50,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,90.0,g,Galletas Rellenas Nestlé Choco Trio Cookies and Cream,12.5
Galletas Field Sabor Vainilla Family Size 148g,S/ 2.70,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,148.0,g,Galletas Field Sabor Vainilla Family Size,2.7
Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa 150 gr,S/ 4.10,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,150.0,g,Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa r,4.1
Galletas Saladas Cream Crackers 258g,S/ 6.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,258.0,g,Galletas Saladas Cream Crackers,6.9
Galletas Ricocrack Multisabores Adultos 500g,S/ 15.00,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,500.0,g,Galletas Ricocrack Multisabores Adultos,15.0
Galletas Pícaras La Clásica 20un,S/ 9.60,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,20.0,un,Galletas Pícaras La Clásica,9.6
Vino Blanco Pinot Grigio Callia Botella 750ml,S/ 34.90,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,750.0,ml,Vino Blanco Pinot Grigio Callia Botella,34.9
Galletas Choco Chips Santiveri Sin Azúcar Paquete 185 gr,S/ 21.30,wong,GALLINA EVISCERADA,2024-12-05 17:59:12.590624,185.0,g,Galletas Choco Chips Santiveri Sin Azúcar Paquete r,21.3
