description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Miel de Abeja La Abeja Real Frasco 300 g,S/ 14.60,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja La Abeja Real Frasco,14.6
Miel de Abeja La Abeja Real Floración Especial Eucalipto Frasco 500 g,S/ 22.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,500.0,g,Miel de Abeja La Abeja Real Floración Especial Eucalipto Frasco,22.9
Miel de Abeja La Reyna de Oxapampa Frasco 600 g,S/ 37.16,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja La Reyna de Oxapampa Frasco,37.16
Miel de Abeja La Reyna de Oxapampa Frasco 1.1 Kg,S/ 64.35,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1.1,kg,Miel de Abeja La Reyna de Oxapampa Frasco,64.35
Miel de Abeja La Reyna de Oxapampa Frasco 300 g,S/ 22.28,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja La Reyna de Oxapampa Frasco,22.28
Miel De Abeja Cuisine&Co Frasco 600 g,S/ 29.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel De Abeja Cuisine&Co Frasco,29.5
Miel de Abeja Reyna de Oxapampa Frasco 175 g,S/ 16.17,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,175.0,g,Miel de Abeja Reyna de Oxapampa Frasco,16.17
Miel de Abeja Olivos del Sur 500 g,S/ 27.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,500.0,g,Miel de Abeja Olivos del Sur,27.5
Miel De Abeja Cuisine&Co Frasco 300 g,S/ 18.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel De Abeja Cuisine&Co Frasco,18.5
Miel De Abeja Dulce Natura Floración Eucalipto Frasco 1100 g,S/ 58.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1100.0,g,Miel De Abeja Dulce Natura Floración Eucalipto Frasco,58.9
Miel de Abeja Callejón de Huaylas Natural Frasco 300 g,S/ 22.10,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja Callejón de Huaylas Natural Frasco,22.1
Miel de Abeja Callejón de Huaylas Frasco 600 g,S/ 46.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja Callejón de Huaylas Frasco,46.9
Miel de Abeja Hacienda de Najar 1kg,S/ 62.70,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1.0,kg,Miel de Abeja Hacienda de Najar,62.7
Miel de Abeja Dolce Natura Floración Silvestre Frasco 600 g,S/ 33.70,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja Dolce Natura Floración Silvestre Frasco,33.7
Miel de Abeja Cuisine&Co Frasco 1100 g,S/ 52.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1100.0,g,Miel de Abeja Cuisine&Co Frasco,52.5
Miel de Abeja La Reyna de Oxapampa Frasco 750 g,S/ 43.45,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,750.0,g,Miel de Abeja La Reyna de Oxapampa Frasco,43.45
Miel De Abeja Callejón De Huaylas Frasco 1100 g,S/ 64.80,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1100.0,g,Miel De Abeja Callejón De Huaylas Frasco,64.8
Miel de Abeja Dulce Natura Floración Silvestre Frasco 1100 g,S/ 58.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1100.0,g,Miel de Abeja Dulce Natura Floración Silvestre Frasco,58.9
Miel de Abeja Dolce Natura Floración Eucalipto Frasco 600 g,S/ 33.70,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja Dolce Natura Floración Eucalipto Frasco,33.7
Miel de Abeja Hacienda de Najar 600g,S/ 37.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja Hacienda de Najar,37.5
Miel De Abeja Orgánica Wasi Frasco 300 g,S/ 32.40,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel De Abeja Orgánica Wasi Frasco,32.4
Miel de Abejas Silvestre Callejón de Huaylas Frasco 500 g,S/ 37.40,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,500.0,g,Miel de Abejas Silvestre Callejón de Huaylas Frasco,37.4
Miel de Abeja Artidoro Rodríguez Cusco 300g,S/ 27.60,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja Artidoro Rodríguez Cusco,27.6
Miel de Abeja Natural Queen Bee's Frasco 1 kg,S/ 46.20,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1.0,kg,Miel de Abeja Natural Queen Bee's Frasco,46.2
Miel de Abeja Callejón de Huaylas Eucalipto Frasco 500 g,S/ 41.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,500.0,g,Miel de Abeja Callejón de Huaylas Eucalipto Frasco,41.9
Miel de Abeja Hacienda de Najar 350g,S/ 28.80,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,350.0,g,Miel de Abeja Hacienda de Najar,28.8
Miel de Abeja Dolce Natura Floración Silvestre Frasco 300 g,S/ 21.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja Dolce Natura Floración Silvestre Frasco,21.9
Miel de Abeja Queen Bee's Frasco 450 g,S/ 25.30,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,450.0,g,Miel de Abeja Queen Bee's Frasco,25.3
Miel de Abeja Dulce Natura Floración Eucalipto Frasco 300 g,S/ 21.90,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja Dulce Natura Floración Eucalipto Frasco,21.9
Miel de Abeja Artidoro Rodríguez Amazonas 300g,S/ 27.60,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,300.0,g,Miel de Abeja Artidoro Rodríguez Amazonas,27.6
Miel de Abeja Queen Bee's Frasco 600 g,S/ 30.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,600.0,g,Miel de Abeja Queen Bee's Frasco,30.5
Miel De Abejas Cosecha Del Paraíso Frasco 1.5 kg,S/ 84.70,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,1.5,kg,Miel De Abejas Cosecha Del Paraíso Frasco,84.7
Granola con Miel de Abeja Unión Doypack 400g,S/ 15.50,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,400.0,g,Granola con Miel de Abeja Unión Doypack,15.5
Jabón de Glicerina Glici Miel de Abeja Pack 3 Unid 90 g,S/ 9.30,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,3.0,un,Jabón de Glicerina Glici Miel de Abeja Pack,9.3
Yogurt Estílo Griego Tigo con Miel de Abeja Vaso 160 g,S/ 5.70,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,160.0,g,Yogurt Estílo Griego Tigo con Miel de Abeja Vaso,5.7
Polen de Abeja La Reyna de Oxapampa Frasco 140 g,S/ 27.25,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,140.0,g,Polen de Abeja La Reyna de Oxapampa Frasco,27.25
Polen de Abeja Hacienda de Najar 150g,S/ 31.60,wong,MIEL DE ABEJA,2024-12-05 19:02:51.895009,150.0,g,Polen de Abeja Hacienda de Najar,31.6
