description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Refresco Instantáneo Umsha Frutísimos Sabor Chicha Morada 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Chicha Morada,1.6
Refresco Instantáneo Sabores de Mi Tierra Chicha Morada Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Chicha Morada Sobre,1.2
Refresco Instantáneo Toronja Clight Sobre Doble 14 g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Refresco Instantáneo Toronja Clight Sobre Doble,2.3
Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá,1.6
Refresco Instantáneo Sabor Maracuyá Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabor Maracuyá Sobre,1.2
Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre,1.2
Refresco Instantáneo Sabor Piña Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabor Piña Sobre,1.2
Refresco Instantáneo Sabor Naranja Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabor Naranja Sobre,1.2
Refresco Instantáneo Sabores de Mi Tierra Limonada Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Limonada Sobre,1.2
Refresco Instantáneo Umsha Frutísimos Sabor Naranja 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Naranja,1.6
Refresco Instantáneo Sabores de Mi Tierra Emoliente Sobre 15 g,S/ 1.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Emoliente Sobre,1.2
Refresco Instantáneo Umsha Frutísimos Sabor Piña 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Piña,1.6
Fluido Facial Día Nivea Luminous 630° Anti Manchas FPS50 40ml,S/ 54.54,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,40.0,ml,Fluido Facial Día Nivea Luminous 630° Anti Manchas FPS50,54.54
Fluido Luminoso FPS 50 Azelac Ru Sesderma Frasco 50 ml,S/ 199.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,50.0,ml,Fluido Luminoso FPS 50 Azelac Ru Sesderma Frasco,199.0
