description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Tostadas Con Ajos y Perejil La Mole Bolsa 150 g,S/ 24.80,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,150.0,g,Tostadas Con Ajos y Perejil La Mole Bolsa,24.8
Tostadas Integrales Bimbo 10un,S/ 7.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tostadas Integrales Bimbo,7.9
Tostadas Clásicas Bimbo Paquete 10 unid,S/ 7.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tostadas Clásicas Bimbo Paquete,7.9
Tostadas Integrales Bimbo Cero Cero 140g,S/ 7.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,140.0,g,Tostadas Integrales Bimbo Cero Cero,7.9
Tostadas Integrales 20un,S/ 7.79,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,20.0,un,Tostadas Integrales,7.79
Tostadas Integrales Unión Bolsa 10 unid,S/ 8.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tostadas Integrales Unión Bolsa,8.5
Tostadas Clásicas 20un,S/ 7.79,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,20.0,un,Tostadas Clásicas,7.79
Tostadas Clásicas Unión Bolsa 10 unid,S/ 8.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tostadas Clásicas Unión Bolsa,8.5
Tostadas Piqueo Arito Don Mamino 85 G,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostadas Piqueo Arito Don Mamino,8.9
Tostadas Nat Crackers Cranberry y Nuez 160g,S/ 25.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,160.0,g,Tostadas Nat Crackers Cranberry y Nuez,25.9
Tostadas Sin Gluten Santiveri Noglut 100g,S/ 16.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,100.0,g,Tostadas Sin Gluten Santiveri Noglut,16.5
Tostadas Clásicas Wong 115g,S/ 7.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,115.0,g,Tostadas Clásicas Wong,7.9
Tostadas Integrales Wong 125g,S/ 7.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,125.0,g,Tostadas Integrales Wong,7.9
Tostadas Nat Crackers Pistacho y Romero 160g,S/ 25.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,160.0,g,Tostadas Nat Crackers Pistacho y Romero,25.9
Tostadas Clásicas Bauducco 42g,S/ 8.70,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,42.0,g,Tostadas Clásicas Bauducco,8.7
Tostadas Integrales 142 g,S/ 8.70,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,142.0,g,Tostadas Integrales,8.7
"Tostadas Nat Crackers Caju, Pasas y Jengibre 160g",S/ 25.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,160.0,g,"Tostadas Nat Crackers Caju, Pasas y Jengibre",25.9
Tostaditas Piqueo Don Mamino Marmoleadas Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Piqueo Don Mamino Marmoleadas Caja,8.9
Tostaditas Cuadradas Don Mamino Clásicas Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Cuadradas Don Mamino Clásicas Caja,8.9
Tostaditas Cuadradas Don Mamino Marmoleadas Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Cuadradas Don Mamino Marmoleadas Caja,8.9
Tostaditas Piqueo Don Mamino Naturales Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Piqueo Don Mamino Naturales Caja,8.9
Tostaditas Artesanales Wong 85g,S/ 8.10,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Artesanales Wong,8.1
Tostaditas Cuadradas Don Mamino Salvado de Trigo Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Cuadradas Don Mamino Salvado de Trigo Caja,8.9
Tostaditas Piqueo Don Mamino Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Piqueo Don Mamino Caja,8.9
Tostaditas Piqueo Don Mamino Arito salvado de Trigo Caja 85 g,S/ 8.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,85.0,g,Tostaditas Piqueo Don Mamino Arito salvado de Trigo Caja,8.9
Bruschetta con Tomate y Orégano La Mole 150g,S/ 24.80,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,150.0,g,Bruschetta con Tomate y Orégano La Mole,24.8
Palitos Mini Pizza La Mole Bolsa 100 g,S/ 15.40,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,100.0,g,Palitos Mini Pizza La Mole Bolsa,15.4
Palitos Al Olivo La Mole 100g,S/ 15.40,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,100.0,g,Palitos Al Olivo La Mole,15.4
Molde Krea Muffin 6un,S/ 14.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,6.0,un,Molde Krea Muffin,14.0
Pyrex Molde para Pan 1.4 Lt,S/ 48.99,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,1.4,l,Pyrex Molde para Pan t,48.99
Tortillas de Trigo Clásicas Rapiditas Bimbo 12 unid,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas de Trigo Clásicas Rapiditas Bimbo,10.5
Tortillas de Trigo Clásicas Rapiditas Wraps Bimbo Paquete 6 unid,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,6.0,un,Tortillas de Trigo Clásicas Rapiditas Wraps Bimbo Paquete,10.5
Galletas de Maíz Horneadas Salmas 144g,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,144.0,g,Galletas de Maíz Horneadas Salmas,10.5
