description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Sixpack Mezcla Láctea Ideal Cremosita Lata 390g,S/ 22.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Ideal Cremosita Lata,22.9
Sixpack Mezcla Láctea Ideal Amanecer Lata 390g,S/ 18.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Ideal Amanecer Lata,18.9
Sixpack Leche Reconstituida Gloria Lata 390g,S/ 23.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Leche Reconstituida Gloria Lata,23.5
Pack x6 Leche Evaporada Gloria Entera,S/ 23.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,6.0,l,Pack xeche Evaporada Gloria Entera,23.5
Sixpaxk Leche Reconstituida Gloria Light Lata 390g,S/ 24.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpaxk Leche Reconstituida Gloria Light Lata,24.1
Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 24.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,24.1
Leche Reconstituida Gloria Lata 390g,S/ 4.30,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Reconstituida Gloria Lata,4.3
Leche Light Laive Sin Lactosa Botella 390g,S/ 4.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Light Laive Sin Lactosa Botella,4.9
Leche Reconstituida Gloria Light Lata 390g,S/ 4.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Reconstituida Gloria Light Lata,4.5
Leche Concentrada Sin Lactosa Laive Botella 390g,S/ 4.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Concentrada Sin Lactosa Laive Botella,4.5
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,4.5
Leche Concentrada Laive Botella 390g,S/ 4.40,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Concentrada Laive Botella,4.4
Leche en Polvo Gloria Lata 800 g,S/ 42.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,800.0,g,Leche en Polvo Gloria Lata,42.9
Leche Concentrada Laive Bolsa 390g,S/ 3.80,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Concentrada Laive Bolsa,3.8
Leche en Polvo Gloria Bolsa 96g,S/ 5.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,96.0,g,Leche en Polvo Gloria Bolsa,5.9
Leche Reconstituida Gloria Niños Lata 390g,S/ 4.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Leche Reconstituida Gloria Niños Lata,4.5
Leche Reconstituida con Vitaminas Gloria Lata 170g,S/ 2.20,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Leche Reconstituida con Vitaminas Gloria Lata,2.2
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,S/ 2.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,2.5
Gloria Leche Light 170g,S/ 2.80,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Gloria Leche Light,2.8
Sixpack Leche Concentrada Sin Lactosa Laive Botella 390g,S/ 22.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Leche Concentrada Sin Lactosa Laive Botella,22.9
Sixpack Leche Light Laive Sin Lactosa Botella 390g,S/ 22.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Leche Light Laive Sin Lactosa Botella,22.9
Pack x6 Mezcla Láctea Laive Sin Lactosa 480g,S/ 23.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,480.0,g,Pack x6 Mezcla Láctea Laive Sin Lactosa,23.5
Pack x6 Leche Concentrada Laive 390g,S/ 21.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,6.0,l,Pack xeche Concentrada Laive,21.9
Sixpack Mezcla Láctea Laive Light Sin Lactosa Caja 480g,S/ 24.20,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,480.0,g,Sixpack Mezcla Láctea Laive Light Sin Lactosa Caja,24.2
Pack x8 Mezcla Láctea Ideal Cremosita 390g,S/ 29.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Pack x8 Mezcla Láctea Ideal Cremosita,29.9
Sixpack Leche Reconstituida Gloria Niños Lata 390g,S/ 24.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Leche Reconstituida Gloria Niños Lata,24.1
Sixpack Mezcla Láctea Bonlé Familiar Caja 480g,S/ 20.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,480.0,g,Sixpack Mezcla Láctea Bonlé Familiar Caja,20.9
Sixpack Leche Reconstituida con Vitaminas Gloria Lata 170g,S/ 13.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Sixpack Leche Reconstituida con Vitaminas Gloria Lata,13.1
Pack x6 Gloria Leche Light 170g,S/ 13.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,6.0,g,Pack xloria Leche Light,13.1
Sixpack Mezcla Láctea Sin Lactosa Bonlé Caja 480g,S/ 20.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,480.0,g,Sixpack Mezcla Láctea Sin Lactosa Bonlé Caja,20.5
Pack x8 Mezcla Láctea Ideal Amanecer Lata 390g,S/ 23.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Pack x8 Mezcla Láctea Ideal Amanecer Lata,23.9
Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,S/ 14.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,14.9
Mezcla Láctea Ideal Cremosita Lata 390g,S/ 4.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Ideal Cremosita Lata,4.9
Sixpack Mezcla Láctea Ideal Light Lata 390g,S/ 23.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Ideal Light Lata,23.9
Sixpack Mezcla Láctea Bonlé Defensis Lata 390g,S/ 15.30,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Bonlé Defensis Lata,15.3
Mezcla Láctea en Polvo Anchor Lata 800g,S/ 36.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,800.0,g,Mezcla Láctea en Polvo Anchor Lata,36.9
Sixpack Mezcla Láctea Bonlé Familiar Lata 390g,S/ 18.00,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Bonlé Familiar Lata,18.0
Sixpack Mezcla Láctea Laive Nutrilac Botella 390g,S/ 20.30,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Laive Nutrilac Botella,20.3
Mezcla Láctea en Polvo Anchor Bolsa 96g,S/ 5.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,96.0,g,Mezcla Láctea en Polvo Anchor Bolsa,5.5
Sixpack Fórmula de Continuación NAN 3 Bebés 390g,S/ 34.40,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Fórmula de Continuación NAN 3 Bebés,34.4
Sixpack Mezcla Láctea Bonlé Cremosa Lata 390g,S/ 22.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Mezcla Láctea Bonlé Cremosa Lata,22.1
Mezcla Láctea Laive Nutrilac Botella 390g,S/ 3.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Laive Nutrilac Botella,3.5
Mezcla Láctea Ideal Amanecer 390g,S/ 4.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Ideal Amanecer,4.1
Sixpack Fórmula de Continuación NAN 2 Bebés 390g,S/ 37.10,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Sixpack Fórmula de Continuación NAN 2 Bebés,37.1
Mezcla Láctea Ideal Light Lata 390g,S/ 4.80,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Ideal Light Lata,4.8
Sixpack Leche Reconstituida Gloria Niños Lata 170g,S/ 15.90,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,170.0,g,Sixpack Leche Reconstituida Gloria Niños Lata,15.9
Mezcla Láctea Bonlé Familiar Lata 390g,S/ 3.00,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Bonlé Familiar Lata,3.0
Bebida a Base de Coco Evaporada Lata 360 g,S/ 9.70,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,360.0,g,Bebida a Base de Coco Evaporada Lata,9.7
Fórmula de Continuación NAN 2 Bebés 390g,S/ 6.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Fórmula de Continuación NAN 2 Bebés,6.5
Mezcla Láctea Bonlé Defensis Lata 390g,S/ 2.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Mezcla Láctea Bonlé Defensis Lata,2.5
Fórmula de Continuación NAN 3 Bebés 390g,S/ 6.50,wong,LECHE EVAPORADA,2024-12-06 13:35:55.608820,390.0,g,Fórmula de Continuación NAN 3 Bebés,6.5
