description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Aceite Vegetal Primor Premium Botella 900ml,S/ 10.70,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,900.0,ml,Aceite Vegetal Primor Premium Botella,10.7
Aceite Vegetal Primor Premium 900ml + Mayonesa AlaCena 850g,S/ 25.50,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,900.0,ml,Aceite Vegetal Primor Premium  + Mayonesa AlaCena,25.5
Aceite Vegetal Primor Clásico Botella 900ml,S/ 9.80,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,900.0,ml,Aceite Vegetal Primor Clásico Botella,9.8
Aceite Vegetal Cuisine & Co 900ml,S/ 8.90,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,900.0,ml,Aceite Vegetal Cuisine & Co,8.9
Aceite Vegetal Primor Clásico Botella 1.8L,S/ 16.50,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,1.8,l,Aceite Vegetal Primor Clásico Botella,16.5
Aceite De Cartamo Oléico Botella 710 ml,S/ 33.60,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,710.0,ml,Aceite De Cartamo Oléico Botella,33.6
Aceite Oleico de Carmano 946ml,S/ 42.90,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,946.0,ml,Aceite Oleico de Carmano,42.9
Aceite De Cartamo Oléico Spray 170 g,S/ 24.40,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,170.0,g,Aceite De Cartamo Oléico Spray,24.4
Aceite Oleico de Carmano 380g,S/ 41.40,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,380.0,g,Aceite Oleico de Carmano,41.4
Aceite Oliva Extra Virgen Borges Botella 1 Litro,S/ 45.60,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,1.0,l,Aceite Oliva Extra Virgen Borges Botella itro,45.6
Aceite de Oliva Filippo Berio Extra Virgen 500ml,S/ 39.90,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,500.0,ml,Aceite de Oliva Filippo Berio Extra Virgen,39.9
Aceite de Oliva Extra Virgen Cuisine & Co 1L,S/ 65.90,wong,ACEITE VEGETAL ENVASADO,2024-12-07 17:21:19.610569,1.0,l,Aceite de Oliva Extra Virgen Cuisine & Co,65.9
