description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Espinaca Baby Ecologic 150g,S/ 4.90,wong,ESPINACA,2024-12-07 17:39:55.563019,150.0,g,Espinaca Baby Ecologic,4.9
Espinaca Frescas 400g,S/ 6.30,wong,ESPINACA,2024-12-07 17:39:55.563019,400.0,g,Espinaca Frescas,6.3
Espinaca x kg,S/ 6.99 x kg,wong,ESPINACA,2024-12-07 17:39:55.563019,1.0,kg,Espinaca,6.99
Espinaca Bebé Frescas 150g,S/ 3.80,wong,ESPINACA,2024-12-07 17:39:55.563019,150.0,g,Espinaca Bebé Frescas,3.8
Espinaca Hidropónica de Invernadero Ecologic 500g,S/ 7.60,wong,ESPINACA,2024-12-07 17:39:55.563019,500.0,g,Espinaca Hidropónica de Invernadero Ecologic,7.6
Espinaca Fresca Meza atado 500g,S/ 3.80,wong,ESPINACA,2024-12-07 17:39:55.563019,500.0,g,Espinaca Fresca Meza atado,3.8
Espinaca Baby Deshojada Verde Puro 180g,S/ 8.70,wong,ESPINACA,2024-12-07 17:39:55.563019,180.0,g,Espinaca Baby Deshojada Verde Puro,8.7
Espinaca Cuisine & Co 500g,S/ 5.90,wong,ESPINACA,2024-12-07 17:39:55.563019,500.0,g,Espinaca Cuisine & Co,5.9
Espinaca Bebé Cuisine & Co 150g,S/ 6.50,wong,ESPINACA,2024-12-07 17:39:55.563019,150.0,g,Espinaca Bebé Cuisine & Co,6.5
Espinaca Don Miguel 500 g,S/ 8.50,wong,ESPINACA,2024-12-07 17:39:55.563019,500.0,g,Espinaca Don Miguel,8.5
Espinaca Entera Verde Puro 500g,S/ 7.90,wong,ESPINACA,2024-12-07 17:39:55.563019,500.0,g,Espinaca Entera Verde Puro,7.9
Espinaca Bebé de Invernadero Don Miguel 150 g,S/ 6.40,wong,ESPINACA,2024-12-07 17:39:55.563019,150.0,g,Espinaca Bebé de Invernadero Don Miguel,6.4
Ravioles de Espinaca con Queso Ricotta Wong 24un,S/ 14.90,wong,ESPINACA,2024-12-07 17:39:55.563019,24.0,un,Ravioles de Espinaca con Queso Ricotta Wong,14.9
Ravioles de Ricotta y Espinaca Wong 24un,S/ 14.90,wong,ESPINACA,2024-12-07 17:39:55.563019,24.0,un,Ravioles de Ricotta y Espinaca Wong,14.9
Pack x2 Ravioles con Espinaca y Queso Ricotta Wong 24un.,S/ 21.50,wong,ESPINACA,2024-12-07 17:39:55.563019,24.0,un,Pack x2 Ravioles con Espinaca y Queso Ricotta Wong .,21.5
"Compota Smiley Kids Pera, Zapallito, Espinaca y Arroz 90g",S/ 4.90,wong,ESPINACA,2024-12-07 17:39:55.563019,90.0,g,"Compota Smiley Kids Pera, Zapallito, Espinaca y Arroz",4.9
Fetuccini de Espinaca Wong 480g,S/ 6.90,wong,ESPINACA,2024-12-07 17:39:55.563019,480.0,g,Fetuccini de Espinaca Wong,6.9
Spaghetti de Espinaca Wong Caja 480 g,S/ 6.50,wong,ESPINACA,2024-12-07 17:39:55.563019,480.0,g,Spaghetti de Espinaca Wong Caja,6.5
