description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Maracuyá x kg,S/ 7.99 x kg,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,kg,Maracuyá,7.99
"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella 1L",S/ 14.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,l,"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella",14.5
"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella 475ml",S/ 7.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,475.0,ml,"Jugo Cold Pressed de Naranja, Mango y Maracuyá Ecofresh Botella",7.9
Pulpa de Maracuyá Agroselva Doypack 250g,S/ 12.99,wong,MARACUYÁ,2024-12-07 17:24:29.970220,250.0,g,Pulpa de Maracuyá Agroselva Doypack,12.99
Concentrado de Maracuya Agro Selva 500g,S/ 12.99,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,g,Concentrado de Maracuya Agro Selva,12.99
Pulpa de Maracuyá Congelada El Frutero 500g,S/ 9.44,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,g,Pulpa de Maracuyá Congelada El Frutero,9.44
Sixpack Bebida con Gas San Luis Maracuyá Botella 625ml,S/ 13.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,625.0,ml,Sixpack Bebida con Gas San Luis Maracuyá Botella,13.2
Yogurt Gloria Griego Sabor Maracuyá 120g,S/ 2.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,120.0,g,Yogurt Gloria Griego Sabor Maracuyá,2.2
Bebida de Maracuyá Gloria Caja 1L,S/ 3.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,l,Bebida de Maracuyá Gloria Caja,3.9
Bebida Con Gas San Luis Maracuyá Botella 625ml,S/ 2.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,625.0,ml,Bebida Con Gas San Luis Maracuyá Botella,2.2
Sixpack Bebida con Gas San Luis Maracuyá Botella 625ml,S/ 13.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,625.0,ml,Sixpack Bebida con Gas San Luis Maracuyá Botella,13.2
Yogurt Gloria Slim Sabor Maracuyá 120g,S/ 2.00,wong,MARACUYÁ,2024-12-07 17:24:29.970220,120.0,g,Yogurt Gloria Slim Sabor Maracuyá,2.0
Tripack Jabón de Glicerina Family Care Maracuyá 100g,S/ 7.80,wong,MARACUYÁ,2024-12-07 17:24:29.970220,100.0,g,Tripack Jabón de Glicerina Family Care Maracuyá,7.8
Helado Frio Rico Crocante Maracuyá 900ml,S/ 24.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,900.0,ml,Helado Frio Rico Crocante Maracuyá,24.9
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,S/ 8.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,800.0,g,Yogurt Batido Laive Griego Sabor Mango Maracuyá,8.5
Cheesecake de Maracuyá Dulce Pasión 10 Porciones,S/ 47.92,wong,MARACUYÁ,2024-12-07 17:24:29.970220,10.0,un,Cheesecake de Maracuyá Dulce Pasión,47.92
"Jugo de Mango, Maracuyá y Camu Camu Kero Botella 475 ml",S/ 5.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,475.0,ml,"Jugo de Mango, Maracuyá y Camu Camu Kero Botella",5.9
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,S/ 9.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.7,kg,Yogurt Bebible Gloria Slim Maracuyá Galonera,9.2
Bebida Chilcano de Pisco Piscano Maracuyá Botella 275ml,S/ 5.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,275.0,ml,Bebida Chilcano de Pisco Piscano Maracuyá Botella,5.9
Kombucha Veda Maracuyá Botella 260ml,S/ 10.75,wong,MARACUYÁ,2024-12-07 17:24:29.970220,260.0,ml,Kombucha Veda Maracuyá Botella,10.75
Chupetín Globo Pop Sabor Maracuyá 24un,S/ 8.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,24.0,un,Chupetín Globo Pop Sabor Maracuyá,8.2
Yogurt Gloria Griego Sabor Maracuyá 800g,S/ 6.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,800.0,g,Yogurt Gloria Griego Sabor Maracuyá,6.9
Cheesecake Horneado de Maracuyá Dulce Pasión 10 Porciones,S/ 55.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,10.0,un,Cheesecake Horneado de Maracuyá Dulce Pasión,55.9
Bebida Ready to Drink Portón Chilcano Sabor Maracuyá Lata 355ml,S/ 8.00,wong,MARACUYÁ,2024-12-07 17:24:29.970220,355.0,ml,Bebida Ready to Drink Portón Chilcano Sabor Maracuyá Lata,8.0
Sixpack Bebida Mike's Hard Lemonade Maracuyá Lata 355ml,S/ 33.00,wong,MARACUYÁ,2024-12-07 17:24:29.970220,355.0,ml,Sixpack Bebida Mike's Hard Lemonade Maracuyá Lata,33.0
Chocolate Relleno con Jalea de Maracuyá Britt 170g,S/ 23.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,170.0,g,Chocolate Relleno con Jalea de Maracuyá Britt,23.9
Paleta Mini de Helado Frio Rico Maracuyá 5un,S/ 20.80,wong,MARACUYÁ,2024-12-07 17:24:29.970220,5.0,un,Paleta Mini de Helado Frio Rico Maracuyá,20.8
Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá 20g,S/ 1.60,wong,MARACUYÁ,2024-12-07 17:24:29.970220,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá,1.6
Chocolate Relleno con Jalea de Maracuyá Britt 28g,S/ 4.99,wong,MARACUYÁ,2024-12-07 17:24:29.970220,28.0,g,Chocolate Relleno con Jalea de Maracuyá Britt,4.99
Refresco Instantáneo Sabor Maracuyá Sobre 15 g,S/ 1.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,15.0,g,Refresco Instantáneo Sabor Maracuyá Sobre,1.2
Torta Tres Leches de Maracuyá 16 Porciones,S/ 69.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,16.0,un,Torta Tres Leches de Maracuyá,69.9
Yogurt Bebible Gloria Slim Maracuyá Botella 1kg,S/ 5.99,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,kg,Yogurt Bebible Gloria Slim Maracuyá Botella,5.99
Fourpack Bebida Mike's Hard Lemonade Maracuyá Lata 355ml,S/ 21.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,355.0,ml,Fourpack Bebida Mike's Hard Lemonade Maracuyá Lata,21.9
Mermelada Dietética D'Marco De Maracuyá/Papaya Frasco 210 g,S/ 12.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,210.0,g,Mermelada Dietética D'Marco De Maracuyá/Papaya Frasco,12.9
Ambientador Glade en Vela Maracuyá + Hawaiian Breeze 96g,S/ 24.10,wong,MARACUYÁ,2024-12-07 17:24:29.970220,96.0,g,Ambientador Glade en Vela Maracuyá + Hawaiian Breeze,24.1
Bebida Naturale Maracuyá Botella 500ml,S/ 4.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,ml,Bebida Naturale Maracuyá Botella,4.9
Bebida Ready to Drink Tabernero Sour Maracuyá Botella 700ml,S/ 19.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,700.0,ml,Bebida Ready to Drink Tabernero Sour Maracuyá Botella,19.9
Cerveza Artesanal Candelaria Sunset Maracuyá & Sal de Maras Lata 355ml,S/ 7.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,355.0,ml,Cerveza Artesanal Candelaria Sunset Maracuyá & Sal de Maras Lata,7.9
Chupetin Colorado Maracuyá 425g,S/ 8.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,425.0,g,Chupetin Colorado Maracuyá,8.5
Base para Maracuyá Sour Wasska 125g,S/ 9.40,wong,MARACUYÁ,2024-12-07 17:24:29.970220,125.0,g,Base para Maracuyá Sour Wasska,9.4
Mermelada Dietética D'Marco Maracuyá y Papaya Frasco 470 g,S/ 21.80,wong,MARACUYÁ,2024-12-07 17:24:29.970220,470.0,g,Mermelada Dietética D'Marco Maracuyá y Papaya Frasco,21.8
King Kong de Manjarblanco y Maracuyá Caja 230 g,S/ 22.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,230.0,g,King Kong de Manjarblanco y Maracuyá Caja,22.5
Mermelada Kusi Maracuyá con Quinua y Stevia Frasco 230 gr,S/ 14.40,wong,MARACUYÁ,2024-12-07 17:24:29.970220,230.0,g,Mermelada Kusi Maracuyá con Quinua y Stevia Frasco r,14.4
Chupetes Bon Bon Bum Maracuyá 24un,S/ 8.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,24.0,un,Chupetes Bon Bon Bum Maracuyá,8.2
Helado Wong Premium Maracuyá 500g,S/ 32.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,g,Helado Wong Premium Maracuyá,32.5
Helado Maracuyá y Mango Lift 390g,S/ 33.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,390.0,g,Helado Maracuyá y Mango Lift,33.5
Bebida Ready to Drink Chilcano Sabor Maracuyá Piscano Zero Botella 275ml,S/ 5.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,275.0,ml,Bebida Ready to Drink Chilcano Sabor Maracuyá Piscano Zero Botella,5.9
Helado Cuisine & Co Cheesecake Maracuyá 900ml,S/ 21.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,900.0,ml,Helado Cuisine & Co Cheesecake Maracuyá,21.9
Bebida de Mango y Maracuyá Frumas Botella 400 ml,S/ 5.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,400.0,ml,Bebida de Mango y Maracuyá Frumas Botella,5.9
Paleta de Helado Sanúa Maracuyá Mango 70g,S/ 9.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,70.0,g,Paleta de Helado Sanúa Maracuyá Mango,9.9
Bebida Ready to Drink Chilcano Bar Maracuyá Botella 275ml,S/ 6.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,275.0,ml,Bebida Ready to Drink Chilcano Bar Maracuyá Botella,6.5
Paleta de Helado Cuisine & Co Mango Maracuyá 108g,S/ 7.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,108.0,g,Paleta de Helado Cuisine & Co Mango Maracuyá,7.9
Chocolate Oscuro Britt 70% Cacao Maracuyá 100g,S/ 17.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,100.0,g,Chocolate Oscuro Britt 70% Cacao Maracuyá,17.9
Bebida Ready to Drink Wasska Happy Punch Maracuyá Lata 355ml,S/ 6.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,355.0,ml,Bebida Ready to Drink Wasska Happy Punch Maracuyá Lata,6.9
Bebida Rehidratante Powerade Maracuyá Botella 600ml,S/ 2.40,wong,MARACUYÁ,2024-12-07 17:24:29.970220,600.0,ml,Bebida Rehidratante Powerade Maracuyá Botella,2.4
Bebida Chilcano de Pisco Piscano Maracuyá Lata 473ml,S/ 6.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,473.0,ml,Bebida Chilcano de Pisco Piscano Maracuyá Lata,6.9
Paleta de Helado de Yogurt Berries del Perú Aguaymanto y Maracuyá 80g,S/ 9.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,80.0,g,Paleta de Helado de Yogurt Berries del Perú Aguaymanto y Maracuyá,9.9
Bebida Ready to Drink Chilcano Bar Maracuyá Lata 310ml,S/ 7.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,310.0,ml,Bebida Ready to Drink Chilcano Bar Maracuyá Lata,7.5
Helado Momenti Sorbetto Pitahaya & Maracuyá 120ml,S/ 9.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,120.0,ml,Helado Momenti Sorbetto Pitahaya & Maracuyá,9.9
Chupete Globo Pop Maracuyá 25un,S/ 8.20,wong,MARACUYÁ,2024-12-07 17:24:29.970220,25.0,un,Chupete Globo Pop Maracuyá,8.2
Bebida Ready to Drink MF Spirit Maracuyá Botella 275ml,S/ 8.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,275.0,ml,Bebida Ready to Drink MF Spirit Maracuyá Botella,8.5
Bebida de Piña y Maracuyá Frumas Botella 400 ml,S/ 5.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,400.0,ml,Bebida de Piña y Maracuyá Frumas Botella,5.9
Paleta de Helado Cuisine & Co Cheesecake Maracuyá 108g,S/ 7.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,108.0,g,Paleta de Helado Cuisine & Co Cheesecake Maracuyá,7.9
Yogurt Griego 0% Grasas Tigo Premium Mango - Maracuyá 1kg,S/ 18.30,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,kg,Yogurt Griego 0% Grasas Tigo Premium Mango - Maracuyá,18.3
Licor Frutado de Pisco y Maracuyá Burgos Botella 750ml,S/ 27.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,750.0,ml,Licor Frutado de Pisco y Maracuyá Burgos Botella,27.9
Helado Momenti Sorbetto Pitahaya & Maracuyá 500ml,S/ 32.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,ml,Helado Momenti Sorbetto Pitahaya & Maracuyá,32.9
Helado de Maracuyá Mango Sanúa 473ml,S/ 29.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,473.0,ml,Helado de Maracuyá Mango Sanúa,29.9
Helado de Yogurt Probiótico Berries del Perú Maracuyá y Aguaymanto 500ml,S/ 34.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,500.0,ml,Helado de Yogurt Probiótico Berries del Perú Maracuyá y Aguaymanto,34.9
Helado de Maracuyá y Mango Sanúa 133ml,S/ 9.50,wong,MARACUYÁ,2024-12-07 17:24:29.970220,133.0,ml,Helado de Maracuyá y Mango Sanúa,9.5
Helado de Maracuyá Dulce Pasión 5L,S/ 99.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,5.0,l,Helado de Maracuyá Dulce Pasión,99.9
Pionono de Chocolate Relleno con Maracuyá Dolcce Mimi 12un,S/ 16.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,12.0,un,Pionono de Chocolate Relleno con Maracuyá Dolcce Mimi,16.9
Bebida De Maracuya Naturale Botella 1 Litro,S/ 8.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,1.0,l,Bebida De Maracuya Naturale Botella itro,8.9
Helado Lift Maracuya & Mango 110g,S/ 12.90,wong,MARACUYÁ,2024-12-07 17:24:29.970220,110.0,g,Helado Lift Maracuya & Mango,12.9
