description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pollo Entero con Menudencia x kg,S/ 9.50 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Entero con Menudencia,9.5
Pollo Entero sin Menudencia x kg,S/ 11.70 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Entero sin Menudencia,11.7
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,S/ 16.50 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos,16.5
Pollo Fresco con Menudencia San Fernando x Kg,S/ 8.70 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Fresco con Menudencia San Fernando,8.7
Pollo con Menudencia Redondos x kg,S/ 10.25 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo con Menudencia Redondos,10.25
Pollo Entero Sin Menudencia Redondos x kg,S/ 11.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Entero Sin Menudencia Redondos,11.9
Pollo Entero con Menudencia Avinka x kg,S/ 10.65 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Entero con Menudencia Avinka,10.65
Pollo Entero Light Sin Menudencia Artisan x kg,S/ 30.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Pollo Entero Light Sin Menudencia Artisan,30.9
Hígado de Pollo x kg,S/ 8.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Hígado de Pollo,8.9
Molleja de Pollo x kg,S/ 13.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Molleja de Pollo,13.9
Corazón de Pollo x kg,S/ 12.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-07 16:58:02.981213,1.0,kg,Corazón de Pollo,12.9
