description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Filete de Pechuga de Pollo x kg,S/ 24.00 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Filete de Pechuga de Pollo,24.0
Pechuga Especial de Pollo x kg,S/ 15.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Pechuga Especial de Pollo,15.5
Filete de Pechuga Artisan x Kg. Libre de Antibióticos,S/ 46.60 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Filete de Pechuga Artisan . Libre de Antibióticos,46.6
Pechuga con Ala de Pollo x kg,S/ 14.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Pechuga con Ala de Pollo,14.5
Filete de Pechuga de Pollo Congelada San Fernando x kg,S/ 22.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Filete de Pechuga de Pollo Congelada San Fernando,22.5
Filete de Pechuga Importado x kg,S/ 16.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Filete de Pechuga Importado,16.5
Pechuga de Pollo Light x kg,S/ 19.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Pechuga de Pollo Light,19.5
Pechuga Especial Importada x kg,S/ 14.50 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Pechuga Especial Importada,14.5
Pechuga de Pollo con Alas Congelada San Fernando x kg,S/ 18.30 x kg,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,1.0,kg,Pechuga de Pollo con Alas Congelada San Fernando,18.3
Filete de Pechuga de Pollo Criollo Redondos Bolsa 4 Unid,S/ 20.40,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,4.0,un,Filete de Pechuga de Pollo Criollo Redondos Bolsa,20.4
Filete de Pechuga de Pollo Oriental Redondos Bolsa 4 Unid,S/ 20.40,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,4.0,un,Filete de Pechuga de Pollo Oriental Redondos Bolsa,20.4
Pollada Criolla Redondos 1/2 Pechuga y Pierna con Encuentro 800g,S/ 17.90,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,800.0,g,Pollada Criolla Redondos 1/2 Pechuga y Pierna con Encuentro,17.9
Pechuga de Pollo Rellena de Jamón y Queso Bandeja 250 g,S/ 12.89,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,250.0,g,Pechuga de Pollo Rellena de Jamón y Queso Bandeja,12.89
Pechuga de Pollo Rellena de Verduras Bandeja 250 g,S/ 11.99,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,250.0,g,Pechuga de Pollo Rellena de Verduras Bandeja,11.99
Pechuga de Pollo Rellena de Tocino Bandeja 250 g,S/ 13.70,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,250.0,g,Pechuga de Pollo Rellena de Tocino Bandeja,13.7
Nuggets de Pechuga de Pollo San Fernando 24un,S/ 13.70,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,24.0,un,Nuggets de Pechuga de Pollo San Fernando,13.7
Tiras de Pechuga de Pollo Redondos 8un,S/ 13.70,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,8.0,un,Tiras de Pechuga de Pollo Redondos,13.7
Nuggets de Pechuga de Pollo Redondos 36un,S/ 16.60,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,36.0,un,Nuggets de Pechuga de Pollo Redondos,16.6
Nuggets de Pechuga Pollo Oregon Foods 330g,S/ 12.90,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,330.0,g,Nuggets de Pechuga Pollo Oregon Foods,12.9
Nuggets de Pechuga de Pollo Cuisine & Co 480g,S/ 17.20,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,480.0,g,Nuggets de Pechuga de Pollo Cuisine & Co,17.2
Tiras de Pechuga de Pollo Bolsa 300 g,S/ 14.90,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,300.0,g,Tiras de Pechuga de Pollo Bolsa,14.9
Deditos de Pechuga de Pollo Redondos 15un,S/ 13.00,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,15.0,un,Deditos de Pechuga de Pollo Redondos,13.0
Nuggets de Pechuga de Pollo Redondos 23un 350g,S/ 11.60,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,23.0,un,Nuggets de Pechuga de Pollo Redondos,11.6
Nuggets de Pechuga de Pollo con Chía Vive Bien Caja 550 g,S/ 17.70,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,550.0,g,Nuggets de Pechuga de Pollo con Chía Vive Bien Caja,17.7
Nuggets de Pechuga de Pollo Redondos 12un,S/ 6.50,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,12.0,un,Nuggets de Pechuga de Pollo Redondos,6.5
Jamón de Pechuga de Pollo Braedt Balance Paquete 200 g,S/ 8.30,wong,PECHUGA DE POLLO,2024-12-07 16:56:11.799049,200.0,g,Jamón de Pechuga de Pollo Braedt Balance Paquete,8.3
