description,price,website,search_term,scrape_timestamp
Alimento para Perros Adultos Ricocan Mediano Grande Cordero 15kg,S/ 109.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatitos Cat Chow Esterilizado 8 kg,S/ 116.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Dog Chow para Perros Adultos Tamaño Mediano 15kg,S/ 168.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Raza Pequeña Cordero y Cereales Bolsa 15 Kg,S/ 109.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go Chocolate 350g,S/ 15.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Adultos Cat Chow Delimix 8kg,S/ 116.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocat Alimento para Gatos Adultos Esterilizados Bolsa 9 Kg,S/ 89.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocat Alimento para Gatos Adultos Festival de Sabores Bolsa 9 Kg,S/ 89.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Paté de Salmón Lata 156 gr,S/ 7.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Mimaskot Cordero Medianos y Grandes 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Ricocat Alimento para Gatos Adultos Pollo, Sardina y Salmón 9kg",S/ 89.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Mimaskot Carnes Medianos y Grandes 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go 940g,S/ 39.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Rambala Barf Natural para Perro Pollo Pavo,S/ 15.20,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Paté de Pavo y Menudencias Lata 156 gr,S/ 7.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Dog Chow Longevidad 8kg,S/ 103.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Edad Avanzada Bolsa 15 Kg,S/ 109.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Seco Dog Chow Cachorro Medianos y Grandes 15Kg,S/ 170.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Sabor Paté Pescado y Atún Felix 156g,S/ 7.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Adultos Selección Especial Bolsa 7.5 Kg,S/ 110.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Mimaskot Adultos Raza Pequeña 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go 385g,S/ 16.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go 380g,S/ 19.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Dog Chow Control de Peso 8kg,S/ 103.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Seco para Gatos Friskies Sensaciones Marinas 7.5kg,S/ 95.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Esterilizados Bolsa 3 kg,S/ 65.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adulto Pet's Fun Cereales y Carne 15kg,S/ 84.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento BARF Natural para Perros Rambala Pavo Res,S/ 17.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Fancy Feast Salmón 85g,S/ 6.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go 700g,S/ 27.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Cachorros Raza Mediana / Grande Carne y Leche Bolsa 15 Kg,S/ 109.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo 350g + Pote,S/ 15.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Raza Pequeña Cordero y Cereales Bolsa 3 Kg,S/ 28.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Adultos Pescado Bolsa 8 Kg,S/ 116.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Esterilizados Purina One Pollo y Salmón 2kg,S/ 74.10,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Mimaskot Estofado de Carne 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Rambala Natural Barf Pavo Hipoalergénico,S/ 18.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Nutrican Alimento para Perros Adultos Nutrición Total Bolsa 15 Kg,S/ 82.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Seco Zeus adulto 25kg,S/ 107.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Purina One Esterilizados One Pollo Y Salmon 6kg,S/ 189.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Adultos Atún Doypack 85 g,S/ 4.99,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Seco Mimaskot Adultos Sabor a Carnes 22 Kg,S/ 142.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Cachorros Mimaskot Carnes y Pollo Medianos y Grandes 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Rambala Natural para Perros Cordero Pavo,S/ 18.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Ricocat Alimento para Gatos Adultos Carne, Salmón y Leche Bolsa 9 Kg",S/ 89.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Tamaño Pequeño / Mini Bolsa 8 Kg,S/ 103.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Adultos Pescado Blanco Doypack 85 g,S/ 4.99,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Fancy Feast Paté de Pescado y Camarón 85g,S/ 6.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Thor Alimento para Perros Adultos Carne, Hígado y Cereales Bolsa 10 Kg",S/ 58.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Ricocat para Gatos Adultos Festival de Sabores 3 Kg,S/ 36.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Filetes de Pescado y Atún en Salsa Lata 156 gr,S/ 7.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Fancy Feast Filetes de Atún 85g,S/ 6.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Thor Alimento para Perros Adultos Carne, Hígado y Cereales Bolsa 25 Kg",S/ 133.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Fancy Feast Tartar de Trucha 85g,S/ 6.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Alimento para Perros Cachorro Pet's Fun Cereales, Pollo y Carne 15kg",S/ 84.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo Dog Chow High Protein Carne 368g,S/ 10.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Alimento para Gatitos Ricocat Carne, Pescado y Leche 3kg",S/ 38.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento BARF Natural para Perros Rambala Clásico,S/ 16.70,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Granulado Milo Activ-Go 190g,S/ 10.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Tamaño Pequeño / Mini Bolsa 3 Kg,S/ 52.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Felix Sabor Salmón 85g,S/ 4.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Azucarado Bonlé 397g,S/ 5.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Whiskas Alimento Húmedo para Gatos Adultos Sabor Atún Pouch 85g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Trocitos de Pollo en Salsa Lata 156 gr,S/ 7.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Original Bolsa 15 Kg,S/ 109.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocat Alimento para Gatos Adultos Esterilizados Bolsa 1 Kg,S/ 14.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Purina One Pollo y Salmon 6kg,S/ 189.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Lácteo Enfagrow Premium Promental Vainilla 2.2kg,S/ 201.40,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Felix Alimento Húmedo para Gatos Adultos Carne Doypack 85 g,S/ 4.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Dog Chow Alimento Húmedo para Perros Adultos Cordero Doypack 100 g,S/ 4.20,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo Fancyfeast Petit Filet Salmon 85g,S/ 5.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Purina One Pollo y Salmón 2kg,S/ 74.10,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Cachorros Raza Pequeña Carne y Leche Bolsa 3 Kg,S/ 32.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Cachorros Mimaskot Carnes y Pollo Pequeños 15kg,S/ 97.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Fancy Feast Kisses Filete de Atun 40g,S/ 13.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Whiskas Alimento Húmedo para Gatos Adultos Sabor Carne Pouch 85 g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Lácteo Enfagrow Premium Promental Natural 2.2kg,S/ 201.40,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo para Gatos Fancy Feast Gravy Lovers Pollo 85g,S/ 6.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Alimento Seco para Gatos Ricocat Pollo, Sardina y Salmón 3kg",S/ 36.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Mimaskot Alimento Seco para Gatos Adultos Sabor Pollo, Carne y Salmón Bolsa 9 Kg",S/ 85.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Ricocat Adultos Esterilizados 3Kg,S/ 36.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Mimaskot Alimento Seco para Gatitos Sabor Pollo, Carne y Leche Bolsa 9 Kg",S/ 88.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Esterilizados Bolsa 1 kg,S/ 25.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Thor Alimento para Perros Adultos Sabor Clásico Bolsa 10 Kg,S/ 58.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
"Supercat Alimento para Gatos Adultos Carne, Pollo y Leche Bolsa 9 Kg",S/ 84.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Adultos Mimaskot Carnes y Pollo Pequeños 3kg,S/ 29.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Thor Alimento para Perros Adultos Sabor Clásico Bolsa 25 Kg,S/ 133.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Minis y Pequeños Purina One Pollo y Cordero 2kg,S/ 57.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Raza Pequeña Cordero y Cereales Bolsa 8 Kg,S/ 77.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Gatos Gatito Bolsa 1 Kg,S/ 25.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Húmedo Dog Chow High Protein Pollo 368g,S/ 10.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento Purina One Adulto Mediano Grande Pollo y Carne 12Kg,S/ 226.00,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Dogui Adulto 8kg,S/ 70.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Ricocan Alimento para Perros Adultos Edad Avanzada Bolsa 3 Kg,S/ 28.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
Alimento para Perros Medianos y Grandes Purina One Pollo y Cordero 6kg,S/ 131.90,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741
