description,price,website,search_term,scrape_timestamp
Chocolate a la Taza Sin Azúcar La Ibérica 100g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza Pasta Pura Sol del Cusco 80g,S/ 14.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza 42% Cacao Tableta 90 g,S/ 7.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Confitado Mini Chin Chin 32un,S/ 16.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche con Maní Sublime Sonrisa 8un,S/ 21.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Relleno con Crema de Maní Princesa Barra 30 g Caja 10 unid,S/ 21.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate a la Taza Winter's 90g,S/ 5.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Sabor Canela y Clavo Bolsa 90 g,S/ 4.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche sin Azúcar 40% Cacao Milky La Ibérica Barra 20 g Bolsa 10 unid,S/ 33.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Triángulo Barra 30 g Caja 10 unid,S/ 21.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche Snickers 53g,S/ 3.99,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Oscuro Mauxion Salut 100g,S/ 5.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Halloween 231g,S/ 22.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate a la Taza La Ibérica 100g,S/ 10.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Choco Listo Chocolate 1kg,S/ 31.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Sublime Sonrisa 38g,S/ 3.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche Mauxion Salut 100g,S/ 5.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Milky Mini 10un,S/ 25.30,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter La Ibérica Fondant Pastillas Caja 150 g,S/ 21.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche sin Azúcar 40% Cacao Milky La Ibérica Barra 50 g,S/ 8.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Pastillas La Ibérica Caja 300 g,S/ 29.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche Hershey's Kisses 74g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Pack Fiesta 287.4g,S/ 22.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Relleno con Toffe Helena Peccanroll Caja 100 g,S/ 13.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Sabor Canela y Clavo Lata 324 g,S/ 21.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter con Maní 41% Cacao Sublime 38g,S/ 3.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate M&M Peanut Butter Mars Contenido 46.2 g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Blanco con Maní Sublime Sonrisa 38g,S/ 3.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Vizzio Grageas Mix 122g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter con Maní Sublime Tableta 40 g Caja 8 unid,S/ 27.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate KitKat Tableta 41.5 g,S/ 4.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Triángulo Barra 30 g,S/ 2.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche La Ibérica Milky Barra 50 g,S/ 6.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Cookies 'n' Creme 43g,S/ 4.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Fondy Mini La Ibérica Caja 200 g,S/ 23.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Sabor Tradicional Bolsa 90 g,S/ 4.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's 43g,S/ 4.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza Innato 100% Cacao 90g,S/ 7.91,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Blanco con Galletas Hershey's Kisses Cookies'n Cream 74g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolates Confitados M&M's Milk Chocolate 47.9g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Sabor Tradicional Lata 220 g,S/ 13.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Confitado Chin Chin Fiesta 200g,S/ 12.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Sublime Sonrisa Sin Azúcares 38g,S/ 3.99,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter 73% Cacao Montblanc 280g,S/ 30.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Vizzio Maní 70g,S/ 5.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche con Almendras Sublime Tableta 50 g,S/ 4.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Milky Mini 20un,S/ 43.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Vizzio Costa 69g,S/ 5.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Milky Sin Azucar La Ibérica Bolsa 200 g,S/ 44.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Sublime Cookies & Cream 38g,S/ 2.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Confitado m&m's Peanut 49.3g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Orgánico 72% Cacao Orquídea Tableta 90 g,S/ 21.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolates y Caramelos La Ibérica Mixtura 19un,S/ 31.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche Milky Way 53g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza Cuisine & Co 90g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Sapito Bolsa 30 Unidades,S/ 16.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Choco Listo Chocolate 600g,S/ 20.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza Sol del Cusco 220g,S/ 13.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Fondy Mini La Ibérica Caja 400 g,S/ 43.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolates Rellenos Vizzio Crunch 21g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Orquidea 80% Cacao Tableta 90 gr,S/ 21.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter La Ibérica Fondant Tableta 40 g,S/ 7.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Sin Azúcar 60% Cacao Orgánico Slender Tableta 100 g,S/ 19.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Miniaturas Doypack 120 g,S/ 18.10,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Moka Lata 220 g,S/ 21.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Mantequilla de Maní Reese's 42g,S/ 5.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate para Taza 46% Cacao Tableta 90 g,S/ 8.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche con Avellanas Mauxion Salut 100g,S/ 5.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Vizzio Costa 21g,S/ 1.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra 17 g (Venta x Unidad),S/ 1.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolates Nikolo Surtido 45un,S/ 18.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Tableta 40 g,S/ 3.99,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche 40% Cacao La Ibérica Ilusión de Chocolate 110g,S/ 25.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Dark Menta Sin Azúcar 60% Cacao Orgánico Slender Tableta 100 g,S/ 19.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Pastillas La Ibérica Caja 500 g,S/ 57.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Choco Listo Sin Azúcar 180g,S/ 11.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Mont Blanc Sin Azúcar 50g,S/ 6.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter La Ibérica Milky Fondy Pack 6 Unid,S/ 32.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Schogetten Trumpf White Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche y Maní Vizzio Maní 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Pastillas La Ibérica Caja 100 g,S/ 17.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Amargo 85% Cacao Lindt Excellence 100g,S/ 26.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo 40% Cacao Dark Lata 220 g,S/ 21.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Fondant La Ibérica Tableta 100 g,S/ 16.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Nuggets Doypack 120 g,S/ 18.10,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Instantáneo Sabor Tradicional Sol del Cusco Lata 324 g,S/ 21.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Crema de Maní Princesa Tableta 30 g,S/ 3.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Vizzio Lata 182 g,S/ 22.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Puro 52% Cacao Sin Azúcar Añadida Valor Tableta 100 g,S/ 12.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Cuisine & Co Bagua 80g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Bitter Montblanc 73% Cacao 80g,S/ 13.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Snickers Peanut Butter 50.5g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche y Cereal Vizzio Crunch 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Dark Naranja Sin Azucar 60 % Cacao Orgánico Slender Tableta 100 g,S/ 19.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Hershey's Tableta 92 g,S/ 7.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Vizzio Crunch 45g,S/ 4.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Schogetten Alpine Milk Hazelnut Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche y Almendras Sublime Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche con Maní Extremo Sublime Tableta 50 g,S/ 4.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Stracciatella Schogetten Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Milky La Iberica Con 30% Almendras y 38% Cacao Tableta 100 g,S/ 20.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Yoghurt Strawberry Schogetten Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Puro con Almendras 52% Cacao Sin Azúcar Añadida Valor Tableta 150 g,S/ 24.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Confitado Chin Chin 45g,S/ 4.40,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate de Leche con Almendras Sin Azúcar Añadida Valor Tableta 150 g,S/ 24.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate La Ibérica Pack 6 Unid x 40 g,S/ 32.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Schogetten Caramel Brownie Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate Relleno con Toffe Helena Peccanroll Caja 2 unid,S/ 13.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
Chocolate con Leche Mont Blanc Mix de Nueces 50g,S/ 4.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358
