description,price,website,search_term,scrape_timestamp
Tocino cocido Ahumado Casa Europa paquete 200 g,S/ 15.68,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado La Segoviana Paquete 100 g,S/ 8.20,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Suiza 200g,S/ 15.50,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Natural Ahumado Cuisine & Co 200g,S/ 10.90,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Otto Kunz 150g,S/ 11.22,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Natural Ahumado Salchichería Alemana 200g,S/ 14.90,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Braedt Paquete 200 g,S/ 18.30,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Zimmermann Paquete 200 g,S/ 17.90,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Clásico Rico 100g,S/ 4.20,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Tocino Ahumado Oregon Foods 200g,S/ 17.90,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
Galletas Filetitos Yamis Sabor Tocino Ahumado,S/ 7.00,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939
