description,price,website,search_term,scrape_timestamp
Uva Sultana Nacional Metro x kg,S/ 13.23 x kg,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Uva Verde Sin Semilla 900g,S/ 14.59,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Uva Red Globe Metro x kg,S/ 9.49 x kg,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Vino Tinto Tempranillo Pata Negra Roble Botella 750ml,S/ 46.50,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Paté a La Pimienta Pata Negra Frasco 110 g,S/ 14.40,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Vino Tinto Tempranillo Gran Reserva Pata Negra Botella 750ml,S/ 114.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceituna Negra Deshuesada Cuisine & Co 260g,S/ 14.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Papa Negra Andina Procesada Metro x kg,S/ 4.49 x kg,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Molida Sibarita Sobre 6 Unid,S/ 4.30,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Torta Selva Negra 20 Porciones,S/ 53.18,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Molida Cuisine & Co 18g,S/ 3.20,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Sixpack Cerveza Cusqueña Negra Botella 310ml,S/ 21.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Papa Negra Comcen x kg,S/ 4.49 x kg,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceituna Negra Entera Olivalle 180g,S/ 4.10,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Chía Negra Orgánica Ecoandino 250g,S/ 17.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Torta Selva Negra Cuisine & Co 16 Porciones,S/ 45.68,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Molida Badia Frasco 2 Onzas,S/ 9.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceitunas Negras Deshuesadas 350g,S/ 19.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Maleta Krea Rígida 360 19 Negra 8 Ruedas,S/ 99.95,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Sixpack Cerveza Cusqueña Negra Lata 355ml,S/ 25.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceituna Negra Entera Cocktail Cuisine & Co 280g,S/ 11.50,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceitunas Negras Botija Extra 400g,S/ 20.70,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceituna Negra Entera Extra Cuisine & Co 280g,S/ 14.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Gelatina Universal de Uva Sobre 130g,S/ 3.99,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Torta Rectangular Selva Negra 7 Porciones,S/ 15.92,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Torta Tres Leches Selva Negra Cuisine & Co 12 Porciones,S/ 43.92,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Papa Negra Andina Agro Selecto 1Kg,S/ 5.50,metro,UVA NEGRA,2024-12-04 21:35:11.895425
"Jugo de Arándano, Uva y Manzana Bio Botella 300ml",S/ 3.60,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Bebida Bio Aloe Uva Botella 500ml,S/ 3.70,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceitunas Negras Deshuesadas 700g,S/ 33.40,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Molida Sibarita 40g,S/ 10.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceitunas Negras Deshuesadas 220g,S/ 9.52,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Entera Sibarita Sobre 15 g,S/ 2.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Block Cartulina Negra Justus 20 Hojas,S/ 3.70,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Bebida Kero Aloe Vera Sabor Uva Botella 300ml,S/ 3.10,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Gelatina Umsha Sabor Uva 120g,S/ 3.50,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Aceituna Negra en rodajas Olivalle Doy pack 160 g,S/ 5.10,metro,UVA NEGRA,2024-12-04 21:35:11.895425
Pimienta Negra Entera Maras Gourmet con Molinillo 60g,S/ 14.90,metro,UVA NEGRA,2024-12-04 21:35:11.895425
