description,price,website,search_term,scrape_timestamp
Verduras Picadas para Arroz con Pollo Cuisine & Co 200g,S/ 10.30,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Ensalada Rusa Cuisine & Co 600g,S/ 13.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa de Verduras Cuisine & Co 300g,S/ 9.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Locro Cuisine & Co 700g,S/ 14.90,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Ensalada Mixta Cuisine & Co 600g,S/ 14.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa de Verduras Cuisine & Co 600g,S/ 14.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Mixta Cuisine & Co 300g,S/ 10.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Chinas Picadas Cuisine & Co 350g,S/ 11.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras para Ensalada Mixta Don Verde 250g,S/ 8.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Mixta Cuisine & Co 600g,S/ 15.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Menestrón Cuisine & Co 700g,S/ 15.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Ensalada de Brócolo Cuisine & Co 500g,S/ 11.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Menestrón Cuisine & Co 300g,S/ 11.30,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Estofado de Carne Cuisine & Co 200g,S/ 9.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Estofado de Pollo Cuisine & Co 200g,S/ 11.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Chinas Picadas Cuisine & Co 700g,S/ 15.20,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras para Ensalada Rusa Don Verde 250g,S/ 8.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Andina Cuisine & Co 350g,S/ 12.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Crema de Vegetales Cuisine & Co 350g,S/ 9.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Chake Cuisine & Co 700g,S/ 15.90,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Andina Cuisine & Co 700g,S/ 15.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Sopa Chake Cuisine & Co 350g,S/ 11.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras para Sopa Casera Don Verde 250g,S/ 9.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Cazuela Cuisine & Co 600g,S/ 15.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Ensalada Fresca Cuisine & Co 400g,S/ 13.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Ensalada Sancochado Cuisine & Co 800g,S/ 15.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
Verduras Picadas para Crema de Verduras Cuisine & Co 700g,S/ 11.90,metro,VERDURA PICADA,2024-12-04 21:50:49.809830
