description,price,website,search_term,scrape_timestamp
Galletas Dulces Chaplin 90g,S/ 3.70,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas de Avena con Castaña Nancy Natur 110g,S/ 8.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Decoradas Panadería,S/ 12.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
"Galletas de Avena, Castaña y Naranja Nancy Natur 135g",S/ 10.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Dulces Surtidas Costa 237.5g,S/ 10.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas de Vainilla con Choco Chips Cuisine & Co 8un,S/ 14.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Dolce María IIditas 100g,S/ 9.50,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas de Chocolate con Naranja Cuisine & Co 8un,S/ 14.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas de Agua con Finas Hierbas 220g,S/ 7.50,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Artesanales Dolce Maria Cachitos de Castañas,S/ 34.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galleta Decorada con Glasé Surtido,S/ 6.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Choco Fiesta Giardino Paquete 24 Unid,S/ 41.00,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Dulce María Cachitos de Castañas Bolsa 100 g,S/ 9.50,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas Dolce María Canestrellis 100g,S/ 9.50,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Galletas de Avena Dulce Detalle 3un,S/ 15.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Florero de Galletas Navidad 9 Piezas Surtido,S/ 33.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
Kit Pinta tu Galleta,S/ 20.90,metro,GALLETAS DULCES,2024-12-05 15:13:55.407302
