description,price,website,search_term,scrape_timestamp
Pan de Molde Blanco Bimbo Bolsa 750 g,S/ 12.50,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Integral Bimbo Bolsa 750 g,S/ 12.50,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Blanco Sin Corteza Bimbo 650g,S/ 15.90,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde de Semillas Bimbo Vital Bolsa 600 g,S/ 14.80,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Multicereal Bimbo Vital Bolsa 600 g,S/ 14.80,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Tipo Artesanal Bimbo Artesano Original 560g,S/ 11.90,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Tipo Artesanal Bimbo Artesano Integral 560g,S/ 11.90,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Multicereal Vital Bimbo Bolsa 360 g,S/ 10.80,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Integral Sin Bordes Bimbo Bolsa 650 g,S/ 15.90,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde de Semillas Bimbo Vital Bolsa 360 g,S/ 10.90,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Bimbo Vital Mix de Quinuas 600g,S/ 14.80,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Blanco Bimbo 480g,S/ 11.20,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Bimbo Súper Sandwich 800g,S/ 15.50,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Blanco Bimbo Cero Cero 530g,S/ 12.30,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pack x2 Pan de Molde de Semillas Bimbo Vital Bolsa 600 g,S/ 29.60,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Integral Bimbo 480g,S/ 11.60,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Bimbo Doble Fibra 510g,S/ 11.50,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pack x2 Pan de Molde Multicereal Bimbo Vital Bolsa 600 g,S/ 29.60,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pan de Molde Bimbo Multigrano Linaza 510g,S/ 11.50,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pack x2 Pan de Molde de Semillas Bimbo Vital Bolsa 360 g,S/ 21.00,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pack x2 Pan de Molde Multicereal Vital Bimbo Bolsa 360 g,S/ 21.00,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Twopack Pan de Molde Bimbo Artesano Integral 560g,S/ 28.40,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
Pack Pan de Molde Bimbo Artesano: Original 560g + Integral 560g,S/ 27.80,metro,PAN DE MOLDE,2024-12-05 15:12:02.141906
