description,price,website,search_term,scrape_timestamp
Vinifan Goma en Barra Forte 40 g,S/ 4.60,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Vinifan Circular Naranja Forte 40g,S/ 3.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma Pegafan Pote 200 ml,S/ 3.30,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Triangular Easy 25 gr,S/ 4.10,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Vinifan Circular Pastel Forte 40g,S/ 3.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
UHU Goma en Barra Stic 40 g,S/ 13.20,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomas Grissly Delfin 80g,S/ 3.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Artesco Goma en Barra Sticky Power Clear Tubo 21 g,S/ 4.40,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma Artesco en Barra Sticky Neon 21gr,S/ 2.80,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Pegafan 36 gr,S/ 3.80,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomas Grissly Osos 80g,S/ 3.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomas Grissly Gusanos 80g,S/ 3.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomas Frutillas Ácidas 500 g,S/ 12.40,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Uhu Stic 21 gr,S/ 8.80,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomas Frutales Extreme 35 g,S/ 1.70,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Artesco Goma en Barra Stick Magic Tubo 25 g,S/ 5.20,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Artesco Goma en Barra Sticky Tubo 40 g,S/ 4.60,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Artesco Goma en Barra Sticky Tubo 21 g,S/ 3.40,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Layconsa 21 g,S/ 4.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma en Barra Artesco Power Sticky 40g,S/ 5.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma Líquida Doble Aplicador Pilot,S/ 6.10,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Goma Eva Adhesiva Fantasía Carpaccio 50x65cm Surtido,S/ 7.50,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmallow con Cobertura Sabor Chocolate Olé Olé 50un,S/ 7.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmellows Mr. Mallo American BBQ Bolsa 250 g,S/ 4.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Pack Vargas: Pisco Quebranta 750ml + Jarabe de Goma Chevalier 750ml + Shaker + Vaso,S/ 30.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Jarabe de Goma Cuisine & Co 750ml,S/ 14.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomitas Ambrosoli Frugel 430g,S/ 14.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Olé Olé Festival de Sabores 45un,S/ 7.90,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmallow con Cobertura Sabor Chocolate Olé Olé 7un.,S/ 1.50,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmellows Ambrosoli Mellows Bolsa 230 g,S/ 5.50,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomitas Mogul Extreme Tutti Frutti 80g,S/ 4.60,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmallow Rocky Mountain Mini 150g,S/ 7.70,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomitas Ambrosoli Ambrosia Bolsa 480 g,S/ 12.20,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmallows Millows Cilindro Bolsa 145 g,S/ 5.00,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomitas Ambrosito 90g,S/ 3.40,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Marshmellows Millows Unicornio 50un,S/ 10.70,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
Gomitas Mogul Extreme Sandía 80g,S/ 4.60,metro,GOMA DE MASCAR,2024-12-06 19:08:38.970576
