description,price,website,search_term,scrape_timestamp
Hamburguesa San Fernando La Super Rica 14un,S/ 10.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
La Súper San Fernando 14un,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Pollo Redondos 14un,S/ 13.00,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Res Otto Kunz 8un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
El Churrasquito de Carne Schilcayo 14un,S/ 16.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Res Oregon Foods 8un,S/ 28.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa De la Casa Metro x kg,S/ 29.90 x kg,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
La Casera San Fernando 14un,S/ 16.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas Premium Artesanales Clásicas Los Hierros Bolsa 4 Unid / 340 g,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Res Otto Kunz Bolsa 4 unid,S/ 15.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa San Fernando La Casera 14un,S/ 14.10,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Pollo Redondos 6un,S/ 6.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
La Sanguchera de Carne Schilcayo 16un,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Perico Umi Foods Caja 500 g,S/ 21.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas Parrilleras Oregon Foods 4un,S/ 33.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Res Metro Bolsa 12un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Pollo Schilcayo El Churrasquito 14 un.,S/ 15.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Carne de Res La Magnífica 14un.,S/ 12.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
El Churrasquito de Carne Schilcayo 6un,S/ 8.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Pavita San Fernando 6un,S/ 21.40,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas Premium de Pollo Los Hierros Bolsa 8 Unid /504 g,S/ 13.25,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa Parrillera de Res Otto Kunz 4un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Nuggets de Tilapia Marina Santa Priscila 142g,S/ 6.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Choriburger San Fernando 12un,S/ 21.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Pollo x kg,S/ 17.75 x kg,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Mini Burgers de Res Oregon Foods 12un,S/ 27.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa Parrillera de Pollo Finas Hierba Redondos 4un,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Deli Bistec San Fernando 4un.,S/ 9.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Pollo Avinka 4un,S/ 16.47,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Carne Artesanales Los Hierros 4un,S/ 24.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Mini Burger de Res Argentina Cuisine & Co 12un,S/ 33.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Res Argentina Cuisine & Co Burger 4un,S/ 39.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Nuggets de Tilapia Marina Santa Priscila 454g,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas de Pollo San Fernando 6un,S/ 18.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa Pollo La Sanguchera 16un,S/ 13.30,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Pollo Oregon Foods 8un,S/ 25.00,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Albóndigas de Res Oregon Foods 15un,S/ 25.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesa de Pechuga de Pollo Rico 16un.,S/ 29.40,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
Hamburguesas Angus Oregon Foods 4un,S/ 58.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298
