description,price,website,search_term,scrape_timestamp
Lechuga Crespa Cuisine & Co,S/ 1.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Americana Metro x unid,S/ 1.99,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Seda Hidropónica de Invernadero Ecologic x unid,S/ 1.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Hidropónica de Invernadero Ecologic x unid,S/ 1.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Romana Hidropónica de Invernadero Ecologic x unid,S/ 2.90,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hidropónica x un,S/ 3.19,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Seda Frescas 130g,S/ 5.40,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Americana Ecologic x un,S/ 3.99,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hidropónica Don Miguel x unid,S/ 5.40,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga La Caserita,S/ 3.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hoja de Roble Verde Hidropónica Ecologic x unid,S/ 2.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Mix Cuisine & Co Mix 200g,S/ 2.40,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Seda Hidropónica Manantiales x unid,S/ 3.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Seda Ecologic,S/ 5.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Seda Hidropónica Frescas x un,S/ 4.00,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Butterhead Viva x unid,S/ 8.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Hidropónica Manantiales x unid,S/ 3.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Americana Verde Puro,S/ 2.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hidropónica La Chiguateña x unid,S/ 2.40,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga de Invernadero Oakleaf Don Miguel,S/ 6.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hoja de Roble Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.90,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Butterhead Viva,S/ 4.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Criolla Delisalad 200g,S/ 3.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Romana Viva 300g,S/ 4.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Roja Viva,S/ 4.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Viva x unid,S/ 4.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Hidropónica Verde Puro x un.,S/ 8.00,metro,LECHUGA,2024-12-06 18:43:49.544830
Lechuga Crespa Entera Verde Puro 300g,S/ 4.30,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix de Lechuga Crespa Ecologic x 2 Unid,S/ 2.80,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix de Lechuga Cuisine & Co 200g,S/ 6.20,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix Gourmet Ecologic 250g,S/ 7.40,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix Plus Ecologic 250 g,S/ 6.50,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix de Lechugas BB Verde Puro Bolsa 100 g,S/ 6.70,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix de Lechuga Crespa Ecologic 250g,S/ 6.10,metro,LECHUGA,2024-12-06 18:43:49.544830
Mix de Lechugas Baby Verde Puro 150g,S/ 6.60,metro,LECHUGA,2024-12-06 18:43:49.544830
Kale Verde Puro 100g,S/ 7.10,metro,LECHUGA,2024-12-06 18:43:49.544830
Ensalada Personal Verde Puro 140g,S/ 6.90,metro,LECHUGA,2024-12-06 18:43:49.544830
