description,price,website,search_term,scrape_timestamp
Melón Coquito Metro x kg,S/ 3.29 x kg,metro,MELÓN,2024-12-06 18:38:08.433273
Melón Honey Metro x kg,S/ 5.99 x kg,metro,MELÓN,2024-12-06 18:38:08.433273
Melón en Trozos Natifrut 280g,S/ 7.49,metro,MELÓN,2024-12-06 18:38:08.433273
Pepino Melón x kg,S/ 5.99 x kg,metro,MELÓN,2024-12-06 18:38:08.433273
Ambientador en Aerosol Sapolio Melón 360ml,S/ 7.10,metro,MELÓN,2024-12-06 18:38:08.433273
Agenda Layconsa Coquette Melón 2025,S/ 19.90,metro,MELÓN,2024-12-06 18:38:08.433273
Maternelle Arnés Caminador 2 en 1 Melón,S/ 119.90,metro,MELÓN,2024-12-06 18:38:08.433273
Papel Crépe Layconsa Melón,S/ 1.50,metro,MELÓN,2024-12-06 18:38:08.433273
Layconsa Papel Crepé Melón 50 x 70 cm,S/ 1.50,metro,MELÓN,2024-12-06 18:38:08.433273
Sandía Metro x kg,S/ 1.49 x kg,metro,MELÓN,2024-12-06 18:38:08.433273
