description,price,website,search_term,scrape_timestamp
Panetón Gloria Doypack 900g,S/ 19.12,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Tradicional Metro Bolsa 800g,S/ 9.20,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Blanca Flor Doypack 900g,S/ 17.84,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Donofrio 880g,S/ 23.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón D'Onofrio Caja 880g,S/ 26.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Tradicional Máxima Doypack 800g,S/ 8.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Blanca Flor Caja 900g,S/ 19.76,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Buon Natale Doypack 750g,S/ 19.12,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.00,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Gotas Sabor Chocolate Chocotón Caja 450g,S/ 19.12,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Gloria Caja 900g,S/ 21.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón D'onofrio Panetoncito Caja 90g,S/ 3.60,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Donofrio Caja 1.3kg,S/ 31.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón D'onofrio Lata 880g Surtido,S/ 36.72,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Todinoo Bolsa 900g + Panetón Todinnito 85g,S/ 20.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Clásico Sayón Doypack 750g,S/ 16.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Gotas Sabor Chocolate Todinno Cioccolato 500g,S/ 13.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Gloria Doypack 800g,S/ 14.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Integral Unión Castañas Doypack 900g,S/ 20.72,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón San Jorge Gran Panetón Caja 1.5kg,S/ 27.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Cuisine & Co Tradicional Doypack 800g,S/ 14.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Winter's Doypack 800g,S/ 17.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Gloria Pasión Avellanas Caja 500g,S/ 18.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Chispas Bimbo Panetoncito Doypack 90g,S/ 3.04,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Bimbo Doypack 900g,S/ 17.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón de Lúcuma Ricco's Chocolúcuma Caja 500g,S/ 14.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Gloria Lata 900g,S/ 31.92,metro,PANETÓN,2024-12-06 17:40:15.313772
