description,price,website,search_term,scrape_timestamp
Empanada de Lomo,S/ 6.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Empanada de Carne 4un,S/ 16.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Empanada de Pollo 4un,S/ 16.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Empanada de Pollo Mundo Vegetal 2un,S/ 6.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo 6 Empanadas de Carne Metro + Gaseosa 1.5 Litros,S/ 30.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Enrollado Vegetariano El Cedro 170g,S/ 7.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Croissant Mini con Pollo Cuisine & Co 6un,S/ 14.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo: 4 Empanadas de Carne + Gaseosa Coca Cola Sin Azúcar 1.5L,S/ 21.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Enrollado de Pollo El Cedro 170g,S/ 7.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Enrollado de Hot Dog Wong un,S/ 3.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Sandwich Media Luna Cuisine & Co,S/ 8.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Croissant con Pollo Cuisine & Co,S/ 8.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
"Triple Mini con Queso, Jamón y Huevo Cuisine & Co",S/ 22.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
"Triple con Queso, Jamón y Huevo Cuisine & Co",S/ 9.00,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Enrollado Mixto El Cedro 170g,S/ 7.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Triple Tropical Cuisine & Co,S/ 10.00,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo 4 Empanadas de Carne Wong + Gaseosa 1.5 Litros,S/ 22.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Sandwich Media luna Wong,S/ 7.20,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
"Sandwich Triple de Queso, Jamón y Huevo Wong",S/ 5.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Sandwich Triple de Pollo tropical Wong,S/ 5.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Enrollado de Lechón El Cedro 170g,S/ 7.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Croissant de Pollo C/Durazno Wong,S/ 5.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Sándwich con Pollo Cuisine & Co,S/ 6.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
"Panini con Pollo, Queso y Champiñones Cuisine & Co",S/ 8.50,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo 6 Empanadas de Pollo Metro + Gaseosa 1.5 Litros,S/ 30.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo: 4 Empanadas de Pollo + Gaseosa Coca Cola Sin Azúcar 1.5L,S/ 21.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Triple Mini con Pollo y Espinaca con Crema Cuisine & Co,S/ 21.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Combo 4 Empanadas de Pollo Wong + Gaseosa 1.5 Litros,S/ 22.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Croissant con Jamón y Queso Cuisine & Co,S/ 7.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
"Triple con Doble Aceituna, Queso y Pollo Cuisine & Co",S/ 9.00,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
Triple con Pollo y Espinaca con Crema Cuisine & Co,S/ 7.90,metro,PASTELES SALADOS,2024-12-06 17:42:26.648480
