description,price,website,search_term,scrape_timestamp
Pavo Entero Redondos x kg,S/ 14.90 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pavo Entero Congelado San Fernando x kg,S/ 15.40 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pavo Entero con Menudencia Cuisine & Co x kg,S/ 12.80 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pavo Entero con Menudencia Cuisine & Co 8kg aprox,S/ 99.90,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pavo Entero con Menudencia Redondos 8kg aprox,S/ 110.00,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pavo Entero con Menudencia San Fernando  8kg aprox,S/ 119.00,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pechuga de Pavita en Trozos San Fernando x Kg,S/ 18.99 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Rodaja Especial de Pavita San Fernando kg,S/ 24.20 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Guiso de Pechuga de Pavita San Fernando x kg,S/ 22.70 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Medallón de Muslo de Pavita San Fernando x kg,S/ 23.99 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Jamón de Pechuga de Pavo Braedt Balance Paquete 200 g,S/ 14.87,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Alimento Rambala Barf Natural para Perro Pollo Pavo,S/ 15.20,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Felix Alimento Húmedo para Gatos Paté de Pavo y Menudencias Lata 156 gr,S/ 7.00,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Chuleta de Pechuga de Pavita San Fernando x kg,S/ 29.90 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Guiso de Pechuga de Pavita x kg,S/ 21.70 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Brazuelo de Pavita San Fernando x kg,S/ 13.20 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Jamón de Pavo Braedt 480g,S/ 19.97,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Jamón de Pavo Braedt Paquete 200 g,S/ 13.50,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Alimento BARF Natural para Perros Rambala Pavo Res,S/ 17.00,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Pechuga de Pavita San Fernando x kg,S/ 21.50 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Alimento Rambala Natural Barf Pavo Hipoalergénico,S/ 18.90,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Ricocat Paté para Gatos Adultos Pavo e Hígado Lata 330 gr,S/ 8.40,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Rodaja Casera de Pavita San Fernando x kg,S/ 10.40 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Alimento Rambala Natural para Perros Cordero Pavo,S/ 18.90,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Hot Dog de Pavo Braedt Balance 250g,S/ 9.90,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Rodajas de Brazuelo Pavita San Fernando kg,S/ 15.70 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Fancy Feast Goulash Pavo Pouch 85g,S/ 5.90,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
Filete de Pechuga de Pavita San Fernando x kg,S/ 33.90 x kg,metro,PAVO EVISCERADO,2024-12-06 18:02:07.123709
