description,price,website,search_term,scrape_timestamp
Yogurt Griego Vakimu Original 1 Kg,S/ 13.44,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Fresa Galonera 1.7kg,S/ 8.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Natural SKYR Plusa 500g,S/ 14.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Descremado Danlac Sabor Natural Frasco 900g,S/ 16.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Vainilla Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Vakimu Frutos del Bosque 1 Kg,S/ 13.44,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Battimix Vainilla 146g,S/ 2.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego Sabor Frutos Rojos 800g,S/ 6.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Durazno Galonera 1.7kg,S/ 9.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado con Fresa Danlac Botella 900g,S/ 9.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego Sabor Frutos Rojos 120g,S/ 2.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego Sabor Natural 800g,S/ 6.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Descremado Vakimu Quark 500g,S/ 11.76,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Descremado con Arándano Danlac Frasco 900g,S/ 16.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Lúcuma Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Fresa Plátano Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Entero Danlac Sabor Natural Botella 900g,S/ 9.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Fresa Botella 1kg,S/ 5.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Fresa 1.7kg,S/ 11.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Yo Most Fresa Pack 6 Unid x 180 ml,S/ 12.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Slim Frutos Rojos Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado con Frutos del Bosque Danlac Botella 900g,S/ 9.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado Danlac Maracumango 900g,S/ 9.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive con Fresa 1.7kg,S/ 11.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Mango con Fresa Pote 1 Kg,S/ 13.44,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
