description,price,website,search_term,scrape_timestamp
Galletas Rellenas Oreo Bañadas Lata 328g,S/ 19.90,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Nestlé Choco Cookies Crema de Avellana 120g,S/ 7.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Nestlé Choco Trio Cookies and Cream 90g,S/ 12.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Oreo Coca Cola 108g,S/ 2.60,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Nestlé Choco Trio Chocolate 90g,S/ 12.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas con Chocolate Biscolata Mood 115g,S/ 9.70,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Nestlé Choco Cookies Chocolate 120g,S/ 7.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Bon o Bon 95g,S/ 6.60,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Máxima Vainilla Biscuit 12un,S/ 7.90,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas PJ Mask Sabor Chocolate 160g,S/ 15.80,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galletas Rellenas Bon o Bon Navidad Bon O Bon 190g,S/ 14.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Galleta Rellena De Chocolate Peppa Pig Contenido 160 g,S/ 15.80,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Twelvepack Galletas Rellenas Oreo Original 36g,S/ 9.10,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Pack x3 Sixpack Galletas Rellenas Charada 37.8g,S/ 12.00,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Tripack Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 14.40,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 5.20,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Sixpack Galletas Rellenas Charada 37.8g,S/ 5.10,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Twelvepack Galletas Rellenas Oreo Coca Cola 36g,S/ 10.00,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Twopack Sixpack Galletas Rellenas Charada 37.8g,S/ 9.50,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Twopack Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 9.90,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Pack x2 Galletas Rellenas Oreo Original Paquete 432g,S/ 18.20,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Sixpack Galleta Rellena Chocman 40g,S/ 5.99,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Sixpack Galletas Rellenas Sublime 36g,S/ 8.10,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Sixpack Galletas Rellenas Moments Chocolate 15g,S/ 6.90,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Twopack Twelvepack Galletas Rellenas Oreo Coca Cola 36g,S/ 18.20,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
Tripack Twelvepack Galletas Rellenas Oreo Coca Cola 36g,S/ 26.90,metro,GALLETAS RELLENAS,2024-12-07 19:39:49.416499
