description,price,website,search_term,scrape_timestamp
Twopack Mayonesa AlaCena 850g,S/ 36.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Twopack Mayonesa AlaCena 475g,S/ 24.00,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 475g + Fideo Linguini Grosso Don Vittorio 950g,S/ 16.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 475g + Fideo Fettuccini Don Vittorio 950g,S/ 16.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 475g + Fideo Spaghetti Don Vittorio 950g,S/ 16.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Té Lipton Yellow Label 50un,S/ 15.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 850g,S/ 19.60,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 475g,S/ 14.00,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Light AlaCena 400g,S/ 14.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 190g,S/ 8.60,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Tradicional Cuisine & Co 475g,S/ 9.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Cuisine & Co Doypack 950 g,S/ 16.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Hellmann's Clásica 237g,S/ 5.20,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Light Cuisine & Co Doypack 475 g,S/ 9.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Hellmann's Clásica 475g,S/ 13.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Hellmann's Liviana 475g,S/ 13.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Máxima Tradicional 190g,S/ 3.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 850g + Fideo Spaghetti Don Vittorio 950g,S/ 25.05,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Micha MT La Mayo 200g,S/ 20.70,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Light Hellmann's Frasco 154 oz,S/ 19.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Mayo Deli Kraft 350g,S/ 7.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 850g + Filete de Atún en Aceite Primor 140g,S/ 25.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa B&D Doypack 190g,S/ 5.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Kraft Mayodeli 850g,S/ 14.30,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Tradicional Cuisine & Co 333g,S/ 9.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Hellmann'S 887Ml,S/ 38.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa La Mayo Micha MT Doypack 500 g,S/ 21.90,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Hellmann's Regular 443ml,S/ 19.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Libby's 380g,S/ 12.20,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa con Aceite de Oliva Piki 400g,S/ 22.99,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Regular Hellmann's Sqeeze 340ml,S/ 21.10,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 850g + Trozos de Atún en Aceite Primor 140g,S/ 25.70,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Mayo Deli Kraft 170g,S/ 6.30,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa B&D 400g,S/ 13.70,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Mayodeli Kraft 650g,S/ 12.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa Sabor Tocino Terraza Grill 200g,S/ 9.10,metro,MAYONESA,2024-12-07 22:39:20.367302
Mayonesa AlaCena 850g + Filete de Atún en Agua Primor 140g,S/ 25.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Aceite Vegetal Primor Premium 900ml + Mayonesa AlaCena 850g,S/ 25.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Pack B&D Trío: Mostaza 220g + Ketchup 240g + Mayonesa 95g,S/ 10.39,metro,MAYONESA,2024-12-07 22:39:20.367302
Twopack Mayonesa Light AlaCena 400g,S/ 29.80,metro,MAYONESA,2024-12-07 22:39:20.367302
Pack B&D Trío: Mostaza 200g + Ketchup 200g + Mayonesa 190g,S/ 12.09,metro,MAYONESA,2024-12-07 22:39:20.367302
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,S/ 5.50,metro,MAYONESA,2024-12-07 22:39:20.367302
Salsa Tipo Mayonesa Walibí 200g,S/ 7.80,metro,MAYONESA,2024-12-07 22:39:20.367302
