description,price,website,search_term,scrape_timestamp
Torta Helada de Fresa 20 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Delicia de Moka 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Chocolate 16 Porciones,S/ 43.00,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches 16 Porciones,S/ 47.18,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Chocolate con Manjar 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Selva Negra 20 Porciones,S/ 53.18,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Torbellino de Chocolate 10 Porciones,S/ 24.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tentación de Lúcuma 16 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Alemana con Cerezas 20 Porciones,S/ 55.43,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Helada de Fresa 10 Porciones,S/ 25.42,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tentación de Moka 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Fresa y Coco 16 Porciones,S/ 57.52,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Chocolate 20 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Rectangular Chocolate 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Chocolate 16 Porciones,S/ 53.93,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Selva Negra Cuisine & Co 16 Porciones,S/ 45.68,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Rectangular Vainilla y Fresa 7 Porciones,S/ 11.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Festival Fresa 10 Porciones,S/ 21.20,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Rectangular Tres Leches 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Chantilly 20 Porciones,S/ 73.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Chocococo 16 Porciones,S/ 49.40,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
