description,price,website,search_term,scrape_timestamp
Garbanzos Cuisine & Co 500g,S/ 5.40,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzo Maixma Bolsa 500 g,S/ 4.99,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzo Costeño 500g,S/ 6.60,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos Tesoro Del Campo Bolsa 500 g,S/ 7.00,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos Bolsa 500 g,S/ 7.70,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos en Salmuera Cuisine & Co 425g,S/ 8.70,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzo Precocido Guva 500g,S/ 6.49,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos Casa Verde 340g,S/ 7.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzo Frito Salado x kg,S/ 48.00 x kg,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos en Conserva Essential Everyday 425g,S/ 12.00,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos con Tocino Olivos del Sur 425g,S/ 13.20,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzo Picante x kg,S/ 51.00 x kg,metro,GARBANZO,2024-12-04 00:18:57.728302
Garbanzos Lorenzo 425g,S/ 8.80,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,S/ 5.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Bebé Cuisine & Co 500g,S/ 5.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Costeño 500g,S/ 6.60,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Máxima 500g,S/ 8.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Cuisine & Co 500g,S/ 9.30,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Máxima 500g,S/ 4.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Costeño 500g,S/ 9.80,metro,GARBANZO,2024-12-04 00:18:57.728302
Pallar Cuisine & Co Bolsa 500 gr,S/ 6.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Pallar Maxima Bolsa 500 g,S/ 5.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Cuisine & Co 500g,S/ 5.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejas Bebé Bolsa 500 g,S/ 6.20,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Tesoro Del Campo Bolsa 500 g,S/ 9.85,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Costeño 500g,S/ 4.40,metro,GARBANZO,2024-12-04 00:18:57.728302
Pallar Costeño 500g,S/ 7.00,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Maxima Bolsa 500 g,S/ 3.70,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Perlada Superior Incasur Bolsa 250 gr,S/ 9.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejón Máxima 500g,S/ 4.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Morón Costeño 500g,S/ 4.80,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejón Cuisine & Co 500g,S/ 5.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Cuisine & Co 500g,S/ 3.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Perlada Selecta Incasur Bolsa 250 gr,S/ 10.40,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Perlada Nativa Incasur Bolsa 250 gr,S/ 11.20,metro,GARBANZO,2024-12-04 00:18:57.728302
Pallar Tesoro Del Campo Bolsa 500 g,S/ 7.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Tesoro Del Campo Bolsa 500 g,S/ 5.85,metro,GARBANZO,2024-12-04 00:18:57.728302
Cereal de Garbanzo Sabor Chocolate Brownie Dyfferent 210g,S/ 16.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Bolsa 350 g,S/ 5.00,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua tricolor Vida & Quinua Bolsa 454 g,S/ 15.30,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejón Bolsa 350 g,S/ 4.75,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejón Costeño 500g,S/ 6.80,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Baby Paisana Bolsa 500 g,S/ 6.70,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Blanca Orgánica Vidandina Doypack 454 g,S/ 18.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Cereal de Garbanzo Sabor Cinnamon Roll Dyfferent 210g,S/ 16.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Maíz Chulpi Desgranado Kuski Bolsa 425 g,S/ 14.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Tricolor Orgánica Vidaandina Bolsa 454 g,S/ 17.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Valle Norte Bolsa 500 g,S/ 6.20,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejón Tesoro Del Campo Bolsa 500 g,S/ 6.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Roja Vidandina Doypack 454 g,S/ 12.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Cereal de Garbanzo Sabor Miel Vainilla Dyfferent 210g,S/ 16.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejas Paisana Bolsa 500 g,S/ 6.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Blanca Vidandina Doypack 454 g,S/ 14.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Burger de Garbanzos Della Natura 100g,S/ 7.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Negra Vidandina Doypack 454 g,S/ 13.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Hamburguesa Vegetariana de Garbanzo Della Natura 400g,S/ 19.90,metro,GARBANZO,2024-12-04 00:18:57.728302
Lenteja Granos Del Sur,S/ 6.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Quinua Granos Del Sur 500g,S/ 9.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Mini Hamburguesas de Garbanzos y Espinaca Sanúa 10un,S/ 21.60,metro,GARBANZO,2024-12-04 00:18:57.728302
Trigo Mote Granos Del Sur,S/ 4.80,metro,GARBANZO,2024-12-04 00:18:57.728302
Lentejon Granos Del Sur,S/ 6.10,metro,GARBANZO,2024-12-04 00:18:57.728302
Crunch Garbanzo Cheddar Bolsa 100 g,S/ 7.50,metro,GARBANZO,2024-12-04 00:18:57.728302
Estofado de Garbanzo Nadú 500g,S/ 12.90,metro,GARBANZO,2024-12-04 00:18:57.728302
