description,price,website,search_term,scrape_timestamp
Papas Fritas Lay's Clásicas 150g + Piqueo Snax Original 200g,S/ 13.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Ondas Clásicas 140g,S/ 5.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Clásicas 210g,S/ 9.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Naturales 36g,S/ 2.70,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Clásicas 150g + Doritos Queso Atrevido 190g,S/ 13.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lays Artesanas Sal Marina 34g,S/ 2.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lays Artesanas Alitas BBQ 34g,S/ 2.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,S/ 6.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Naturales 34g,S/ 2.70,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Lay's Clásicas 150g + Doritos Queso Atrevido 145g,S/ 14.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas al Hilo Lay's 155g,S/ 6.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Lays Clásicas 150g,S/ 5.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas en Hojuelas Lay's Ondas Picante 140g,S/ 5.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Lays Clásicas 150g + De Todito Mix 165g,S/ 13.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Artesanas Lay's Sal Marina 135g,S/ 8.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Artesanas Lay's Alita BBQ 130g,S/ 8.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Lay's Ondas Clásicas 140g + Papas Lay's Ondas Picante 140g,S/ 10.35,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Lays Clásicas 150g + Detodito Natural 165g,S/ 13.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Nativas Tiyapuy 142g,S/ 7.60,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas 400g aprox,S/ 9.99,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Amarillas Tiyapuy Bolsa 160 g,S/ 7.60,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,S/ 5.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Tradicionales Cuisine & Co Bolsa 180 gr,S/ 7.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Fritas Tiyapuy Sabor Jalapeño 142g,S/ 8.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Fritas Tiyapuy 100g,S/ 11.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Tumbay en Gajos Pre Frita Congelada Cali Frut 1kg,S/ 22.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Fritas Tiyapuy Sabor Limón y Pimienta 142g,S/ 8.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Pringles Sabor Churrasco 109g,S/ 10.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Onduladas Sabor Habanero BBQ Inka Chips Bolsa 115 g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Fritas Partners Chips Orgánico 140g,S/ 7.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Cuisine & Co 200g,S/ 7.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Naturales Fritas Partners Chips Tocino BBQ 140g,S/ 7.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Rellena Frita x un,S/ 4.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Fritas Picantes Cuisine & Co Bolsa 180 gr,S/ 6.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Naturales Fritas Partners Chips 140g,S/ 7.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Naturales Fritas Partners Chips Ají Limo 140g,S/ 7.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca Yungay Metro x kg,S/ 2.99 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Inka Chips Sal de Mar 135g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips Jalapeño 135g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Peruanita Procesada Metro x kg,S/ 8.49 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Huamantanga Metro x kg,S/ 6.99 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Canchán Procesada Especial x kg,S/ 3.29 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay Procesada x kg,S/ 8.09 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay x kg,S/ 8.49 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca Metro x kg,S/ 2.60 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Canchán Procesada x kg,S/ 2.96 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca Canchán Procesada x kgs,S/ 1.89 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Huayro Metro x kg,S/ 6.19 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Negra Andina Procesada Metro x kg,S/ 4.49 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca Cocktail x kg,S/ 3.29 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Peruanita Cocktail x kg,S/ 6.74 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay Extra Metro x kg,S/ 7.64 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca x kg,S/ 2.79 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay Especial Metro x kg,S/ 5.99 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips BBQ y Cebolla 135g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Ondulada Green Food 400g,S/ 5.20,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Seca Máxima Bolsa 500 g,S/ 5.70,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Clásicas Mydibel 7/7 Bolsa 1 Kg,S/ 10.80,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay Procesada x kg,S/ 8.09 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Original 104g,S/ 10.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Recta Green Food 400g,S/ 4.72,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Negra Comcen x kg,S/ 4.49 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas al Hilo Cusine & Co 142g,S/ 6.60,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas al Hilo Villa Natura 150g,S/ 7.20,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas en Hojuelas Inka Chips 135g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Canchán Procesada Agro Selecto 1Kg,S/ 3.80,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Huayro Comcen x kg,S/ 5.69 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Recta Cuisine & Co 400g,S/ 5.52,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Seca Costeño 500g,S/ 8.20,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas al Hilo Villa Natura 500g,S/ 19.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips Queso y Cebolla 135g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Yungay Agro Selecto 1Kg,S/ 4.28,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Seca Cuisine & Co 500g,S/ 6.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Clásicas Mydibel 9/9 Bolsa 1 Kg,S/ 10.80,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Negra Andina Agro Selecto 1Kg,S/ 5.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Congeladas Tiyapuy Corte Recto 1kg,S/ 19.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Tumbay Agro Selecto 1Kg,S/ 8.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Crema y Cebolla 109g,S/ 10.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Nativas Tiyapuy 160g + Camotes Tiyapuy 160g,S/ 13.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Queso 109g,S/ 10.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritas Mydibel 9 mm 2.50 kg,S/ 24.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Cocktail Comcen 1kg,S/ 5.30,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Seca Tesoro Del Campo Bolsa 500 g,S/ 7.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Clásicas Mydibel Congeladas Bolsa 2.5 Kg,S/ 23.93,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Peruanita Procesada x kg,S/ 8.79 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Crujientes Nativas Cuisine & Co 135g,S/ 5.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips Finas Hierbas y Lima 115g,S/ 8.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Original 37g,S/ 6.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritas McCain Corte Tradicional 400g,S/ 9.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Peruanita Cocktail Agro Selecto Ready 800g,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Peruanita Agro Selecto 1kg,S/ 8.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Papi Ricas Picante 70g,S/ 4.30,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
