description,price,website,search_term,scrape_timestamp
Pasas Morenas Cuisine&Co 150g,S/ 4.50,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas x kg,S/ 27.00 x kg,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas Vallealto 150g,S/ 5.10,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas Vallealto 250g,S/ 8.20,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas Villa Natura 200g,S/ 7.70,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Borrachas con Chocolate 2 Cerritos Bolsa 125g,S/ 9.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Rubias x kg,S/ 49.50 x kg,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Rubias Cuisine & Co 150g,S/ 10.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Bañadas con Chocolate Fochis 70g,S/ 5.50,metro,PASAS,2024-12-03 23:30:03.798520
Pasas con Cobertura de Chocolate Choko Pasas Bolsa 100 g,S/ 6.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Rubias Vallealto 150g,S/ 11.60,metro,PASAS,2024-12-03 23:30:03.798520
Pasas con Chocolate 2 Cerritos Bolsa 125 gr,S/ 9.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Rubias Villa Natura 200g,S/ 11.90,metro,PASAS,2024-12-03 23:30:03.798520
Pasas Morenas Villa Natura 500g,S/ 15.60,metro,PASAS,2024-12-03 23:30:03.798520
Granola con Pasas y Almendras Unión Doypack 400 g,S/ 17.30,metro,PASAS,2024-12-03 23:30:03.798520
Granola Almendras y Pasas Cuisine & Co 300g,S/ 9.90,metro,PASAS,2024-12-03 23:30:03.798520
Yogurt con Linaza Gloria Actibio Sabor Higo Guindón y Pasas 950g,S/ 6.70,metro,PASAS,2024-12-03 23:30:03.798520
Maní con Pasas Vallealto Bolsa 150 gr,S/ 5.50,metro,PASAS,2024-12-03 23:30:03.798520
Humita Dulce con Manjar y Pasas x un,S/ 5.70,metro,PASAS,2024-12-03 23:30:03.798520
Maní con Pasas x kg,S/ 30.00 x kg,metro,PASAS,2024-12-03 23:30:03.798520
Panetón Winter's Sin Pasas Sin Frutas Doypack 500g,S/ 17.90,metro,PASAS,2024-12-03 23:30:03.798520
Maní con Pasas Cuisine & Co Bolsa 200 gr,S/ 6.80,metro,PASAS,2024-12-03 23:30:03.798520
"Granola Crosoy Pasas, Coco y Almendras 380g",S/ 14.40,metro,PASAS,2024-12-03 23:30:03.798520
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,metro,PASAS,2024-12-03 23:30:03.798520
Yogurt con Linaza Gloria Actibio Sabor Higo Guindón y Pasas 1.7kg,S/ 10.50,metro,PASAS,2024-12-03 23:30:03.798520
Bombones con Trufa al Pisco y Pasas Di Perugia Licorinas 144g,S/ 27.50,metro,PASAS,2024-12-03 23:30:03.798520
Bombones con Pisco y Pasas Di Perugia Licorinas 144g,S/ 25.90,metro,PASAS,2024-12-03 23:30:03.798520
Yogurt Gloria Actibio Sabor Higo Guindón y Pasas Botella 180ml,S/ 2.20,metro,PASAS,2024-12-03 23:30:03.798520
Bombones con Pisco y Pasas Di Perugia Licorinas 84g,S/ 18.90,metro,PASAS,2024-12-03 23:30:03.798520
"Mix de Maní Tostado, Maní Confitado, Almendras y Pasas Trunuts Blue Mix Doypack 125 g",S/ 9.90,metro,PASAS,2024-12-03 23:30:03.798520
Chocolate Milky La Iberica Con 25% Pecanas y Pasas y 38% Cacao Tableta 100 g,S/ 20.20,metro,PASAS,2024-12-03 23:30:03.798520
Bolitas De Cereal Maní y Pasas Truballs Doypack 90 g,S/ 8.88,metro,PASAS,2024-12-03 23:30:03.798520
Barras de Quinua Qfoods Pasas con Chocolate 6un,S/ 22.10,metro,PASAS,2024-12-03 23:30:03.798520
Destilado de Uvas y Pasas Botella 750 ml,S/ 17.80,metro,PASAS,2024-12-03 23:30:03.798520
Maní con Pasas sin Sal Villa Natura 250g,S/ 9.70,metro,PASAS,2024-12-03 23:30:03.798520
Pan con Pasas y Pecanas Cuisine & Co 2un,S/ 13.52,metro,PASAS,2024-12-03 23:30:03.798520
Puré de Manzana con Pecanas y Pasas Premium Cuisine & Co 500g,S/ 11.90,metro,PASAS,2024-12-03 23:30:03.798520
Bombones Crema de Pisco y Pasas Di Perugia Bouquet 110g,S/ 26.90,metro,PASAS,2024-12-03 23:30:03.798520
Chocoteja de Pasas Borrachas Helena 30g,S/ 5.99,metro,PASAS,2024-12-03 23:30:03.798520
