description,price,website,search_term,scrape_timestamp
Tomate Italiano Metro x kg,S/ 5.49 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Saladette Hidropónico de Invernadero Ecologic Bolsa,S/ 4.60,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 6.30,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry Cuisine & Co 200g,S/ 5.00,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Redondo Hidropónico de Invernadero Ecologic Bolsa,S/ 4.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry Cuisine & Co 600g,S/ 11.50,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry Hidropónico de Invernadero Don Miguel Bandeja 300 g,S/ 7.50,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry La Huerta 300g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Triturado Colavita 400g,S/ 10.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Entero Pelado Colavita 400g,S/ 10.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Tomate Cherry Bandeja 280 g,S/ 4.10,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pimiento Metro Kg,S/ 8.79 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Salsa de Tomate Pomarola 145g,S/ 1.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pimiento x kg,S/ 8.49 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Zapallito Italiano x un,S/ 2.79,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Concentrado de Tomate Molitalia 110g,S/ 1.80,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Salsa de Tomate Cuisine & Co Doypack 380 g,S/ 4.70,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pasta de Tomate B & D 200g,S/ 4.20,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Salsa de Tomate Don Italo 250g,S/ 13.50,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Passata de Tomate Clásico La Molisana 690g,S/ 11.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Chorizo Cóctel Italiano Precocido La Segoviana 300g,S/ 14.10,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Mondonguito Italiano Schilcayo 1kg,S/ 16.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Nachos Horneados Sanissimo Sabor Tomate y Albahaca 160g,S/ 12.30,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Puré de Tomate Gourmet117 680g,S/ 18.70,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pasta de Tomate B & D 100g,S/ 2.20,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Salsa de Tomate Colavita 680g,S/ 14.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 70g",S/ 5.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Galletas de Arroz Costeño Tomate Intenso Doypack 150 g,S/ 6.90,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Aderezo de Tomate Harmless Ketchup 352g,S/ 27.20,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
Pimiento Cherry Ecologic 300g,S/ 5.85,metro,TOMATE ITALIANO O MARSANO,2024-12-03 23:43:15.994136
