description,price,website,search_term,scrape_timestamp
Sancochado Punta de Pecho Nacional x kg,S/ 24.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado de Osobuco Nacional Porcionado x kg,S/ 25.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado de Pescuezo Nacional x kg,S/ 25.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado de Osobuco Nacional x kg,S/ 25.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Empanada de Pollo Mundo Vegetal 2un,S/ 6.50,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Vegetales Precocidos Green Food Mixtura Italiana 400g,S/ 6.00,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado Punta de Pecho x kg,S/ 24.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado de Pescuezo x kg,S/ 25.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Sancochado Punta de Pecho Don Goyo x kg,S/ 24.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Twopack Aceite Vegetal Primor Premium 900ml,S/ 18.50,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Metro 900ml,S/ 5.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Twopack Aceite Vegetal Primor Clásico 900ml,S/ 16.70,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Trozos de Atún en Aceite Vegetal Metro 140g,S/ 3.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Primor Premium Botella 900ml,S/ 10.60,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Metro 900ml,S/ 5.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite de Soya Sao Botella 900ml,S/ 6.60,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Pack Primor: Aceite Vegetal 900ml + Filete de Atún 140g,S/ 12.49,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Primor Clásico Botella 1.8L,S/ 16.50,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 4.40,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Primor Clásico Botella 900ml,S/ 9.60,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Máxima 900ml,S/ 5.80,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Trozos de Atún en Aceite Vegetal Florida 150g,S/ 5.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Costillar Nacional x kg,S/ 18.90 x kg,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Pack x6 Trozos Atún Aceite Vegetal Campomar 150g,S/ 34.80,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Filete de Atún en Aceite Vegetal Metro 140g,S/ 4.40,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Primor Premium 900ml + Mayonesa AlaCena 850g,S/ 25.50,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Trozos de Atún en Aceite Vegetal Campomar 150g,S/ 6.10,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Cuisine & Co 900ml,S/ 7.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Trozos de Atún en Aceite Vegetal Marinero 140g,S/ 5.00,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Deleite Premium 900ml,S/ 6.85,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Tripack Filete de Atún en Aceite Vegetal Florida 80g,S/ 13.00,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Cocinero 900ml,S/ 9.20,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal Máxima 900ml,S/ 5.80,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Pack Primor: Aceite Vegetal 900ml + Filete de Atún en Agua 140g,S/ 12.49,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Grated de Atún en Aceite Vegetal Florida 140g,S/ 4.60,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Primor Botella 5 Litros,S/ 54.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Filete de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 4.80,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Filete de Atún Campomar Gourmet Artesanal en Aceite Vegetal Frasco 160 gr,S/ 7.60,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Aceite Vegetal de Soya Máxima 5L,S/ 31.90,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Mixtura de Vegetales Green Food,S/ 6.00,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
Pack x6 Filete Atún Aceite Vegetal Campomar 150g,S/ 37.30,metro,VEGETALES SANCOCHADOS,2024-12-04 01:53:29.484001
