unit,description,price,website,search_term,scrape_timestamp
Bolsa 600g,Milanesa de Pollo AVINKA Bolsa 4un,S/ 25.70 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
Bolsa 4un,Milanesa de Pechuga de Pollo OREGON FOODS Bols...,S/ 27.90 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
Bolsa 4un,Milanesa de Pavo SAN FERNANDO Bolsa 415g,S/ 15.79 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
Caja 600g,Milanesa de Pescado SEAFROST Caja 600g,S/ 17.90 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Tallarín al Pesto con Milanesa LA FLORENCIA Ba...,S/ 11.90 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
Caja 400g,Milanesas de Pollo LA CHARCUTERÍA Caja 400g,S/ 22.90 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
Bolsa 3un,Milanesa de Res Super RANCHERAS Bolsa x 3un,S/ 24.99 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 3 Y 4 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 3 Y 4 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 5 Y 6 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 5 Y 6 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 5 Y 6 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 5 Y 6 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 5 Y 6 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 3 Y 4 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 3 Y 4 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
,Correa Band Para Xiaomi 3 Y 4 Milanesa Magné...,S/ 45 un,plaza_vea,MILANESA,2024-12-04 13:25:49.288705
