unit,description,price,website,search_term,scrape_timestamp
Bolsa 1kg,Harina de Trigo Preparada BLANCA FLOR Bolsa 1K...,S/ 8.49 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina BELL'S De trigo preparada Bolsa 1Kg,S/ 6.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Sobre 120g,Gelatina UMSHA Sabor a Fresa Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,S/ 4.29 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Caja 19g,Gelatina UNIVERSAL Sabor a Fresa Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Paquete 1kg,Harina Sin Preparar FAVORITA Paquete 1kg,S/ 4.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Caja 19g,Gelatina UNIVERSAL Sabor a Naranja sin Azúcar ...,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Caja 19g,Gelatina UNIVERSAL Sabor a Piña Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Sobre 120g,Gelatina UMSHA Sabor a Piña Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 160g,Gelatina ROYAL Sabor a Fresa Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 19g,Gelatina Light BELL'S Piña Bolsa 19g,S/ 2.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Caja 19g,Gelatina UNIVERSAL Sabor a Limón Diet Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 180g,Harina sin Preparar MOLITALIA Bolsa 180g,S/ 1.20 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina sin Preparar BLANCA FLOR Bolsa 1kg,S/ 7.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Sobre 120g,Gelatina UMSHA Sabor a Naranja Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Caja 19g,Gelatina Light BELL'S Naranja Caja 19g,S/ 2.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina de Trigo NICOLINI Preparada Bolsa 1Kg,S/ 6.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina de Trigo sin Preparar MOLITALIA sin Pre...,S/ 6.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina MOLITALIA Preparada Bolsa 1kg,S/ 7.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 120g,Gelatina UMSHA de Uva Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 180g,Gelatina BELL'S Sabor a Fresa Bolsa 180g,S/ 3.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 160g,Gelatina ROYAL Sabor a Piña Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 20g,Gelatina Bebible UMSHA Fresa Bolsa 20g,S/ 1.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Sobre 120g,Gelatina UMSHA Sabor a Limón Bolsa 120g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 130g,Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 180g,Gelatina BELL'S Sabor a Piña Bolsa 180g,S/ 3.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
