unit,description,price,website,search_term,scrape_timestamp
Pote 390g,Mantequilla GLORIA Pote 390g,S/ 17.79 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Barra 180g,Mantequilla con Sal LAIVE Barra 180g,S/ 11.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Paquete 180g,Mantequilla con Sal GLORIA Paquete 180g,S/ 9.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 350g,Crema a Base de Mantequilla LAIVE Pote 350g,S/ 13.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 180g,Mantequilla con Sal GLORIA Pote 180g,S/ 10.50 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Caja 90g,Mantequilla GLORIA Caja 90g,S/ 6.40 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 180g,Mantequilla con Sal LAIVE Pote 180g,S/ 12.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pack 500g,Ensalada Jardinera BELL'S Bolsa 500g,S/ 5.50 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Barra 100g,Mantequilla LAIVE con Sal Barra 100g,S/ 6.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Barra 180g,Mantequilla sin Sal LAIVE Barra 180g,S/ 11.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Paquete 180g,Mantequilla sin Sal GLORIA Paquete 180g,S/ 9.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 410g,Mantequilla de Maní SPREAD 100% Maní Frasco 41...,S/ 21.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 6un,Cachito con Mantequilla DON MAMINO Bolsa 6un,S/ 9.80 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Barra 200g,Mantequilla PLUSA 100% Natural Barra 200g,S/ 15.30 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 235g,Tornillo Especial MOLITALIA Pasta para Ensalad...,S/ 3.10 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 180g,Crema a Base de Mantequilla Light con Sal LAIV...,S/ 13.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 250gun,Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25...,S/ 4.69 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 410g,Mantequilla de Maní UNIÓN Frasci 410g,S/ 24 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 200g,Mantequilla de Maní LA FLORENCIA Pote 200g,S/ 9.50 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 150gun,Ensalada Mix BELL'S FRESCOS Bolsa 150g,S/ 6.59 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 500g,Ensalada Jardinera Precocida BELL'S Bolsa 500g,S/ 8.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 500gun,Ensalada Americana BELL'S FRESCOS Bolsa 500g,S/ 6.99 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 144g,Galletas Saladas CLUB SOCIAL sabor Mantequilla...,S/ 5.20 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 81g,Sazonador Pops COSTEÑO de Pop Corn Sabor Mante...,S/ 10.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Ensalada Pollera Bandeja 300g,S/ 8.40 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Papel Mantequilla BELL'S 18m Blanco,S/ 7.80 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 500g,Ensalada Rusa BELL'S Bandeja 500g,S/ 9.49 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 500g,Ensalada Mixta BELL'S Bandeja 500g,S/ 10.99 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 400g,Mix Ensalada Precocida Congelada GREEN FOOD Bo...,S/ 8.20 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 400g,Ensalada Rusa Precocida GREEN FOOD Bolsa 400g,S/ 7.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 410g,Mantequilla de Maní SPREAD Chocomaní Frasco 41...,S/ 21.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 80g,Canchita para Microondas ACT II con Mantequill...,S/ 4.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 300g,"Ensalada de Piña, Sandía y Papaya BELL'S Bande...",S/ 5.69 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Caja 175g,Cereal en Barra DYFFERENT Mantequilla de Maní ...,S/ 10.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 90g,Crema a Base de Mantequilla LAIVE Pote 90g,S/ 4.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Táper 150gun,Ensalada Mix Primavera BELL'S FRESCOS Táper 15...,S/ 7.49 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 280g,Galletas COLOMBINA Butters cookies De mantequi...,S/ 7.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 80g,Canchita para Microondas ACT II con Mantequill...,S/ 4.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 410g,Mantequilla de Maní SPREAD con Miel de Abeja F...,S/ 21.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 46.2g,Lentejas con Mantequilla de Maní M&M Bolsa 46....,S/ 4.60 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 230g,Mantequila SPREAD 100% Almendras Frasco 230g,S/ 22 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 200g,Mantequilla de Almendras LA FLORENCIA Pote 200...,S/ 17.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 180g,Ensalada Rusa LA FLORENCIA Bandeja 170g,S/ 3.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Sazonador AJINOMIX de Pop Corn Sabor Mantequil...,S/ 3.20 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Envase 100gun,Ensalada Mix Personal BELL'S FRESCOS Envase 10...,S/ 5.49 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 300g,"Ensalada de Uva, Sandía y Piña BELL'S Bandeja ...",S/ 5.99 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 170g,Mantequilla de Maní LA PURITA Pote 170g,S/ 9.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 300g,"Ensalada de Papaya, Sandía y Melón BELL'S Band...",S/ 5.69 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 120g,Ensalada Mix Mediterráneo VIVA Bandeja 120g,S/ 11.99 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Caja 240g,Mantequilla LA CHUGURANITA Caja 240g,S/ 23.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 454g,Vinagreta Ranch LUREN para Ensalada Frasco 454...,S/ 8.40 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 300g,"Ensalada de Piña, Sandía y Melón BELL'S Bandej...",S/ 5.69 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Envase 150gun,Ensalada Mix La Itali BELL'S FRESCOS Envase 15...,S/ 7.49 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 240g,Mantequilla de Maní Orgánica WASI Frasco 240g,S/ 23 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 200g,Mantequilla de Maní THE BUTTER FACTORY Frasco ...,S/ 16.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Ensalada Fusilli Bandeja 170g,S/ 3.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 1un,Ensalada Italiana HOME CHEF Bandeja 1un,S/ 13.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 250g,Mantequilla con Sal PIAMONTE Pote 250g,S/ 19.80 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 120g,Ensalada Mix Primavera VIVA Bandeja 120g,S/ 11.99 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 85g,Maíz Pop Corn PLANET POP Mantequilla Bolsa 85g,S/ 3.70 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Paquete 400g,Ensalada Rusa LA FLORENCIA 400g,S/ 12.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Paquete 3un,Maíz Pop Corn PLANET POP Mantequilla Paquete 3...,S/ 10.50 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Cuchillo de Mantequilla VIVA HOME,S/ 6.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Ensalada SOLEI Coco en Trozos Frasco 130g,S/ 6.79 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Ensalada Cesar Pequeña x un,S/ 12.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bandeja 300g,"Ensalada de Melón, Mango y Uva SOLEI Bandeja 3...",S/ 8.79 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 410g,Mantequilla de Maní LA PURITA Pote 410g,S/ 19.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 200g,Mantequilla de Almendras THE BUTTER FACTORY Fr...,S/ 31.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 250g,Mantequilla sin Sal PIAMONTE Pote 250g,S/ 19.80 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Mantequilla PRESIDENT sin Sal Barra 200g,S/ 20.70 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 170g,Mantequilla de Maní LA PURITA con Cacao Pote 1...,S/ 12.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 1un,Ensalada Power HOME CHEF 1un,S/ 13.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Croissant de Mantequilla x un,S/ 2.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Paquete 1un,Ensalada a la Brasa ALCA FOOD Pequeña x 1un,S/ 12.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 200g,Mantequilla de Chocomaní THE BUTTER FACTORY Fr...,S/ 21.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Sobre 5g,Salvia 4 ESTACIONES Ensalada Sobre 5g,S/ 4.10 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 170g,Aceite en Spray Sabor a Mantequilla OLEICO Fra...,S/ 23.50 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Bolsa 85g,Maíz Pop Corn PLANET POP Extra Mantequilla Bol...,S/ 3.70 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
,Mantequillera de Porcelana VIVA HOME Blanco Ra...,S/ 16.90 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Pote 12g,Mix Hierbas Ensalada 4 ESTACIONES Pote 12g,S/ 7.70 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
Frasco 80g,Sazonador Pop Corn BELL'S Sabor a Mantequilla ...,S/ 10.20 un,plaza_vea,MANTEQUILLA ENVASADA,2024-12-06 13:51:42.909128
