unit,description,price,website,search_term,scrape_timestamp
Bolsa 430g,Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Nar...,S/ 11.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Galonera 1L,Cera líquida MASTER Pisos laminados Galonera 1...,S/ 21.50 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
,Adorno DECO HOME Cascanuez 106cm Surtido Dulc ...,S/ 161.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Empaque 150g,Pastel de Jamón OTTO KUNZ Paquete 150g,S/ 6.80 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Galonera 2L,Limpiador Abrillantador para Pisos Laminados M...,S/ 32.19 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Caja 50un,Infusión Dulces Sueños WAWASANA Clásico Caja 5...,S/ 10.99 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bolsa 150g,Chifles Dulces VILLA NATURA Bolsa 150g,S/ 5 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
,Vehículo de Juguete HOT WHEELS Die Cast Basics...,S/ 9.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bolsa 500g,Chifles Dulces VILLA NATURA Bolsa 500g,S/ 15.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Caja 20un,Infusiones DULCES SUEÑOS Relajante nocturno Ca...,S/ 5.70 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bolsa 220g,Chifles Dulces BELL'S Bolsa 220g,S/ 7.40 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
,Juego de mesa MATTEL GAMES Uno Flip Juego De M...,S/ 26.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bolsa 500g,Premezcla MOLITALIA Torta de Chocolate Bolsa 5...,S/ 8.29 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bolsa 750g,Premezcla para Torta de Chocolate BLANCA FLOR ...,S/ 12.50 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
,Juego de mesa MATTEL GAMES Uno Original Juego ...,S/ 15.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
,Masas PLAY DOH F3614 Set de Dulces Y Helados M...,S/ 41.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
Bandeja 1un,Torta de Chocolate Premium Mediana LA FLORENCI...,S/ 71.90 un,plaza_vea,PASTELES DULCES,2024-12-06 13:18:27.339659
