unit,description,price,website,search_term,scrape_timestamp
Presentación 0.5 kg aprox.,Zanahoria,S/ 1.68 x kg,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 500g,Zanahoria Congelada BELL'S Bolsa 500g,S/ 6.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Caja 126g,Galletas de Maíz SALMAS Horneadas con Camote y...,S/ 9.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 250gun,Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25...,S/ 4.69 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 400g,Mix de Arveja y Zanahoria Precocida Congelada ...,S/ 7.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Botella 1L,Jugo Nectar de Naranja Zanahoria ECOFRESH Bote...,S/ 12.50 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 400g,Fideos SANTA CATALINA con Tomate y Zanahoria B...,S/ 5.30 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 7.5Kg,"Comida para Gatos FRISKIES Gatitos Pollo, Lech...",S/ 105.50 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Caja 50g,Galletas de Arroz BABY MUM sabor Zanahoria Caj...,S/ 13.99 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Botella 1L,Jugo de Naranja Zanahoria ECOFRESH Botella 1L,S/ 13.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Bastones de Apio y Zanahoría BELL'S FRESCOS 25...,S/ 3.99 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Frasco 900g,Yogurt Griego DANLAC Aguaymanto con Zanahoria ...,S/ 19.30 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Frasco 420g,Yogurt Griego DANLAC Aguaymanto con Zanahoria ...,S/ 12.10 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Botella 475ml,Jugo de Naranja Zanahoria ECOFRESH Botella 475...,S/ 7.80 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Lata 360g,Conserva de Zanahoria Rallada BELL'S Lata 360...,S/ 6.50 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Bolsa 1Kg,Alimento Seco para Gatos FRISKIES Gatitos Poll...,S/ 19.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Frasco 370g,Zanahoria Baby ASPERIO Frasco 370g,S/ 7.40 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Botella 400ml,Jugo de Naranja Zanahoria ECOFRESH Botella 400...,S/ 6.59 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
Envase 1un,Keke Zanahoria Rectangular LA FLORENCIA x un,S/ 17.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Bastones de Zanahoria BELL'S FRESCOS 250g,S/ 3.99 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Semillas de zanahoria,S/ 7.40 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,"Galletas Crocantes de Leche, Espinaca y Zanaho...",S/ 24.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set Plato y Cubiertos para Bebe Estilo Zanahor...,S/ 59 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Cepillo Limpiador Zanahoria 3 en 1,S/ 8 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Calculadora Zanahoria Kawaii,S/ 27.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Platillo de Diseño Zanahoria Tono Verde Y+Post...,S/ 53.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Platillo de Diseño Zanahoria en Amarillo Y+Pos...,S/ 53.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Platillo de Diseño Zanahoria en Naranja Y+Post...,S/ 53.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Plato Pet Antiestres Zanahoria Moderno de Colo...,S/ 33.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Plato Pet Antiestres Zanahoria Moderno de Colo...,S/ 33.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Platillo de Diseño Zanahoria Tono Azul Y+Post-...,S/ 53.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Plato Pet Antiestres Zanahoria Moderno de Colo...,S/ 33.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Plato Pet Antiestres Zanahoria Moderno de Colo...,S/ 33.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Peluche Mickey Mouse Minnie Disfraz Conejo Zan...,S/ 137 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Origens Mousse Marino Res Camarón Zanahoria Ad...,S/ 49.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Origens Mousse Marino Res Camarón Zanahoria Ad...,S/ 89.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set de Plato de Silicona con Divisiones y Cubi...,S/ 44.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set de Cuchara y Tenedor de Acero Zanahoria,S/ 16.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set Plato y Cubiertos para Bebe Silicona Gener...,S/ 57.80 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set Plato y Cubiertos para Bebe Silicona Gener...,S/ 49.50 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Clip de Zanahoria x5 Sellado de bolsas de comi...,S/ 19 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Comida Húmeda Gato Esterilizado Bravery Pollo ...,S/ 60.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Comida Húmeda Gato Esterilizado Bravery Atún Y...,S/ 60.90 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Clip de Zanahoria x5 Sellado de Bolsas de Bomi...,S/ 15 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Set x 5 Clip Sellador de Bolsas Modelo Zanahor...,S/ 24.50 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
,Plato Antideslizante para Bebe Zanahoria,S/ 55 un,plaza_vea,ZANAHORIA,2024-12-06 14:16:21.913114
