unit,description,price,website,search_term,scrape_timestamp
Bolsa 420g,Caramelos Masticables AMBROSOLI Trifruna Manza...,S/ 9.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 100un,Caramelos ARCOR Limón Bolsa 100Un,S/ 8.30 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Envase 16g,Caramelos TIC TAC Naranja Envase 16g,S/ 3.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 280g,Caramelos Banderitas AMBROSOLI Bolsa 280g,S/ 5.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 360g,Caramelos ARCOR Chicha Morada Bolsa 360g,S/ 8.30 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 9un,Caramelos HALLS Menta Fuerte Paquete 9un,S/ 2.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 100un,Caramelos AMBROSOLI Gajo frutas Bolsa 100Un,S/ 8 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 412g,Caramelos Masticables de Fruta ARCOR Bolsa 412...,S/ 12.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 283g,Caramelos Surtidos AMBROSOLI Arbolito Bolsa 28...,S/ 7.19 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 620g,Caramelos AMBROSOLI Blando de leche Bolsa 620G...,S/ 16.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 420g,Caramelos AMBROSOLI Trifruna Chicha Mango Piña...,S/ 9.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 210g,Chocolate CHOCOFUN Galleta y Caramelo Bolsa 21...,S/ 6.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 450g,Caramelos rellenos con chicle AMBROSOLI Súper ...,S/ 10.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Pote 900ml,Helado D'ONOFRIO Frio Rico Crocante Caramelo y...,S/ 24.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Lata 35g,Caramelos MENTOS Kiss menta Lata 35Gr,S/ 9.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 250g,Caramelos Surtidos BELL'S Bolsa 250g,S/ 4.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 2.17Oz,Caramelos SKITTLES ORIGINAL Duro Sabores Surti...,S/ 5 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 409g,Caramelos ARCOR Sabor a menta con chocolate Bo...,S/ 11.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Barra 216g,Chocolate CHOCOFUN Caramelo Barra 216g,S/ 7.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 6un,Café COLCAFÉ Capuccino Caramelo Caja 6un,S/ 13.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 9un,Caramelos HALLS Cereza Paquete 9un,S/ 2.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 250g,Caramelos de Limón BELL'S Bolsa 250g,S/ 4.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 80g,Caramelos de Menta Rellenos de Chocolate ARCOR...,S/ 3.60 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 100un,"Caramelos AMBROSOLI Rojo, Amarillo, Cola Negro...",S/ 6.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 29.04g,Caramelos MENTOS Fruta Bolsa 29.04g,S/ 2 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 29.04g,Caramelos MENTOS Menta Bolsa 29.04g,S/ 2 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 216g,Chocolate CHOCOFUN Caramelo Bolsa 216g,S/ 7.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 29.04g,Caramelos Masticables MENTOS Tutti Frutti Paqu...,S/ 2 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 250g,Caramelos de Chicha Morada BELL'S Bolsa 250g,S/ 4.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 9un,Caramelos HALLS Mora Azul Paquete 9un,S/ 2.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 1.84Oz,Chocolate MILKY WAY Con caramelo blando en bar...,S/ 4.60 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Pote 180g,Yogurt Griego TIGO Sensaciones con Fudge de Ca...,S/ 3.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Set de Adornos para Árbol DECO HOME Caramelos ...,S/ 5.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 20g,Galleta con Caramelo BISCOLATA Break Bolsa 20g,S/ 1 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
