unit,description,price,website,search_term,scrape_timestamp
Paquete 6un,Galletas CASINO Rellenas con Crema Sabor a Cho...,S/ 4.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles CRICKETS Sabor a Leche de Tigre Bolsa ...,S/ 11.20 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 500g,Chifles Norteño MILYS Bolsa 500g,S/ 16.80 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 125g,Piqueo INKA CHIPS Camote yuca chifles Bolsa 12...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles Salados CRICKETS Bolsa 250g,S/ 11.20 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 500g,Chifle Salado VILLA NATURA Bolsa 500g,S/ 16.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles Norteño MILYS Bolsa 250g,S/ 8.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Táper 100g,Piqueo BELL'S Chifles Salados Táper 100g,S/ 3.79 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 220g,Piqueo BELL'S Chifles salados Bolsa 220Gr,S/ 7.40 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 150g,Chifles Dulces VILLA NATURA Bolsa 150g,S/ 5 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 456g,Chupetes BOM BOM BUM con Chicle sabor Fresa Bo...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 480g,Chupetes GLOBO POP!! Con chicle sabores surtid...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 150g,Piqueo VILLA NATURA Chifles salados Bolsa 150G...,S/ 5 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Menta Herbal E...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 500g,Chifles Salados CRICKETS Bolsa 500g,S/ 21.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
,Chifón Sabor Naranja LA FLORENCIA x un,S/ 21.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 284g,Mix de Papas Nativas TIYAPUY Bolsa 142g + Chif...,S/ 12.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 500g,Chifles Dulces VILLA NATURA Bolsa 500g,S/ 15.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 160g,Chifles Norteños MILYS Bolsa 160g,S/ 5.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 142g,Chifle Salado TIYAPUY Bolsa 142g,S/ 6.20 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Caja 75ml,Pasta Dental ORAL B Stages Chicle Tubo 75ml,S/ 11.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 220g,Chifles Dulces BELL'S Bolsa 220g,S/ 7.40 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Paquete 4un,Sazonador AJINOMIX para Chifa Paquete 4un,S/ 2.20 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 150g,Piqueo VILLA NATURA Chifles camotes y yucas fr...,S/ 5 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 35un,Chicle TRIDENT Botella Sin Azúcar sabor Fresa ...,S/ 8.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 456g,Chupetes BOM BOM BUM con Chicle sabores Surtid...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Paquete 200g,Galletas Integrales FIBRA LIGHT Bocaditos de S...,S/ 9.80 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles Picantes CRICKETS Bolsa 250g,S/ 11.20 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles Salados VILLA NATURA Bolsa 250g,S/ 8.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 450g,Caramelos rellenos con chicle AMBROSOLI Súper ...,S/ 10.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Menta Fresca E...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 480g,Chupetes GLOBO POP!! Relleno con chicle sabor ...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Frasco 152ml,Desodorante para hombre en Aerosol para Hombre...,S/ 13.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
,Chifón Marmoleado LA FLORENCIA x un,S/ 24.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 150g,Chifles KARINTO Salado Bolsa 150g,S/ 9 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bandeja 20un,Cigarro LUCKY STRIKE Big Chill Slim Caja 20un,S/ 18.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 480g,Chupetes GLOBO POP NEON!! Con chicle sabor lim...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Sandia Envase ...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 500g,Chifles Picantes CRICKETS Bolsa 500g,S/ 21.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Menta Envase 1...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 35un,Chicle TRIDENT Botella Sin Azúcar sabor Hierba...,S/ 8.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 35un,Chicle TRIDENT Botella Sin Azúcar sabor Menta ...,S/ 8.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Tutti Frutti E...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 18un,Chicle TRIDENT Sin Azúcar sabor Hierbabuena En...,S/ 4.10 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 456g,Chupetes BOM BOM BUM con Chicle sabor Maracuyá...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Frasco 150ml,Deocolonia para hombre en Aerosol para Hombre ...,S/ 13.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 125g,Piqueo BELL'S Chifles salados Bolsa 125Gr,S/ 4.59 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 250g,Chifles Cancha y Carne Seca EL ARTESANO Artich...,S/ 13.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Caja 20un,Cigarrillos LUCKY STRIKE Double Chill Caja 20u...,S/ 19.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Frasco 77.9g,Chili BADIA en Polvo Frasco 77.9g,S/ 9.60 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 24un,Chupetes GLOBO POP!! con Chicle sabor Cereza Á...,S/ 8 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 9un,Chicle TRIDENT Splash Sin Azúcar sabor Menta V...,S/ 3.60 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Pack 2un,Pack Chifon Marmoleado LA FLORENCIA x un + Beb...,S/ 27.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bandeja 46un,Mix Mini Bocaditos LA FLORENCIA Bandeja 46un,S/ 43.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
,Ambientador en Gel SIMONIZ Chicle Caja 80g,S/ 15.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Bolsa 210g,Chifles Dulces ARTICHAY Sabor a Salsa Acevicha...,S/ 16.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Pack 2un,Pack Chifon Sabor Naranja LA FLORENCIA x un + ...,S/ 27.50 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Envase 9un,Chicle TRIDENT Splash Sin Azúcar sabor Hierbab...,S/ 3.60 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
Frasco 453g,Chile Casero HERDEZ Frasco 453g,S/ 13.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
,Bocadillos Tropicales POLLY POCKET,S/ 119.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
,Carrito Bocadillos Flamingo POLLY POCKET,S/ 109.90 un,plaza_vea,CHIFLE (BOCADITOS),2024-12-07 14:34:18.827030
