unit,description,price,website,search_term,scrape_timestamp
Bandeja 500g,Menestrón BELL'S Bandeja 500g,S/ 9.40 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Menestrón con Carne de Res en Semiconserva 750...,S/ 12.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,BONNIE PINK Maestra B511,S/ 17.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
Sachet 55g,Mezcla en Polvo PROVENZAL para Sopa Menestrón ...,S/ 6.50 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Libro de Cocina INSTANT Crips Mini,S/ 99 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Cocina Multiple Granos Cereal Mene...,S/ 46.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Sancochador de Huevos Electrico,S/ 42 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Porta Menestra de 10kg Blanco Y+Re...,S/ 119.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador para Menestras 9kg Verde Y+Envolto...,S/ 189.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador Ligero de Menestra 10kg Blanco Y+R...,S/ 146.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Giratorio de Menestras con Capacid...,S/ 139.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras y Cereales 6 Division...,S/ 69.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador Manual de Menestra 10kg Blanco Y+R...,S/ 159.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras 6 Divisiones,S/ 69.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Facil de Menestras 6kg Blanco Y+Re...,S/ 153.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Facil de Menestras 6kg Verde Y+Reg...,S/ 153.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Facil de Menestras 9kg Blanco Y+Re...,S/ 153.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Facil de Menestras 9kg Verde Y+Reg...,S/ 153.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador para Menestra Multifuncional 10kg ...,S/ 103.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Giratorio de Menestras Flor de 6kg...,S/ 139.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Expendedor de Menestras 10kg Blanco Y+Ligas de...,S/ 143.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Unico para Menestra 6kg Blanco Y+P...,S/ 149.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador para Menestras 6kg Blanco Y+Envolt...,S/ 189.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador para Menestras 6kg Verde Y+Envolto...,S/ 189.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de 3 Espacios de Menestras Flor de...,S/ 139.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dosificador para Menestras 9kg Blanco Y+Envolt...,S/ 189.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
