unit,description,price,website,search_term,scrape_timestamp
Bolsa 900g,Panetón BLANCA FLOR Bolsa 900g,S/ 21.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Paquete 6un,Panetón D'ONOFRIO Caja 880g Paquete 6un,S/ 152.40 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Paquete 6un,Panetón D'ONOFRIO Bolsa 880g Paquete 6un,S/ 138.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 880g,Panetón D'ONOFRIO Bolsa 880g,S/ 23.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 800g,Panetón BELL'S Bolsa 800g,S/ 10.20 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
,Panetón BLANCA FLOR Bolsa 900g Paquete 6un,S/ 129 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 6un,Panetón BELL'S Bolsa 800g Caja 6un,S/ 61 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 880g,Panetón D'ONOFRIO Caja 880g,S/ 25.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 900g,Panetón GLORIA Bolsa 900g,S/ 20.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 900g,Panetón BIMBO Bolsa 900g,S/ 19.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 900g,Panetón BLANCA FLOR Caja 900g,S/ 24.70 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 750g,Panetón DONOFRIO Chariton Bolsa 750g,S/ 14.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 6un,Panetón GLORIA Bolsa 900g Caja 6un,S/ 123.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Paquete 6un,Panetón BIMBO Bolsa 900g Paquete 6un,S/ 117.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Pack 2un,Panetón TODINNO Bolsa 900g + Panetón TODINNITO...,S/ 22.50 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 6un,Panetón GLORIA Caja 900g Caja 6un,S/ 139.20 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 5400g,Panetón BLANCA FLOR Caja 900g Paquete 6un,S/ 147 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 750g,Panetón DONOFRIO Buen Natale Bolsa 750g,S/ 18.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Pack 2un,Pack Panetón TODDINO Caja 900g x 6un + Panetón...,S/ 169.20 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 85g,Panetón con Pasas y Frutas Confitadas TODINNIT...,S/ 4.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Pack 2un,Panetón TODINNO Caja 900g + Panetón TODINNITO ...,S/ 26.50 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 900g,Panetón GLORIA Caja 900g,S/ 23.50 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 900g,Panetón con Trozos de Chocolate POESSIA Bolsa ...,S/ 25.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 900g,Panetón BIMBO Caja 900g,S/ 20.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 1.5Kg,Gran Panetón SAN JORGE Caja 1.5Kg,S/ 36.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 800g,Panetón WINTER'S Bolsa 800g,S/ 21.50 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 450g,Panetón DONOFRIO Chocotón Caja 450g,S/ 23.90 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Bolsa 500g,Panetón WINTERS sin Agregados Bolsa 500g,S/ 16 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
Caja 80g,Mini Panetón COSTA Caja 80g,S/ 4.60 un,plaza_vea,PANETÓN,2024-12-07 13:07:57.093304
