unit,description,price,website,search_term,scrape_timestamp
Presentación 2.2 kg aprox.,Pollo Entero Fresco con Menudencia,S/ 9.40 x kg,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bandeja 500g,Blueberries BELL'S FRESCOS Bandeja 500g,S/ 14.40 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.3 kg aprox.,Queso Fresco SBELT,S/ 10.77,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.3 kg aprox.,Queso Fresco sin Lactosa LAIVE,S/ 10.77,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.4 kg aprox.,Queso Fresco BONLÉ,S/ 14.36,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.3 kg aprox.,Queso Fresco GLORIA Paquete 250g,S/ 11.49,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bolsa 200g,Lechuga Seda Hidropónica BELL'S Bolsa 200g,S/ 3.39 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bandeja 1un,Blueberries BELL'S FRESCOS Bandeja 300g,S/ 8.99 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
,Queso Fresco BELL'S Paquete 300g PVEA,S/ 9.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 1un,Espárragos Verdes BELL'S FRESCOS Paquete 300g,S/ 8 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bandeja 100g,Blueberries BELL'S FRESCOS Bandeja 100g,S/ 3.29 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 2.3 kg aprox.,Pollo Fresco con Menudencia Trozado en 8 Pieza...,S/ 10.90 x kg,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 1.35 kg aprox.,Panceta de Cerdo con Hueso y Piel EL BUEN CORT...,S/ 24.89 x kg,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.3 kg aprox.,Queso Fresco LAIVE,S/ 10.65,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 440g,Queso Edam BELLS Paquete 440g,S/ 19.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bolsa 200g,Lechuga Crespa Hidropónica BELL'S Bolsa 200g,S/ 3.29 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Caja 227g,Queso Crema BELL'S Caja 227g,S/ 9.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bolsa 120gun,Albahaca Deshojada BELL'S FRESCOS 120g,S/ 4.99 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
,Queso Fresco Pasteurizado Light BELL'S Paquete...,S/ 9.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 200g,Salchicha Huachana BELL'S Paquete 200g,S/ 5.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 500g,Jamón Pizza BELL'S Paquete 500g,S/ 10.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 1.4 kg aprox.,Guiso de Cerdo Nacional Fresco x kg,S/ 19.90 x kg,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 35g,Queso Parmesano BELL'S Paquete 35g,S/ 4.20 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Lata 822g,Conserva de Durazno en Mitades ACONCAGUA en Al...,S/ 10.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.45 kg aprox.,Queso Fresco GLORIA Paquete 400g,S/ 16.16,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Táper 260g,Aceituna Negra sin Pepa BELL'S Táper 260g,S/ 11.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 180g,Queso Edam BELLS Paquete 180g,S/ 9.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bolsa 200g,Lechuga Roja Hidropónica BELL'S Bolsa 200g,S/ 3.69 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 200g,Chicharrón de Prensa BELL'S Paquete 200g,S/ 5.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 440g,Queso Mozzarella Laminado BELLS Paquete 440g,S/ 19.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Bandeja 1un,Tabla Piqueo Tradicional BELL´S,S/ 13.90 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Paquete 250g,Queso Edam BELLS Paquete 250g,S/ 12.50 un,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
Presentación 0.3 kg aprox.,Queso Fresco Artesanal LAIVE,S/ 11.55,plaza_vea,REFRESCO ENVASADO (FLUIDO),2024-12-07 14:42:02.200801
