unit,description,price,website,search_term,scrape_timestamp
Bolsa 750g,Pan de Molde Blanco BIMBO Extra Grande Bolsa 7...,S/ 11.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 750g,Pan de Molde BIMBO Integral Bolsa 750g,S/ 11.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 540g,Pan de Molde UNIÓN Multisemillas y Avena Bolsa...,S/ 10.89 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 560g,Pan de Molde Blanco DON MAMINO sin Corteza Bol...,S/ 13.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 600g,Pan de Molde Integral BIMBO Vital Multicereal ...,S/ 14.80 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Blanco LA FLORENCIA Bolsa 500g,S/ 7.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Doypack 200g,Mostaza LIBBY'S Doypack 200g,S/ 5.30 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Integral LA FLORENCIA Bolsa 500g,S/ 7.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 600g,Pan de Molde Blanco BIMBO Vital de Semillas Bo...,S/ 14.80 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Doypack 454g,Café Tostado y Molido CAFETAL Selecto Bolsa 4...,S/ 24 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Integral BELL'S Mediano Bolsa 500...,S/ 7.40 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Doypack 400g,Mostaza ALACENA Doypack 400g,S/ 8.60 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Blanco BELL'S Mediano Bolsa 500g,S/ 7.40 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 540g,Pan de Molde UNIÓN Granos Integrales Bolsa 540...,S/ 11.40 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 900g,Café Tostado y Molido CAFETAL Selecto Bolsa 90...,S/ 42.79 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 560g,Pan de Molde DON MAMINO con Salvado de Trigo B...,S/ 13.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
